match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
fuzzy,Bạc Liêu 1,Bạc Liêu LNG,bac lieu,bac lieu,coal,imported gas,1200.0,1200.0,0.0,False,False,True,,,94.73684210526316
exact,Cà Mau I,Cà Mau 1,ca mau,ca mau,gas,unknown,771.0,450.0,41.6,False,True,True,,,100.0
exact,Cà Mau II,Cà Mau 2,ca mau,ca mau,gas,unknown,771.0,450.0,41.6,False,True,True,,,100.0
exact,Cẩm Phả 1,Cẩm Phả 1,quang ninh,quang ninh,coal,coal,340.0,300.0,11.8,True,True,True,,,100.0
exact,Cẩm Phả 2,Cẩm Phả 2,quang ninh,quang ninh,coal,coal,340.0,300.0,11.8,True,True,True,,,100.0
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Nhà máy nhiệt điện An Khánh,lao cai,thai nguyen,coal,coal,100.0,100.0,0.0,True,False,False,,,38.095238095238095
exact,Duyen Hai 1,Duyên Hải 1,tra vinh,tra vinh,coal,coal,1244.0,600.0,51.8,True,True,True,,,100.0
exact,Duyen Hai 2,Duyên Hải 2,tra vinh,tra vinh,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
fuzzy_capacity_diff,Duyen Hai 3,Duyên Hải 3 mở rộng,tra vinh,tra vinh,coal,coal,1244.0,660.0,46.9,True,False,True,,,100.0
fuzzy_capacity_diff,Duyen Hai 3 Extension,Duyên Hải 3,tra vinh,tra vinh,coal,coal,660.0,1200.0,81.8,True,True,True,,,100.0
fuzzy_capacity_diff,Formosa HT2,Formosa Hà Tĩnh,ha tinh,ha tinh,coal,coal,650.0,300.0,53.8,True,False,True,,,90.0
exact,Hai Duong,Hải Dương (BOT),hai duong,hai duong,coal,coal,1200.0,600.0,50.0,True,True,True,,,100.0
exact,Hai Phong 1,Hải Phòng 1,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
exact,Hai Phong 2,Hải Phòng 2,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
fuzzy,Hai Phong 3,Hải Phòng LNG,hai phong,hai phong,coal,imported gas,1200.0,1200.0,0.0,False,True,True,,,95.23809523809523
exact,LNG Nhơn Trạch 3,Nhơn Trạch 3 (LNG),đong nai,đong nai,gas,imported gas,750.0,900.0,20.0,False,True,True,,,100.0
fuzzy_capacity_diff,LNG Phú Mỹ 3.1,Phú Mỹ 4,ba ria - vung tau,ba ria–vung tau,gas,unknown,850.0,720.0,15.3,False,False,False,,,93.33333333333333
fuzzy_capacity_diff,LNG Sơn Mỹ I,Sơn Mỹ LNG,binh thuan,binh thuan,gas,imported gas,2250.0,1200.0,46.7,False,False,True,,,93.33333333333333
fuzzy,Long An 1,Long An LNG,long an,long an,gas,imported gas,1200.0,1200.0,0.0,False,False,True,,,94.11764705882352
exact,Long Phú 1,Long Phú 1,soc trang,soc trang,coal,coal,1200.0,600.0,50.0,True,False,True,,,100.0
exact,Long Phú 2,Long Phú 2,soc trang,soc trang,coal,coal,1320.0,600.0,54.5,True,True,True,,,100.0
exact,Long Phú 3,Long Phú 3,soc trang,soc trang,coal,coal,1800.0,1200.0,33.3,True,True,True,,,100.0
exact,Mong Duong 1,Mông Dương 1,quang ninh,quang ninh,coal,coal,1080.0,450.0,58.3,True,True,True,,,100.0
exact,Mong Duong 2,Mông Dương 2,quang ninh,quang ninh,coal,coal,1240.0,600.0,51.6,True,True,True,,,100.0
exact,Na Dương 1,Na Dương 1,lang son,lang son,coal,coal,110.0,110.0,0.0,True,True,True,,,100.0
exact,Na Dương 2,Na Dương 2,lang son,lang son,coal,coal,110.0,110.0,0.0,True,True,True,,,100.0
exact,Nghi Son 1,Nghi Sơn 1,thanh hoa,thanh hoa,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
exact,Nghi Son 2,Nghi Sơn 2,thanh hoa,thanh hoa,coal,coal,1200.0,600.0,50.0,True,False,True,,,100.0
exact,Ninh Binh,Ninh Bình,ninh binh,ninh binh,coal,coal,100.0,100.0,0.0,True,True,True,,,100.0
fuzzy_capacity_diff,NĐ Cần Thơ,Nhà máy nhiệt điện Cần Thơ,can tho,can tho,unknown,unknown,165.0,330.0,100.0,True,False,True,,,94.73684210526316
fuzzy_capacity_diff,NĐ Thủ Đức,Thủ Đức (cũ),tp ho chi minh,ho chi minh,gas,unknown,290.0,60.0,79.3,False,False,False,,,100.0
exact,Phả Lại 1,Phả Lại 1,hai duong,hai duong,coal,coal,440.0,440.0,0.0,True,False,True,,,100.0
exact,Phả Lại 2,Phả Lại 2,hai duong,hai duong,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
exact,Quang Ninh 1,Quảng Ninh 1,quang ninh,quang ninh,gas,coal,600.0,600.0,0.0,False,False,True,,,100.0
exact,Quang Ninh 2,Quảng Ninh 2,quang ninh,quang ninh,gas,coal,600.0,600.0,0.0,False,False,True,,,100.0
fuzzy,Quang Ninh 3,Quảng Ninh LNG,quang ninh,quang ninh,gas,imported gas,1200.0,1200.0,0.0,False,True,True,,,95.65217391304348
