match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
exact_capacity_diff,An Khánh - Bac Giang,Nhà máy điện khí Hà Tĩnh 2 (CCGT),bac giang,ha tinh,coal,imported gas,650.0,300.0,53.8,False,False,False,,,51.42857142857142
exact_capacity_diff,An Khánh 1,Nhà máy điện nhiệt Phú Yên 1,thai nguyen,phu yen,coal,coal,116.0,0.0,100.0,True,True,False,,,57.14285714285714
exact_capacity_diff,Bà Rịa GT,Nhà máy điện nhiệt Đắk Lăk 2 (đang xây dựng),ba ria - vung tau,đak lak,gas,coal,46.0,0.0,100.0,False,False,False,,,47.05882352941176
exact_capacity_diff,Bạc Liêu 1,Nhà máy điện khí Hà Nội 1 (CCGT),bac lieu,ha noi,coal,imported gas,1200.0,300.0,75.0,False,False,False,,,58.82352941176471
exact_capacity_diff,Cam Pha 3,Nhà máy điện khí Vũng Tàu 3 (CCGT),quang ninh,ba ria‑vung tau,coal,imported gas,440.0,300.0,31.8,False,False,False,,,53.333333333333336
exact_capacity_diff,Cao Ngạn,Nhà máy điện nhiệt Đắk Nông 2 (đang xây dựng),thai nguyen,đak nong,coal,coal,114.0,0.0,100.0,True,False,False,,,50.0
exact_capacity_diff,Cong Thanh,Nhà máy điện khí Lâm Đồng 1 (CCGT),thanh hoa,lam đong,coal,unknown,600.0,300.0,50.0,False,False,False,,,53.333333333333336
exact_capacity_diff,Cà Mau I,Nhà máy điện khí Hà Tĩnh 1 (CCGT),ca mau,ha tinh,gas,imported gas,771.0,300.0,61.1,False,True,False,,,62.5
exact_capacity_diff,Cà Mau II,Nhà máy điện khí Đắk Lăk 2 (CCGT),ca mau,đak lak,gas,unknown,771.0,300.0,61.1,False,True,False,,,62.5
fuzzy_capacity_diff,Cẩm Phả 1,Nhà máy điện nhiệt Cẩm Phả 1,quang ninh,quang ninh,coal,coal,340.0,0.0,100.0,True,True,True,,,100.0
exact_capacity_diff,Cẩm Phả 2,Nhà máy điện khí Đà Nẵng 2 (CCGT),quang ninh,đa nang,coal,imported gas,340.0,300.0,11.8,False,True,False,,,58.82352941176471
exact_capacity_diff,Dong Nai Formosa,Nhà máy điện khí Hà Nam 2 (OCGT),đong nai,ha nam,coal,imported gas,150.0,150.0,0.0,False,False,False,,,45.45454545454546
exact_capacity_diff,Dong Nai Formosa,Nhà máy điện khí Bình Thuận 1 (CCGT),đong nai,binh thuan,coal,imported gas,300.0,300.0,0.0,False,False,False,,,45.45454545454546
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Nhà máy điện nhiệt Ninh Thuận 2 (đang xây dựng),lao cai,ninh thuan,coal,coal,100.0,0.0,100.0,True,False,False,,,36.73469387755102
exact_capacity_diff,Duyen Hai 2,Nhà máy điện khí Thừa Thiên‑Huế 2 (CCGT),tra vinh,thua thien‑hue,coal,imported gas,600.0,300.0,50.0,False,True,False,,,63.63636363636363
exact_capacity_diff,Duyen Hai 3 Extension,Nhà máy điện khí Bình Dương 3 (CCGT),tra vinh,binh duong,coal,imported gas,660.0,300.0,54.5,False,True,False,,,47.61904761904761
exact_capacity_diff,Formosa HT2,Nhà máy điện khí Cần Thơ 1 (CCGT),ha tinh,can tho,coal,imported gas,650.0,300.0,53.8,False,False,False,,,36.36363636363637
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Nhà máy điện khí Đà Nẵng 1 (CCGT),ha tinh,đa nang,coal,imported gas,450.0,300.0,33.3,False,False,False,,,44.44444444444444
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Nhà máy điện khí Đồng Nai 3 (CCGT),ha tinh,đong nai,coal,imported gas,450.0,300.0,33.3,False,False,False,,,46.51162790697675
exact_capacity_diff,Hai Ha CHP Phase 1,Nhà máy điện nhiệt Thái Nguyên 1,quang ninh,thai nguyen,coal,coal,150.0,0.0,100.0,True,False,False,,,50.0
exact_capacity_diff,Hai Ha CHP Phase 2,Nhà máy điện khí Vũng Tàu 2 (CCGT),quang ninh,ba ria‑vung tau,coal,imported gas,750.0,300.0,60.0,False,False,False,,,45.714285714285715
exact_capacity_diff,Hai Ha CHP Phase 3,Nhà máy điện khí Đắk Nông 3 (CCGT),quang ninh,đak nong,coal,unknown,600.0,300.0,50.0,False,False,False,,,45.714285714285715
