match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
exact_capacity_diff,An Khánh 1,Nhà máy nhiệt điện Phú Lộc,thai nguyen,binh thuan,coal,unknown,116.0,120.0,3.4,False,False,False,,,57.14285714285714
exact_capacity_diff,Bạc Liêu 1,Nhà máy nhiệt điện An Khê,bac lieu,gia lai,coal,coal,1200.0,1200.0,0.0,True,False,False,,,50.0
fuzzy_capacity_diff,Cam Pha 3,Nhà máy nhiệt điện Cẩm Phả 3,quang ninh,quang ninh,coal,coal,440.0,1200.0,172.7,True,False,True,,,100.0
exact_capacity_diff,Cong Thanh,Nhà máy nhiệt điện Uông Bí,thanh hoa,quang ninh,coal,coal,600.0,600.0,0.0,True,False,False,,,50.0
fuzzy_capacity_diff,Cà Mau I,Nhà máy nhiệt điện Cà Mau 1,ca mau,ca mau,gas,unknown,771.0,750.0,2.7,False,True,True,,,100.0
fuzzy_capacity_diff,Cà Mau II,Nhà máy nhiệt điện Cà Mau 2,ca mau,ca mau,gas,unknown,771.0,750.0,2.7,False,True,True,,,100.0
fuzzy_capacity_diff,Cẩm Phả 1,Nhà máy nhiệt điện Cẩm Phả 1,quang ninh,quang ninh,coal,coal,340.0,400.0,17.6,True,True,True,,,100.0
fuzzy_capacity_diff,Cẩm Phả 2,Nhà máy nhiệt điện Cẩm Phả 2,quang ninh,quang ninh,coal,coal,340.0,400.0,17.6,True,True,True,,,100.0
exact_capacity_diff,Dong Nai Formosa,Nhà máy nhiệt điện Cà Mau,đong nai,ca mau,coal,unknown,300.0,300.0,0.0,False,False,False,,,50.0
exact_capacity_diff,Duyen Hai 2,Nhà máy nhiệt điện Uông Bí mở rộng,tra vinh,quang ninh,coal,coal,600.0,600.0,0.0,True,True,False,,,53.333333333333336
exact_capacity_diff,Hai Duong,Nhà máy nhiệt điện Vinh Tân 4 mở rộng,hai duong,binh thuan,coal,coal,1200.0,1200.0,0.0,True,False,False,,,57.14285714285714
exact_capacity_diff,Hai Ha CHP Phase 2,Nhà máy nhiệt điện Cửu Long,quang ninh,ba ria - vung tau,coal,unknown,750.0,750.0,0.0,False,False,False,,,50.0
fuzzy,Hai Phong 1,Nhà máy nhiệt điện Hải Phòng,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,,90.0
fuzzy,Hai Phong 3,Nhà máy nhiệt điện Hải Phòng mở rộng,hai phong,hai phong,coal,coal,1200.0,1200.0,0.0,True,False,True,,,90.9090909090909
fuzzy_capacity_diff,LNG Bạc Liêu,Nhà máy nhiệt điện Bạc Liêu,bac lieu,bac lieu,gas,imported gas,3200.0,2250.0,29.7,False,False,True,,,100.0
exact_capacity_diff,LNG Cà Mau 1,Nhà máy nhiệt điện Vân Đồn,ca mau,quang ninh,gas,imported gas,1500.0,1500.0,0.0,False,False,False,,,62.5
exact_capacity_diff,LNG Cà Ná,Nhà máy nhiệt điện Cà Mau 3,ninh thuan,ca mau,gas,imported gas,1500.0,1500.0,0.0,False,False,False,,,80.0
exact_capacity_diff,LNG Hiệp Phước (phase II),Nhà máy nhiệt điện Kiên Lương,tp ho chi minh,kien giang,gas,imported gas,1500.0,1500.0,0.0,False,False,False,,,52.63157894736843
fuzzy,LNG Long An I,Nhà máy nhiệt điện Long An 1,long an,long an,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
fuzzy,LNG Long An II,Nhà máy nhiệt điện Long An 2,long an,long an,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Nhơn Trạch 3,Nhà máy nhiệt điện Nhơn Trạch 3,đong nai,đong nai,gas,imported gas,750.0,1500.0,100.0,False,True,True,,,100.0
fuzzy_capacity_diff,LNG Nhơn Trạch 4,Nhà máy nhiệt điện Nhơn Trạch 4,đong nai,đong nai,gas,imported gas,750.0,1500.0,100.0,False,False,True,,,100.0
exact_capacity_diff,LNG Phú Mỹ 3.1,Nhà máy nhiệt điện Phú Mỹ 5,ba ria - vung tau,ba ria - vung tau,gas,unknown,850.0,900.0,5.9,False,False,True,,,77.77777777777779
fuzzy,Long Phú 1,Nhà máy nhiệt điện Long Phú 1,soc trang,soc trang,coal,coal,1200.0,1200.0,0.0,True,True,True,,,100.0
fuzzy_capacity_diff,Long Phú 2,Nhà máy nhiệt điện Long Phú 2,soc trang,soc trang,coal,coal,1320.0,1200.0,9.1,True,False,True,,,100.0
fuzzy_capacity_diff,Long Phú 3,Nhà máy nhiệt điện Long Phú 3,soc trang,soc trang,coal,coal,1800.0,1200.0,33.3,True,False,True,,,100.0
fuzzy_capacity_diff,Mong Duong 1,Nhà máy nhiệt điện Mông Dương 1,quang ninh,quang ninh,coal,coal,1080.0,1000.0,7.4,True,True,True,,,100.0
fuzzy_capacity_diff,Mong Duong 2,Nhà máy nhiệt điện Mông Dương 2,quang ninh,quang ninh,coal,coal,1240.0,1200.0,3.2,True,True,True,,,100.0
fuzzy_capacity_diff,Na Dương 1,Nhà máy nhiệt điện Na Dương 1,lang son,lang son,coal,coal,110.0,220.0,100.0,True,True,True,,,100.0
fuzzy_capacity_diff,Na Dương 2,Nhà máy nhiệt điện Na Dương 2,lang son,lang son,coal,coal,110.0,1200.0,990.9,True,True,True,,,100.0
fuzzy_capacity_diff,Ninh Binh,Nhà máy nhiệt điện Ninh Bình,ninh binh,ninh binh,coal,coal,100.0,200.0,100.0,True,True,True,,,100.0
fuzzy_capacity_diff,NĐ Thủ Đức,Nhà máy nhiệt điện Thủ Đức,tp ho chi minh,ho chi minh,gas,unknown,290.0,300.0,3.4,False,False,False,,,94.73684210526316
fuzzy_capacity_diff,NĐ Ô Môn I,Nhà máy nhiệt điện Ô Môn 1,can tho,can tho,unknown,unknown,660.0,750.0,13.6,True,True,True,,,94.73684210526316
fuzzy,Phả Lại 1,Nhà máy nhiệt điện Phả Lại 1,hai duong,hai duong,coal,coal,440.0,440.0,0.0,True,True,True,,,100.0
fuzzy_capacity_diff,Phả Lại 2,Nhà máy nhiệt điện Phả Lại 2,hai duong,hai duong,coal,coal,600.0,1200.0,100.0,True,True,True,,,100.0
fuzzy,Quang Ninh 3,Nhà máy nhiệt điện Quảng Ninh,quang ninh,quang ninh,gas,coal,1200.0,1200.0,0.0,False,False,True,,,90.9090909090909
fuzzy_capacity_diff,Quảng Trạch 2,Nhà máy nhiệt điện Quảng Trạch,quang binh,quang binh,gas,coal,1200.0,600.0,50.0,False,False,True,,,91.66666666666666
fuzzy,Quảng Trị 2,Nhà máy nhiệt điện Quảng Trị,quang tri,quang tri,coal,coal,1200.0,1200.0,0.0,True,False,True,,,90.0
fuzzy,Sông Hậu 1,Nhà máy nhiệt điện Sông Hậu 1,hau giang,hau giang,coal,coal,1200.0,1200.0,0.0,True,False,True,,,100.0
fuzzy_capacity_diff,Sông Hậu 2,Nhà máy nhiệt điện Sông Hậu 2,hau giang,hau giang,coal,coal,2000.0,1200.0,40.0,True,False,True,,,100.0
exact_capacity_diff,TBKHH Bà Rịa 2,Nhà máy nhiệt điện Bà Rịa (OCGT),ba ria - vung tau,ba ria - vung tau,gas,unknown,175.0,180.0,2.9,False,False,True,,,85.71428571428572
fuzzy_capacity_diff,TBKHH Dung Quất I,Nhà máy nhiệt điện Dung Quất 1,quang ngai,quang ngai,gas,coal,750.0,600.0,20.0,False,False,True,,,100.0
fuzzy_capacity_diff,TBKHH Dung Quất II,Nhà máy nhiệt điện Dung Quất 2,quang ngai,quang ngai,gas,coal,750.0,1200.0,60.0,False,False,True,,,100.0
fuzzy_capacity_diff,TBKHH Dung Quất III,Nhà máy nhiệt điện Dung Quất 3,quang ngai,quang ngai,gas,coal,750.0,1200.0,60.0,False,False,True,,,100.0
fuzzy_capacity_diff,TBKHH Nhơn Trạch I,Nhà máy nhiệt điện Nhơn Trạch 1,đong nai,đong nai,gas,unknown,465.0,450.0,3.2,False,True,True,,,100.0
fuzzy_capacity_diff,TBKHH Nhơn Trạch II,Nhà máy nhiệt điện Nhơn Trạch 2,đong nai,đong nai,gas,unknown,750.0,900.0,20.0,False,True,True,,,100.0
fuzzy_capacity_diff,TBKHH Phú Mỹ 1,Nhà máy nhiệt điện Phú Mỹ 1,ba ria - vung tau,ba ria - vung tau,gas,unknown,1140.0,750.0,34.2,False,True,True,,,100.0
fuzzy_capacity_diff,TBKHH Phú Mỹ 2.1,Nhà máy nhiệt điện Phú Mỹ 2-1,ba ria - vung tau,ba ria - vung tau,gas,unknown,499.0,750.0,50.3,False,True,True,,,90.0
fuzzy_capacity_diff,TBKHH Phú Mỹ 2.2,Nhà máy nhiệt điện Phú Mỹ 2-2,ba ria - vung tau,ba ria - vung tau,gas,unknown,740.0,750.0,1.4,False,True,True,,,90.0
fuzzy_capacity_diff,TBKHH Phú Mỹ 3,Nhà máy nhiệt điện Phú Mỹ 3,ba ria - vung tau,ba ria - vung tau,gas,unknown,740.0,715.0,3.4,False,True,True,,,100.0
fuzzy_capacity_diff,TBKHH Phú Mỹ 4,Nhà máy nhiệt điện Phú Mỹ 4,ba ria - vung tau,ba ria - vung tau,gas,unknown,468.0,900.0,92.3,False,True,True,,,100.0
exact_capacity_diff,TBKHH miền Trung I,Nhà máy nhiệt điện Sông Mây,quang nam,ba ria - vung tau,gas,unknown,750.0,750.0,0.0,False,False,False,,,58.33333333333333
exact_capacity_diff,TBKHH miền Trung II,Nhà máy nhiệt điện Bà Rịa,quang nam,ba ria - vung tau,gas,unknown,750.0,900.0,20.0,False,False,False,,,45.45454545454546
fuzzy_capacity_diff,TBKHH Ô Môn II,Nhà máy nhiệt điện Ô Môn 2,can tho,can tho,gas,unknown,1050.0,750.0,28.6,False,False,True,,,100.0
fuzzy_capacity_diff,TBKHH Ô Môn III,Nhà máy nhiệt điện Ô Môn 3,can tho,can tho,gas,unknown,1050.0,750.0,28.6,False,False,True,,,100.0
fuzzy_capacity_diff,TBKHH Ô Môn IV,Nhà máy nhiệt điện Ô Môn 4,can tho,can tho,gas,unknown,1050.0,750.0,28.6,False,False,True,,,100.0
fuzzy_capacity_diff,Thang Long,Nhà máy nhiệt điện Thăng Long,quang ninh,ba ria - vung tau,coal,unknown,600.0,900.0,50.0,False,True,False,,,100.0
fuzzy_capacity_diff,Thái Bình 1,Nhà máy nhiệt điện Thái Bình 1,thai binh,thai binh,coal,coal,600.0,1200.0,100.0,True,True,True,,,100.0
fuzzy,Thái Bình 2,Nhà máy nhiệt điện Thái Bình 2,thai binh,thai binh,coal,coal,1200.0,1200.0,0.0,True,False,True,,,100.0
fuzzy,Vinh Tan 1,Nhà máy nhiệt điện Vinh Tân 1,binh thuan,binh thuan,coal,coal,1200.0,1200.0,0.0,True,True,True,,,100.0
fuzzy_capacity_diff,Vinh Tan 2,Nhà máy nhiệt điện Vinh Tân 2,binh thuan,binh thuan,coal,coal,1244.0,1200.0,3.5,True,True,True,,,100.0
fuzzy,Vinh Tan 4,Nhà máy nhiệt điện Vinh Tân 4,binh thuan,binh thuan,coal,coal,1200.0,1200.0,0.0,True,True,True,,,100.0
fuzzy_capacity_diff,Vân Phong 1,Nhà máy nhiệt điện Vân Phong,khanh hoa,khanh hoa,coal,imported gas,1432.0,1500.0,4.7,False,False,True,,,90.0
reference_only,An Khánh - Bac Giang,,bac giang,,coal,,650.0,,,,,,,,
reference_only,Bà Rịa GT,,ba ria - vung tau,,gas,,46.0,,,,,,,,
reference_only,Cao Ngạn,,thai nguyen,,coal,,114.0,,,,,,,,
reference_only,Dong Nai Formosa,,đong nai,,coal,,150.0,,,,,,,,
reference_only,Duc Giang - Lao Cai Chemical,,lao cai,,coal,,100.0,,,,,,,,
reference_only,Dung Quat Special Economic Zone (J-Power) Phase I,,quang ngai,,coal,,2400.0,,,,,,,,
reference_only,Dung Quat Special Economic Zone (J-Power) Phase II,,quang ngai,,coal,,2000.0,,,,,,,,
reference_only,Duyen Hai 1,,tra vinh,,coal,,1244.0,,,,,,,,
reference_only,Duyen Hai 3,,tra vinh,,coal,,1244.0,,,,,,,,
reference_only,Duyen Hai 3 Extension,,tra vinh,,coal,,660.0,,,,,,,,
reference_only,Duyên Hải 2,,tra vinh,,coal,,1200.0,,,,,,,,
reference_only,Formosa HT2,,ha tinh,,coal,,650.0,,,,,,,,
reference_only,Ha Tinh Formosa Plastics Steel Complex,,ha tinh,,coal,,450.0,,,,,,,,
reference_only,Ha Tinh Formosa Plastics Steel Complex,,ha tinh,,coal,,450.0,,,,,,,,
reference_only,Hai Ha CHP Phase 1,,quang ninh,,coal,,150.0,,,,,,,,
reference_only,Hai Ha CHP Phase 3,,quang ninh,,coal,,600.0,,,,,,,,
reference_only,Hai Ha CHP Phase 4,,quang ninh,,coal,,600.0,,,,,,,,
reference_only,Hai Phong 2,,hai phong,,coal,,600.0,,,,,,,,
reference_only,Hải Phòng,,hai phong,,gas,,500.0,,,,,,,,
reference_only,LNG Bà Rịa 2,,ba ria - vung tau,,gas,,1200.0,,,,,,,,
reference_only,LNG Bình Định,,binh đinh,,gas,,5000.0,,,,,,,,
reference_only,LNG Bến Tre,,ben tre,,gas,,3000.0,,,,,,,,
reference_only,LNG Chân Mây,,hue,,gas,,4000.0,,,,,,,,
reference_only,"LNG Cà Mau 2,3",,ca mau,,gas,,3000.0,,,,,,,,
reference_only,LNG Cà Ná II+III,,ninh thuan,,gas,,4500.0,,,,,,,,
reference_only,LNG Cái Mép Hạ,,ba ria - vung tau,,gas,,6000.0,,,,,,,,
reference_only,LNG Hiệp Phước (phase I),,tp ho chi minh,,gas,,1200.0,,,,,,,,
reference_only,LNG Hà Tĩnh,,ha tinh,,gas,,6000.0,,,,,,,,
reference_only,LNG Hải Lăng,,quang tri,,gas,,1500.0,,,,,,,,
reference_only,LNG Hải Lăng (2 and 3),,quang tri,,gas,,4500.0,,,,,,,,
reference_only,LNG Hải Phòng 1 (Tiên Lãng),,hai phong,,coal,,4500.0,,,,,,,,
reference_only,LNG Hải Phòng 2 (Cát Hải),,hai phong,,coal,,1600.0,,,,,,,,
reference_only,LNG Hải Phòng 3 (Cát Hải),,hai phong,,coal,,4500.0,,,,,,,,
reference_only,LNG Hải Phòng 4 (Đồ Sơn),,hai phong,,gas,,4500.0,,,,,,,,
reference_only,LNG Long An I phase 2,,long an,,gas,,1500.0,,,,,,,,
reference_only,LNG Long An II phase 2,,long an,,gas,,1500.0,,,,,,,,
reference_only,LNG Long Sơn,,ba ria - vung tau,,gas,,1200.0,,,,,,,,
reference_only,LNG Long Sơn II+III,,ba ria - vung tau,,gas,,3200.0,,,,,,,,
reference_only,LNG Long Sơn IV (địa điểm Tây),,ba ria - vung tau,,gas,,3600.0,,,,,,,,
reference_only,LNG Mũi Kê Gà 1,,binh thuan,,gas,,1200.0,,,,,,,,
reference_only,"LNG Mũi Kê Gà 2,3",,binh thuan,,gas,,2400.0,,,,,,,,
reference_only,LNG Mỹ Giang,,khanh hoa,,gas,,6000.0,,,,,,,,
reference_only,LNG Nghi Sơn (Thanh Hóa),,thanh hoa,,gas,,5000.0,,,,,,,,
reference_only,LNG Núi Thành (Quảng Nam),,quang nam,,gas,,3200.0,,,,,,,,
reference_only,LNG Phong Điền – Huế,,hue,,gas,,3000.0,,,,,,,,
reference_only,LNG Quảng Bình,,quang binh,,gas,,3000.0,,,,,,,,
reference_only,LNG Quảng Nam,,quang nam,,gas,,4000.0,,,,,,,,
reference_only,LNG Quảng Ninh 1 (Cẩm Phả),,quang ninh,,gas,,1500.0,,,,,,,,
reference_only,LNG Quảng Ninh 2 (Cẩm Phả),,quang ninh,,gas,,1500.0,,,,,,,,
reference_only,LNG Quảng Ninh 3 (Quảng Yên),,quang ninh,,gas,,4500.0,,,,,,,,
reference_only,LNG Quảng Ninh 4 (Hải Hà),,quang ninh,,gas,,3000.0,,,,,,,,
reference_only,LNG Quảng Trạch 2,,quang binh,,gas,,1500.0,,,,,,,,
reference_only,LNG Quỳnh Lập,,nghe an,,gas,,1500.0,,,,,,,,
reference_only,LNG Sông Đốc (Cà Mau),,ca mau,,gas,,3000.0,,,,,,,,
reference_only,LNG Sơn Mỹ I,,binh thuan,,gas,,2250.0,,,,,,,,
reference_only,LNG Sơn Mỹ II,,binh thuan,,gas,,2250.0,,,,,,,,
reference_only,LNG Thái Bình,,thai binh,,gas,,4500.0,,,,,,,,
reference_only,LNG Tân Phước,,tien giang,,gas,,4500.0,,,,,,,,
reference_only,"LNG Tân Thuận – Đầm Dơi, Cà Mau",,ca mau,,gas,,3200.0,,,,,,,,
reference_only,LNG Vân Phong (J-Power),,khanh hoa,,gas,,3000.0,,,,,,,,
reference_only,LNG Vân Phong (Mỹ Giang) phase 1,,khanh hoa,,gas,,3000.0,,,,,,,,
reference_only,LNG Vân Phong (Mỹ Giang) phase 2,,khanh hoa,,gas,,3000.0,,,,,,,,
