match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
exact_capacity_diff,An Khánh - Bac Giang,Nhà máy Điện Hải Hòa 5,bac giang,quang ninh,coal,coal,650.0,600.0,7.7,True,False,False,,,50.0
exact_capacity_diff,Cong Thanh,Nhà máy Điện Hải Hòa 6,thanh hoa,quang ninh,coal,coal,600.0,600.0,0.0,True,True,False,,,50.0
fuzzy_capacity_diff,Cà Mau I,Nhà máy Điện Cà Mau 1,ca mau,ca mau,gas,coal,771.0,600.0,22.2,False,True,True,,,100.0
fuzzy_capacity_diff,Cà Mau II,Nhà máy Điện Cà Mau 2,ca mau,ca mau,gas,coal,771.0,600.0,22.2,False,True,True,,,100.0
exact_capacity_diff,Duyen Hai 2,Nhà máy Điện Nam Định 2,tra vinh,nam đinh,coal,coal,600.0,600.0,0.0,True,True,False,,,54.54545454545454
exact_capacity_diff,Duyen Hai 3 Extension,Nhà máy Điện Đà Nẵng,tra vinh,đa nang,coal,coal,660.0,600.0,9.1,True,True,False,,,43.24324324324324
exact_capacity_diff,Formosa HT2,Nhà máy Điện Hải Hòa 3,ha tinh,quang ninh,coal,coal,650.0,600.0,7.7,True,False,False,,,40.0
exact_capacity_diff,Hai Duong,Nhà máy Điện Phú Mỹ 6,hai duong,ba ria - vung tau,coal,coal,1200.0,1200.0,0.0,True,True,False,,,46.15384615384615
exact_capacity_diff,Hai Ha CHP Phase 3,Nhà máy Điện Nam Định 3,quang ninh,nam đinh,coal,coal,600.0,600.0,0.0,True,False,False,,,45.714285714285715
exact_capacity_diff,Hai Ha CHP Phase 4,Nhà máy Điện Hải Hòa 4,quang ninh,quang ninh,coal,coal,600.0,600.0,0.0,True,False,True,,,59.25925925925925
exact_capacity_diff,Hai Phong 1,Nhà máy Điện Phúc Hùng,hai phong,hai duong,coal,coal,600.0,600.0,0.0,True,True,False,,,52.63157894736843
exact_capacity_diff,Hai Phong 2,Nhà máy Điện Hải Hòa 2,hai phong,quang ninh,coal,coal,600.0,600.0,0.0,True,False,False,,,80.0
exact_capacity_diff,Hải Phòng,Nhà máy Điện Hải Hòa 7,hai phong,quang ninh,gas,coal,500.0,600.0,20.0,False,False,False,,,66.66666666666667
fuzzy_capacity_diff,LNG Cà Ná,Nhà máy Điện Cà Ná,ninh thuan,ninh thuan,gas,coal,1500.0,600.0,60.0,False,False,True,,,100.0
exact_capacity_diff,LNG Hiệp Phước (phase I),Nhà máy Điện Phú Mỹ 7,tp ho chi minh,ba ria - vung tau,gas,coal,1200.0,1200.0,0.0,False,False,False,,,60.0
exact_capacity_diff,LNG Long Sơn,Nhà máy Điện Phú Mỹ 5,ba ria - vung tau,ba ria - vung tau,gas,coal,1200.0,1200.0,0.0,False,False,True,,,33.333333333333336
fuzzy_capacity_diff,LNG Nghi Sơn (Thanh Hóa),Nhà máy Điện Nghi Sơn,thanh hoa,thanh hoa,gas,coal,5000.0,1200.0,76.0,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Thái Bình,Nhà máy Điện Thái Bình 3,thai binh,thai binh,gas,coal,4500.0,600.0,86.7,False,False,True,,,100.0
