match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
exact_capacity_diff,An Khánh - Bac Giang,Nhà máy nhiệt điện Cà Mau 75,bac giang,ca mau,coal,coal,650.0,1200.0,84.6,True,False,False,,,48.275862068965516
exact_capacity_diff,Bà Rịa GT,Nhà máy nhiệt điện Cà Mau 33,ba ria - vung tau,ca mau,gas,coal,46.0,1200.0,2508.7,False,True,False,,,47.05882352941176
exact_capacity_diff,Cao Ngạn,Nhà máy nhiệt điện Cà Mau 63,thai nguyen,ca mau,coal,coal,114.0,1200.0,952.6,True,True,False,,,50.0
exact_capacity_diff,Cong Thanh,Nhà máy nhiệt điện Cà Mau 49,thanh hoa,ca mau,coal,coal,600.0,1200.0,100.0,True,False,False,,,50.0
fuzzy_capacity_diff,Cà Mau II,Nhà máy nhiệt điện Cà Mau 2,ca mau,ca mau,gas,coal,771.0,1200.0,55.6,False,True,True,,,100.0
exact_capacity_diff,Dong Nai Formosa,Nhà máy nhiệt điện Cà Mau 56,đong nai,ca mau,coal,coal,150.0,1200.0,700.0,True,False,False,,,45.45454545454546
exact_capacity_diff,Dong Nai Formosa,Nhà máy nhiệt điện Cà Mau 37,đong nai,ca mau,coal,coal,300.0,1200.0,300.0,True,False,False,,,45.45454545454546
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Nhà máy nhiệt điện Cà Mau 42,lao cai,ca mau,coal,coal,100.0,1200.0,1100.0,True,False,False,,,41.860465116279066
fuzzy_capacity_diff,Duyen Hai 1,Nhà máy nhiệt điện Duyên Hải 1,tra vinh,tra vinh,coal,coal,1244.0,1200.0,3.5,True,True,True,,,100.0
fuzzy_capacity_diff,Duyen Hai 3,Nhà máy nhiệt điện Duyên Hải 3,tra vinh,tra vinh,coal,coal,1244.0,1200.0,3.5,True,True,True,,,100.0
fuzzy,Duyên Hải 2,Nhà máy nhiệt điện Duyên Hải 2,tra vinh,tra vinh,coal,coal,1200.0,1200.0,0.0,True,True,True,,,100.0
exact_capacity_diff,Formosa HT2,Nhà máy nhiệt điện Cà Mau 68,ha tinh,ca mau,coal,coal,650.0,1200.0,84.6,True,False,False,,,45.45454545454546
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Nhà máy nhiệt điện Cà Mau 39,ha tinh,ca mau,coal,coal,450.0,1200.0,166.7,True,False,False,,,45.45454545454546
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Nhà máy nhiệt điện Cà Mau 27,ha tinh,ca mau,coal,coal,450.0,1200.0,166.7,True,False,False,,,45.45454545454546
exact_capacity_diff,Hai Duong,Nhà máy nhiệt điện Cà Mau 22,hai duong,ca mau,coal,coal,1200.0,1200.0,0.0,True,True,False,,,46.15384615384615
fuzzy,Hai Phong 1,Nhà máy nhiệt điện Hải Phòng,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,,90.0
exact_capacity_diff,Hai Phong 3,Nhà máy nhiệt điện Nghi Sơn 3,hai phong,thanh hoa,coal,coal,1200.0,1200.0,0.0,True,False,False,,,73.6842105263158
exact_capacity_diff,Hải Phòng,Nhà máy nhiệt điện Cà Mau 35,hai phong,ca mau,gas,coal,500.0,1200.0,140.0,False,False,False,,,46.15384615384615
exact_capacity_diff,LNG Bình Định,Nhà máy nhiệt điện Cà Mau 46,binh đinh,ca mau,gas,coal,5000.0,1200.0,76.0,False,False,False,,,55.55555555555556
exact_capacity_diff,LNG Bạc Liêu,Nhà máy nhiệt điện Cà Mau 21,bac lieu,ca mau,gas,coal,3200.0,1200.0,62.5,False,False,False,,,50.0
exact_capacity_diff,LNG Bến Tre,Nhà máy nhiệt điện Cà Mau 54,ben tre,ca mau,gas,coal,3000.0,1200.0,60.0,False,False,False,,,42.85714285714286
exact_capacity_diff,LNG Chân Mây,Nhà máy nhiệt điện Cà Mau 32,hue,ca mau,gas,coal,4000.0,1200.0,70.0,False,False,False,,,80.0
fuzzy_capacity_diff,LNG Cà Mau 1,Nhà máy nhiệt điện Cà Mau 1,ca mau,ca mau,gas,coal,1500.0,1200.0,20.0,False,True,True,,,100.0
fuzzy_capacity_diff,"LNG Cà Mau 2,3",Nhà máy nhiệt điện Cà Mau 23,ca mau,ca mau,gas,coal,3000.0,1200.0,60.0,False,False,True,,,94.73684210526316
exact_capacity_diff,LNG Cà Ná,Nhà máy nhiệt điện Cà Mau 16,ninh thuan,ca mau,gas,coal,1500.0,1200.0,20.0,False,False,False,,,80.0
exact_capacity_diff,LNG Cà Ná II+III,Nhà máy nhiệt điện Cà Mau 11,ninh thuan,ca mau,gas,coal,4500.0,1200.0,73.3,False,False,False,,,55.55555555555556
exact_capacity_diff,LNG Cái Mép Hạ,Nhà máy nhiệt điện Cà Mau 55,ba ria - vung tau,ca mau,gas,coal,6000.0,1200.0,80.0,False,False,False,,,52.63157894736843
exact_capacity_diff,LNG Hiệp Phước (phase I),Nhà máy nhiệt điện Cà Mau 25,tp ho chi minh,ca mau,gas,coal,1200.0,1200.0,0.0,False,False,False,,,40.0
exact_capacity_diff,LNG Hiệp Phước (phase II),Nhà máy nhiệt điện Cà Mau 47,tp ho chi minh,ca mau,gas,coal,1500.0,1200.0,20.0,False,False,False,,,40.0
exact_capacity_diff,LNG Hà Tĩnh,Nhà máy nhiệt điện Cà Mau 57,ha tinh,ca mau,gas,coal,6000.0,1200.0,80.0,False,False,False,,,57.14285714285714
exact_capacity_diff,LNG Hải Lăng,Nhà máy nhiệt điện Cà Mau 36,quang tri,ca mau,gas,coal,1500.0,1200.0,20.0,False,False,False,,,62.5
exact_capacity_diff,LNG Hải Lăng (2 and 3),Nhà máy nhiệt điện Cà Mau 28,quang tri,ca mau,gas,coal,4500.0,1200.0,73.3,False,False,False,,,62.5
exact_capacity_diff,LNG Long Sơn,Nhà máy nhiệt điện Cà Mau 14,ba ria - vung tau,ca mau,gas,coal,1200.0,1200.0,0.0,False,False,False,,,33.333333333333336
exact_capacity_diff,LNG Long Sơn II+III,Nhà máy nhiệt điện Cà Mau 98,ba ria - vung tau,ca mau,gas,coal,3200.0,1200.0,62.5,False,False,False,,,33.333333333333336
exact_capacity_diff,"LNG Mũi Kê Gà 2,3",Nhà máy nhiệt điện Cà Mau 26,binh thuan,ca mau,gas,coal,2400.0,1200.0,50.0,False,False,False,,,46.15384615384615
exact_capacity_diff,LNG Mỹ Giang,Nhà máy nhiệt điện Cà Mau 58,khanh hoa,ca mau,gas,coal,6000.0,1200.0,80.0,False,False,False,,,50.0
exact_capacity_diff,LNG Nghi Sơn (Thanh Hóa),Nhà máy nhiệt điện Cà Mau 15,thanh hoa,ca mau,gas,coal,5000.0,1200.0,76.0,False,False,False,,,50.0
exact_capacity_diff,LNG Núi Thành (Quảng Nam),Nhà máy nhiệt điện Cà Mau 52,quang nam,ca mau,gas,coal,3200.0,1200.0,62.5,False,False,False,,,50.0
exact_capacity_diff,LNG Phong Điền – Huế,Nhà máy nhiệt điện Cà Mau 17,hue,ca mau,gas,coal,3000.0,1200.0,60.0,False,False,False,,,56.25
exact_capacity_diff,LNG Phú Mỹ 3.1,Nhà máy nhiệt điện Cà Mau 45,ba ria - vung tau,ca mau,gas,coal,850.0,1200.0,41.2,False,False,False,,,55.55555555555556
exact_capacity_diff,LNG Quảng Bình,Nhà máy nhiệt điện Cà Mau 50,quang binh,ca mau,gas,coal,3000.0,1200.0,60.0,False,False,False,,,40.0
exact_capacity_diff,LNG Quảng Nam,Nhà máy nhiệt điện Cà Mau 59,quang nam,ca mau,gas,coal,4000.0,1200.0,70.0,False,False,False,,,44.44444444444444
exact_capacity_diff,LNG Quỳnh Lập,Nhà máy nhiệt điện Cà Mau 62,nghe an,ca mau,gas,coal,1500.0,1200.0,20.0,False,False,False,,,53.333333333333336
exact_capacity_diff,LNG Sông Đốc (Cà Mau),Nhà máy nhiệt điện Cà Mau 85,ca mau,ca mau,gas,coal,3000.0,1200.0,60.0,False,False,True,,,37.5
exact_capacity_diff,LNG Thái Bình,Nhà máy nhiệt điện Cà Mau 60,thai binh,ca mau,gas,coal,4500.0,1200.0,73.3,False,False,False,,,55.55555555555556
exact_capacity_diff,LNG Tân Phước,Nhà máy nhiệt điện Cà Mau 43,tien giang,ca mau,gas,coal,4500.0,1200.0,73.3,False,False,False,,,44.44444444444444
exact_capacity_diff,"LNG Tân Thuận – Đầm Dơi, Cà Mau",Nhà máy nhiệt điện Cà Mau 94,ca mau,ca mau,gas,coal,3200.0,1200.0,62.5,False,False,True,,,53.84615384615385
exact_capacity_diff,LNG Vân Phong (J-Power),Nhà máy nhiệt điện Cà Mau 66,khanh hoa,ca mau,gas,coal,3000.0,1200.0,60.0,False,False,False,,,36.36363636363637
exact_capacity_diff,LNG miền Nam,Nhà máy nhiệt điện Cà Mau 40,"hiep phuoc 2, ben tre, mui ke ga, ca mau,",ca mau,gas,coal,1500.0,1200.0,20.0,False,False,False,,,75.0
exact_capacity_diff,Lee & Man,Nhà máy nhiệt điện Cà Mau 31,hau giang,ca mau,coal,coal,125.0,1200.0,860.0,True,True,False,,,55.55555555555556
exact_capacity_diff,Mao Khe,Nhà máy nhiệt điện Cà Mau 30,quang ninh,ca mau,coal,coal,440.0,1200.0,172.7,True,True,False,,,57.14285714285714
fuzzy_capacity_diff,Nghi Son 1,Nhà máy nhiệt điện Nghi Sơn 1,thanh hoa,thanh hoa,coal,coal,600.0,1200.0,100.0,True,True,True,,,100.0
fuzzy,Nghi Son 2,Nhà máy nhiệt điện Nghi Sơn 2,thanh hoa,thanh hoa,coal,coal,1200.0,1200.0,0.0,True,True,True,,,100.0
exact_capacity_diff,Ninh Binh,Nhà máy nhiệt điện Cà Mau 73,ninh binh,ca mau,coal,coal,100.0,1200.0,1100.0,True,False,False,,,46.15384615384615
exact_capacity_diff,Ninh Thuan Novatek project,Nhà máy nhiệt điện Cà Mau 70,ninh thuan,ca mau,gas,coal,4500.0,1200.0,73.3,False,False,False,,,43.47826086956522
exact_capacity_diff,NĐ Cần Thơ,Nhà máy nhiệt điện Cà Mau 72,can tho,ca mau,unknown,coal,165.0,1200.0,627.3,False,True,False,,,50.0
exact_capacity_diff,NĐ Hiệp Phước,Nhà máy nhiệt điện Cà Mau 48,tp ho chi minh,ca mau,unknown,coal,310.0,1200.0,287.1,False,True,False,,,46.15384615384615
exact_capacity_diff,NĐ LNG miền Bắc,Nhà máy nhiệt điện Cà Mau 69,"thai binh, nam đinh, nghi son, thanh hoa",ca mau,gas,coal,0.0,1200.0,,False,False,False,,,53.333333333333336
exact_capacity_diff,NĐ Thủ Đức,Nhà máy nhiệt điện Cà Mau 74,tp ho chi minh,ca mau,gas,coal,290.0,1200.0,313.8,False,True,False,,,42.85714285714286
exact_capacity_diff,Quang Ninh 3,Nhà máy nhiệt điện Cà Mau 3,quang ninh,ca mau,gas,coal,1200.0,1200.0,0.0,False,False,False,,,42.10526315789473
exact_capacity_diff,Quảng Trị – Huế area,Nhà máy nhiệt điện Cà Mau 76,quang tri,ca mau,gas,coal,4000.0,1200.0,70.0,False,False,False,,,40.0
exact_capacity_diff,Son Dong,Nhà máy nhiệt điện Cà Mau 10,bac giang,ca mau,coal,coal,220.0,1200.0,445.5,True,True,False,,,33.333333333333336
exact_capacity_diff,TBKHH Phú Mỹ 2.1,Nhà máy nhiệt điện Cà Mau 78,ba ria - vung tau,ca mau,gas,coal,499.0,1200.0,140.5,False,True,False,,,55.55555555555556
exact_capacity_diff,TBKHH Phú Mỹ 2.1 MR,Nhà máy nhiệt điện Cà Mau 81,ba ria - vung tau,ca mau,gas,coal,450.0,1200.0,166.7,False,True,False,,,47.61904761904761
exact_capacity_diff,TBKHH Phú Mỹ 2.2,Nhà máy nhiệt điện Cà Mau 61,ba ria - vung tau,ca mau,gas,coal,740.0,1200.0,62.2,False,True,False,,,55.55555555555556
exact_capacity_diff,TBKHH Quảng Trị (khí Báo Vàng),Nhà máy nhiệt điện Cà Mau 20,quang tri,ca mau,gas,coal,340.0,1200.0,252.9,False,False,False,,,33.333333333333336
exact_capacity_diff,TBKHH Ô Môn IV,Nhà máy nhiệt điện Cà Mau 4,can tho,ca mau,gas,coal,1050.0,1200.0,14.3,False,False,False,,,61.53846153846154
exact_capacity_diff,Thang Long,Nhà máy nhiệt điện Cà Mau 34,quang ninh,ca mau,coal,coal,600.0,1200.0,100.0,True,True,False,,,42.85714285714286
fuzzy,Thái Bình 1,Nhà máy nhiệt điện Thái Bình 1,thai binh,thai binh,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
fuzzy_capacity_diff,Thái Bình 2,Nhà máy nhiệt điện Thái Bình 2,thai binh,thai binh,coal,coal,1200.0,600.0,50.0,True,True,True,,,100.0
exact_capacity_diff,Uong Bi I extension,Nhà máy nhiệt điện Phả Lại,quang ninh,bac ninh,coal,coal,300.0,300.0,0.0,True,True,False,,,37.83783783783784
exact_capacity_diff,Uong Bi II extension,Nhà máy nhiệt điện Uông Bí,quang ninh,quang ninh,coal,coal,330.0,300.0,9.1,True,True,True,,,53.84615384615385
exact_capacity_diff,Vedan Vietnam Cogeneration power station,Nhà máy nhiệt điện Cà Mau 24,đong nai,ca mau,coal,coal,60.0,1200.0,1900.0,True,True,False,,,42.85714285714286
exact_capacity_diff,Vinh Tan 4,Nhà máy nhiệt điện Nghi Sơn 4,binh thuan,thanh hoa,coal,coal,1200.0,1200.0,0.0,True,True,False,,,60.0
reference_only,An Khánh 1,,thai nguyen,,coal,,116.0,,,,,,,,
reference_only,Bạc Liêu 1,,bac lieu,,coal,,1200.0,,,,,,,,
reference_only,Cam Pha 3,,quang ninh,,coal,,440.0,,,,,,,,
reference_only,Cà Mau I,,ca mau,,gas,,771.0,,,,,,,,
reference_only,Cẩm Phả 1,,quang ninh,,coal,,340.0,,,,,,,,
reference_only,Cẩm Phả 2,,quang ninh,,coal,,340.0,,,,,,,,
reference_only,Dung Quat Special Economic Zone (J-Power) Phase I,,quang ngai,,coal,,2400.0,,,,,,,,
reference_only,Dung Quat Special Economic Zone (J-Power) Phase II,,quang ngai,,coal,,2000.0,,,,,,,,
reference_only,Duyen Hai 2,,tra vinh,,coal,,600.0,,,,,,,,
reference_only,Duyen Hai 3 Extension,,tra vinh,,coal,,660.0,,,,,,,,
reference_only,Hai Ha CHP Phase 1,,quang ninh,,coal,,150.0,,,,,,,,
reference_only,Hai Ha CHP Phase 2,,quang ninh,,coal,,750.0,,,,,,,,
reference_only,Hai Ha CHP Phase 3,,quang ninh,,coal,,600.0,,,,,,,,
reference_only,Hai Ha CHP Phase 4,,quang ninh,,coal,,600.0,,,,,,,,
reference_only,Hai Phong 2,,hai phong,,coal,,600.0,,,,,,,,
reference_only,LNG Bà Rịa 2,,ba ria - vung tau,,gas,,1200.0,,,,,,,,
