name,fuel,status,cod,province,capacity_mwe
Nhiệt điện Vĩnh Tân 1,Coal,Operational,2018,Bình Thuận,0
Nhiệt điện Vĩnh Tân 2,Coal,Operational,2019,Bình Thuận,0
Nhiệt điện Vĩnh Tân 4,Coal,Operational,2022,Bình Thuận,0
Nhiệt điện Mông Dương 2,Coal,Operational,2015,Quảng Ninh,0
Nhiệt điện Duyên Hải 3,Coal,Operational,2016,Trà Vinh,0
Nhiệt điện Vũng Áng 1,Coal,Operational,2015,Hà Tĩnh,0
Nhiệt điện Nghi Sơn 2,Coal,Operational,2022,Thanh Hóa,0
Nhiệt điện Sông Hậu 1,Coal,Operational,2020,Hậu Giang,0
Nhiệt điện Thái Bình 2,Coal,Under construction,2025,Thái Bình,0
Nhiệt điện Long Phú 1,Coal,Suspended,N/A,Sóc Trăng,0
Nhiệt điện Nam Định 1,Coal,Cancelled,N/A,Nam Định,0
Nhiệt điện Quảng Trạch 1,Coal,Under construction,2026,Quảng Bình,0
Nhiệt điện Phú Mỹ 3,Domestic gas,Operational,2004,Bà Rịa-Vũng Tàu,0
Nhiệt điện Nhơn Trạch 3&4,Domestic gas,Under construction,2024,Đồng Nai,0
Nhiệt điện Ô Môn 3,Domestic gas,Approved,2026,Cần Thơ,0
Nhiệt điện Bạc Liêu,Imported LNG,Approved,2027,Bạc Liêu,0
Nhiệt điện Sơn Mỹ 2,Imported LNG,Planned,2030,Bình Thuận,0
Nhiệt điện Hiệp Phước,Imported LNG,Planned,2028,Hồ Chí Minh,0
