name,fuel,status,cod,province,capacity_mwe
Pha Lai 1,Coal,Operating,1983,Hai Duong,440
Pha Lai 2,Coal,Operating,2002,Hai Duong,600
Ninh Binh,Coal,Operating,1974,Ninh Binh,100
Uong Bi (units 1-6),Coal,Operating,1964-2005,Quang Ninh,300
Uong Bi MR (expansion),Coal,Operating,2014,Quang Ninh,330
Na Duong 1,Coal,Operating,2004,Lang Son,110
Na Duong 2,Coal,Planning/Approved,2026,Lang Son,110
Cao Ngan,Coal,Operating,2006,Thai Nguyen,100
Son Dong,Coal,Operating,2017,Bac Giang,220
An Khanh 1,Coal,Operating,2015,Thai Nguyen,50
Quang Ninh 1,Coal,Operating,2010,Quang Ninh,600
Quang Ninh 2,Coal,Operating,2014,Quang Ninh,600
Hai Phong 1,Coal,Operating,2010,Hai Phong,600
Hai Phong 2,Coal,Operating,2014,Hai Phong,600
Mong Duong 1,Coal,Operating,2015,Quang Ninh,1080
Mong Duong 2,Coal,Operating,2015,Quang Ninh,1200
Thang Long,Coal,Operating,2018,Quang Ninh,600
Nghi Son 1,Coal,Operating,2013,Thanh Hoa,600
Nghi Son 2,Coal,Operating,2022-2023,Thanh Hoa,1330
Vung Ang 1,Coal,Operating,2014-2015,Ha Tinh,1200
Vung Ang 2,Coal,Construction,2027-2028,Ha Tinh,1200
Formosa Ha Tinh (captive/export),Coal,Operating,2017,Ha Tinh,650
Vinh Tan 1,Coal,Operating,2018-2019,Binh Thuan,1200
Vinh Tan 2,Coal,Operating,2014-2015,Binh Thuan,1244
Vinh Tan 3,Coal,Cancelled/Suspended,—,Binh Thuan,1980
Vinh Tan 4,Coal,Operating,2017-2018,Binh Thuan,1200
Vinh Tan 4 (expansion),Coal,Operating,2019,Binh Thuan,600
Duyen Hai 1,Coal,Operating,2015-2016,Tra Vinh,1245
Duyen Hai 2,Coal,Operating,2021-2022,Tra Vinh,1200
Duyen Hai 3,Coal,Operating,2017,Tra Vinh,1245
Duyen Hai 3 (expansion),Coal,Operating,2019,Tra Vinh,688
Long Phu 1,Coal,Construction (stalled),TBD,Soc Trang,1200
Long Phu 2,Coal,Cancelled/Suspended,—,Soc Trang,1200
Song Hau 1,Coal,Operating,2022,Hau Giang,1200
Song Hau 2,Coal,Cancelled/Suspended,—,Hau Giang,2000
Thai Binh 1,Coal,Operating,2018,Thai Binh,600
Thai Binh 2,Coal,Operating,2023,Thai Binh,600
Van Phong 1,Coal,Construction (stalled/restructuring),TBD,Khanh Hoa,1320
Quang Trach 1,Coal,Construction,2026,Quang Binh,1200
An Giang (planned coal – converted to LNG in PDP VIII),—,Cancelled as coal,—,An Giang,0
Cong Thanh,Coal,Operating,2020,Thanh Hoa,600
CAND Cam Pha,Coal,Operating,2009,Quang Ninh,55
Mao Khe,Coal,Operating,2015,Quang Ninh,440
Hai Duong BOT (Jaks-CPECC),Coal,Construction/Commissioning,2025,Hai Duong,1200
Nam Dinh 1 (Thermal),Coal,Cancelled/Converted in PDP VIII,—,Nam Dinh,1200
Ba Ria – Vung Tau GPP,Local Natural Gas,Operating,various (1990s),Ba Ria – Vung Tau,389
Thu Duc,Local Natural Gas,Operating (old),various,Ho Chi Minh City,175
Phu My 1,Local Natural Gas,Operating,2002,Ba Ria – Vung Tau,1090
Phu My 2.1,Local Natural Gas,Operating,2003,Ba Ria – Vung Tau,450
Phu My 2.1 (expansion),Local Natural Gas,Operating,2005,Ba Ria – Vung Tau,436
Phu My 2.2 (BOT),Local Natural Gas,Operating,2005,Ba Ria – Vung Tau,715
Phu My 3 (BOT),Local Natural Gas,Operating,2004,Ba Ria – Vung Tau,740
Phu My 4,Local Natural Gas,Operating,2004,Ba Ria – Vung Tau,450
Ca Mau 1,Local Natural Gas,Operating,2008,Ca Mau,750
Ca Mau 2,Local Natural Gas,Operating,2009,Ca Mau,750
Nhon Trach 1,Local Natural Gas,Operating,2008,Dong Nai,450
Nhon Trach 2,Local Natural Gas,Operating,2011,Dong Nai,750
Nhon Trach 3,Imported LNG,Construction,2025-2026,Dong Nai,750
Nhon Trach 4,Imported LNG,Construction,2026-2027,Dong Nai,750
Hiep Phuoc GPP,Local Natural Gas,Operating,various,Ho Chi Minh City,375
Bac Lieu LNG,Imported LNG,Planning/Approved,2027-2030 (phased),Bac Lieu,3200
Son My 1 LNG,Imported LNG,Planning/Approved,2027-2030,Binh Thuan,2250
Son My 2 LNG (BOT),Imported LNG,Planning/Approved,2028-2030,Binh Thuan,2250
Ca Na LNG (Ninh Thuan LNG),Imported LNG,Planning/Approved,2028-2030,Ninh Thuan,1500
Long Son LNG (Ba Ria – Vung Tau),Imported LNG,Planning/Approved,2028-2030,Ba Ria – Vung Tau,1500
Quang Trach 2 LNG,Imported LNG,Planning/Approved,2027-2028,Quang Binh,1500
Hai Lang LNG,Imported LNG,Planning/Approved,2028-2030,Quang Tri,1500
Chan May LNG,Imported LNG,Planning/Approved,2029-2031 (phased),Thua Thien Hue,4000
My Giang LNG (Khanh Hoa),Imported LNG,Planning/Approved,2028-2030,Khanh Hoa,1500
Long An LNG,Imported LNG,Planning/Approved,2028-2030,Long An,1500
Nghi Son LNG (Thanh Hoa),Imported LNG,Planning/Approved,2028-2030,Thanh Hoa,1500
Thai Binh LNG (Quang Ninh gas-to-power hub area),Imported LNG,Planning/Approved,2029-2031,Quang Ninh,1500
Ca Mau LNG (new/conversion),Imported LNG,Planning/Approved,2028-2030,Ca Mau,1500
Hoa Tam LNG (Phu Yen),Imported LNG,Planning/Approved,2029-2031,Phu Yen,1500
