Name,Fuel,Status,COD,Province,Capacity,Sources
An Khanh 1,Coal,Operational,2012,Thái Nguyên,100,[1]
An Khanh 2,Coal,Planned,2028,Thái Nguyên,100,[1][2]
Bà Rịa,Natural Gas,Operational,1992,Bà Rịa-Vũng Tàu,389,[1]
Cà Mau 1,Natural Gas,Operational,2008,Cà Mau,771,[1]
Cà Mau 2,Natural Gas,Operational,2008,Cà Mau,771,[1]
Cà Mau 3,LNG,Planned,2027,Cà Mau,1500,[2][3]
Cẩm Phả,Coal,Operational,2009,Quảng Ninh,600,[1]
Cao Ngạn,Coal,Operational,2014,Thái Nguyên,115,[1]
Chân Mây,LNG,Planned,2027,Thừa Thiên-Huế,2400,[2][3]
Dung Quất 1,LNG,Planned,2028,Quảng Ngãi,750,[2][3]
Dung Quất 2,LNG,Planned,2029,Quảng Ngãi,750,[2][3]
Dung Quất 3,LNG,Planned,2029,Quảng Ngãi,750,[2][3]
Duyên Hải 1,Coal,Operational,2015,Trà Vinh,1245,[1]
Duyên Hải 2,Coal,Operational,2016,Trà Vinh,1200,[1]
Duyên Hải 3,Coal,Operational,2017,Trà Vinh,1245,[1]
Duyên Hải 3 Mở Rộng,Coal,Operational,2019,Trà Vinh,688,[1]
Formosa Đồng Nai,Coal,Operational,2005,Đồng Nai,150,[1]
Formosa Hà Tĩnh,Coal,Operational,2017,Hà Tĩnh,650,[1]
Hải Phòng 1,Coal,Operational,2011,Hải Phòng,600,[1]
Hải Phòng 2,Coal,Operational,2014,Hải Phòng,600,[1]
Hải Phòng 3,Coal,Planned,2028,Hải Phòng,600,[2]
Hiệp Phước,Natural Gas,Operational,2011,Hồ Chí Minh,375,[1]
Hiệp Phước Mở Rộng,LNG,Planned,2026,Hồ Chí Minh,1200,[2][3]
Long An 1,LNG,Under Construction,2025,Long An,1500,[2][3]
Long An 2,LNG,Planned,2026,Long An,1500,[2][3]
Long Phú 1,Coal,Under Construction,2025,Sóc Trăng,1200,[1][2]
Long Sơn,LNG,Planned,2027,Bà Rịa-Vũng Tàu,1500,[2][3]
Mạo Khê,Coal,Operational,2013,Quảng Ninh,440,[1]
Mông Dương 1,Coal,Operational,2015,Quảng Ninh,1080,[1]
Mông Dương 2,Coal,Operational,2015,Quảng Ninh,1120,[1]
Nam Định 1,Coal,Planned,2026,Nam Định,1200,[1][2]
Nhơn Trạch 1,Natural Gas,Operational,2008,Đồng Nai,450,[1]
Nhơn Trạch 2,Natural Gas,Operational,2011,Đồng Nai,750,[1]
Nhơn Trạch 3,LNG,Under Construction,2024,Đồng Nai,1500,[2][3]
Nhơn Trạch 4,LNG,Under Construction,2024,Đồng Nai,1500,[2][3]
Nghi Sơn 1,Coal,Operational,2014,Thanh Hóa,600,[1]
Nghi Sơn 2,Coal,Operational,2022,Thanh Hóa,1200,[1]
Ô Môn 1,Natural Gas,Operational,2009,Cần Thơ,660,[1]
Ô Môn 2,Natural Gas,Planned,2026,Cần Thơ,800,[2][3]
Ô Môn 3,Natural Gas,Planned,2026,Cần Thơ,1050,[2][3]
Ô Môn 4,Natural Gas,Planned,2027,Cần Thơ,1050,[2][3]
Phả Lại 1,Coal,Operational,1986,Hải Dương,440,[1]
Phả Lại 2,Coal,Operational,2002,Hải Dương,600,[1]
Phú Mỹ 1,Natural Gas,Operational,2002,Bà Rịa-Vũng Tàu,1090,[1]
Phú Mỹ 2.1,Natural Gas,Operational,2002,Bà Rịa-Vũng Tàu,860,[1]
Phú Mỹ 2.2,Natural Gas,Operational,2003,Bà Rịa-Vũng Tàu,860,[1]
Phú Mỹ 3,Natural Gas,Operational,2004,Bà Rịa-Vũng Tàu,720,[1]
Phú Mỹ 4,Natural Gas,Operational,2005,Bà Rịa-Vũng Tàu,450,[1]
Quảng Ninh 1,Coal,Operational,2011,Quảng Ninh,600,[1]
Quảng Ninh 2,Coal,Operational,2013,Quảng Ninh,600,[1]
Quảng Trạch 1,Coal,Under Construction,2025,Quảng Bình,1200,[2]
Quảng Trạch 2,Coal,Planned,2026,Quảng Bình,1200,[2]
Sông Hậu 1,Coal,Operational,2021,Hậu Giang,1200,[1]
Sông Hậu 2,Coal,Planned,2027,Hậu Giang,1000,[2]
Sơn Mỹ 1,LNG,Planned,2027,Bình Thuận,2250,[1][2]
Sơn Mỹ 2,LNG,Planned,2028,Bình Thuận,2250,[1][2]
Thái Bình 1,Coal,Operational,2018,Thái Bình,600,[1]
Thái Bình 2,Coal,Operational,2022,Thái Bình,1200,[1]
