match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref
exact,An Khánh - Bac Giang,An Khanh - Bac Giang (NMNĐ),bac giang,bac giang,coal,coal,650.0,650.0,0.0,True,False,True,,
exact,An Khánh 1,An Khanh 1,thai nguyen,thai nguyen,coal,coal,116.0,50.0,56.9,True,True,True,,
exact,Cao Ngạn,Cao Ngan,thai nguyen,thai nguyen,coal,coal,114.0,100.0,12.3,True,True,True,,
exact,Cà Mau I,Ca Mau 1,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,
exact,Cà Mau II,Ca Mau 2,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,
exact,Cẩm Phả 1,Cam Pha 1 (Cua Ong),quang ninh,quang ninh,coal,coal,340.0,165.0,51.5,True,True,True,,
exact,Cẩm Phả 2,Cam Pha 2,quang ninh,quang ninh,coal,coal,340.0,300.0,11.8,True,True,True,,
exact,Duyen Hai 1,Duyen Hai 1,tra vinh,tra vinh,coal,coal,1244.0,1245.0,0.1,True,True,True,,
exact,Duyen Hai 3,Duyen Hai 3,tra vinh,tra vinh,coal,coal,1244.0,1245.0,0.1,True,True,True,,
exact,Duyen Hai 3 Extension,Duyen Hai 3 Extension,tra vinh,tra vinh,coal,coal,660.0,688.0,4.2,True,True,True,,
exact,Duyên Hải 2,Duyen Hai 2,tra vinh,tra vinh,coal,coal,1200.0,1200.0,0.0,True,True,True,,
fuzzy_capacity_diff,Formosa HT2,Formosa Ha Tinh (captive/steel),ha tinh,ha tinh,coal,coal,650.0,550.0,15.4,True,False,True,,
exact,Hai Duong,Hai Duong (BOT - Jaks/CLP),hai duong,hai duong,coal,coal,1200.0,1200.0,0.0,True,True,True,,
exact,Hai Phong 1,Hai Phong 1,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,
exact,Hai Phong 2,Hai Phong 2,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,
fuzzy,LNG Bạc Liêu,Bac Lieu LNG,bac lieu,bac lieu,gas,imported gas,3200.0,3200.0,0.0,False,False,True,,
fuzzy,LNG Chân Mây,Chan May LNG,hue,thua thien hue,gas,imported gas,4000.0,4000.0,0.0,False,False,False,,
exact_capacity_diff,LNG Cà Mau 1,Ke Ga LNG,ca mau,binh thuan,gas,imported gas,1500.0,1500.0,0.0,False,False,False,,
fuzzy,LNG Cà Ná,Ca Na LNG,ninh thuan,ninh thuan,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,
fuzzy,LNG Hiệp Phước (phase I),Hiep Phuoc LNG,tp ho chi minh,tp ho chi minh,gas,imported gas,1200.0,1200.0,0.0,False,False,True,,
fuzzy,LNG Long An I,Long An LNG,long an,long an,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,
fuzzy_capacity_diff,LNG Mỹ Giang,My Giang LNG (Van Phong),khanh hoa,khanh hoa,gas,imported gas,6000.0,1500.0,75.0,False,False,True,,
fuzzy_capacity_diff,LNG Nghi Sơn (Thanh Hóa),Nghi Son LNG,thanh hoa,thanh hoa,gas,imported gas,5000.0,1500.0,70.0,False,False,True,,
exact,LNG Nhơn Trạch 3,Nhon Trach 3,đong nai,dong nai,gas,imported gas,750.0,750.0,0.0,False,True,False,,
exact,LNG Nhơn Trạch 4,Nhon Trach 4,đong nai,dong nai,gas,imported gas,750.0,750.0,0.0,False,True,False,,
