match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
exact_capacity_diff,An Khánh - Bac Giang,An Khanh–Bac Giang,bac giang,bac giang,coal,coal,650.0,650.0,0.0,True,False,True,,,83.33333333333334
exact,Cao Ngạn,Cao Ngan,thai nguyen,thai nguyen,coal,coal,114.0,115.0,0.9,True,True,True,,,100.0
exact,Cong Thanh,Cong Thanh,thanh hoa,thanh hoa,coal,coal,600.0,600.0,0.0,True,False,True,,,100.0
exact,Cà Mau I,Ca Mau 1,ca mau,ca mau,gas,unknown,771.0,750.0,2.7,False,True,True,,,100.0
exact,Cà Mau II,Ca Mau 2,ca mau,ca mau,gas,unknown,771.0,750.0,2.7,False,True,True,,,100.0
exact,Duyen Hai 1,Duyen Hai 1,tra vinh,tra vinh,coal,coal,1244.0,1245.0,0.1,True,True,True,,,100.0
exact_capacity_diff,Duyen Hai 2,Thai Nguyen 2,tra vinh,thai nguyen,coal,coal,600.0,600.0,0.0,True,False,False,,,70.58823529411764
exact,Duyen Hai 3,Duyen Hai 3,tra vinh,tra vinh,coal,coal,1244.0,1245.0,0.1,True,True,True,,,100.0
fuzzy_capacity_diff,Duyen Hai 3 Extension,Duyen Hai 3 MOE,tra vinh,tra vinh,coal,coal,660.0,688.0,4.2,True,True,True,,,92.85714285714286
exact,Duyên Hải 2,Duyen Hai 2,tra vinh,tra vinh,coal,coal,1200.0,1245.0,3.8,True,False,True,,,100.0
fuzzy,Formosa HT2,Formosa Ha Tinh,ha tinh,ha tinh,coal,unknown,650.0,650.0,0.0,False,False,True,,,90.0
exact,Hai Duong,Hai Duong,hai duong,hai duong,coal,coal,1200.0,1200.0,0.0,True,True,True,,,100.0
exact,Hai Phong 1,Hai Phong 1,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
exact,Hai Phong 2,Hai Phong 2,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
fuzzy,LNG Bạc Liêu,Bac Lieu LNG,bac lieu,bac lieu,gas,unknown,3200.0,3200.0,0.0,False,True,True,,,100.0
fuzzy,LNG Cà Ná,Ca Na LNG,ninh thuan,ninh thuan,gas,unknown,1500.0,1500.0,0.0,False,True,True,,,100.0
fuzzy,LNG Hải Lăng,Hai Lang LNG,quang tri,quang tri,gas,unknown,1500.0,1500.0,0.0,False,False,True,,,100.0
