match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
fuzzy_capacity_diff,An Khánh 1,An Khánh,thai nguyen,thai nguyen,coal,coal,116.0,110.0,5.2,True,True,True,,,100.0
exact_capacity_diff,Bạc Liêu 1,Phú Yên (Hybrid Gas-Coal),bac lieu,phu yen,coal,unknown,1200.0,1200.0,0.0,False,False,False,,,40.0
exact,Cam Pha 3,Cẩm Phả 3,quang ninh,n/a,coal,coal,440.0,0.0,100.0,True,False,False,,,100.0
exact,Duyen Hai 1,Duyên Hải 1,tra vinh,tra vinh,coal,coal,1244.0,1245.0,0.1,True,True,True,,,100.0
fuzzy_capacity_diff,Duyen Hai 2,Duyên Hải 3 Expanded,tra vinh,tra vinh,coal,coal,600.0,688.0,14.7,True,True,True,,,95.23809523809523
fuzzy_capacity_diff,Duyên Hải 2,Duyên Hải 3 - Phase 2,tra vinh,tra vinh,coal,coal,1200.0,688.0,42.7,True,True,True,,,95.23809523809523
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Trà Nóc 1 & 2,ha tinh,can tho,coal,gas,450.0,450.0,0.0,False,False,False,,,38.095238095238095
fuzzy_capacity_diff,Hai Ha CHP Phase 2,Hải Hà (LNG),quang ninh,quang ninh,coal,imported gas,750.0,4500.0,500.0,False,False,True,,,100.0
exact,Hai Phong 1,Hải Phòng 1,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
exact,Hai Phong 2,Hải Phòng 2,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
fuzzy,LNG Bạc Liêu,Bạc Liêu LNG Power Complex,bac lieu,bac lieu,gas,imported gas,3200.0,3200.0,0.0,False,False,True,,,100.0
exact_capacity_diff,LNG Bến Tre,Đình Vũ - Cát Hải (LNG),ben tre,hai phong,gas,imported gas,3000.0,3000.0,0.0,False,False,False,,,33.333333333333336
fuzzy_capacity_diff,LNG Chân Mây,Chân Mây LNG Power Complex,hue,thua thien hue,gas,imported gas,4000.0,1500.0,62.5,False,False,False,,,100.0
fuzzy,LNG Cà Mau 1,Cà Mau 1 & 2,ca mau,ca mau,gas,gas,1500.0,1500.0,0.0,True,True,True,,,100.0
fuzzy,LNG Cà Ná,Cà Ná LNG Power Complex,ninh thuan,ninh thuan,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
exact,LNG Hiệp Phước (phase I),Hiệp Phước,tp ho chi minh,ho chi minh,gas,gas,1200.0,375.0,68.8,True,False,False,,,100.0
exact_capacity_diff,LNG Hiệp Phước (phase II),Nhơn Trạch 3 & 4,tp ho chi minh,đong nai,gas,gas,1500.0,1500.0,0.0,True,False,False,,,31.57894736842105
exact_capacity_diff,LNG Hải Lăng,Thiên Tân LNG Power Center,quang tri,thai binh,gas,imported gas,1500.0,1500.0,0.0,False,True,False,,,62.5
fuzzy_capacity_diff,LNG Hải Phòng 2 (Cát Hải),Hải Phòng LNG Power Complex,hai phong,hai phong,coal,imported gas,1600.0,1500.0,6.2,False,False,True,,,95.23809523809523
fuzzy_capacity_diff,LNG Long Sơn,Long Sơn LNG Power Complex,ba ria - vung tau,ba ria–vung tau,gas,imported gas,1200.0,1500.0,25.0,False,False,False,,,100.0
exact,LNG Mỹ Giang,Mỹ Giang (LNG),khanh hoa,an giang,gas,imported gas,6000.0,3000.0,50.0,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Nghi Sơn (Thanh Hóa),Nghi Sơn LNG Power Complex,thanh hoa,thanh hoa,gas,imported gas,5000.0,1500.0,70.0,False,False,True,,,100.0
fuzzy,LNG Nhơn Trạch 3,Nhơn Trạch 3 & 4 (Expansion Phase 1),đong nai,đong nai,gas,gas,750.0,750.0,0.0,True,False,True,,,100.0
fuzzy,LNG Nhơn Trạch 4,Nhơn Trạch 3 & 4 (Expansion Phase 2),đong nai,đong nai,gas,gas,750.0,750.0,0.0,True,False,True,,,95.65217391304348
