match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
fuzzy_capacity_diff,An Khánh - Bac Giang,Bac Giang,bac giang,bac giang,coal,coal,650.0,100.0,84.6,True,False,True,,,100.0
fuzzy_capacity_diff,An Khánh 1,An Khanh,thai nguyen,thai nguyen,coal,coal,116.0,100.0,13.8,True,True,True,,,100.0
exact_capacity_diff,Bà Rịa GT,Tien Giang LNG Terminal,ba ria - vung tau,tien giang,gas,unknown,46.0,0.0,100.0,False,False,False,,,44.44444444444444
fuzzy_capacity_diff,Bạc Liêu 1,Bac Lieu LNG Terminal,bac lieu,bac lieu,coal,unknown,1200.0,0.0,100.0,False,False,True,,,94.73684210526316
fuzzy_capacity_diff,Cam Pha 3,Cam Pha,quang ninh,quang ninh,coal,coal,440.0,1092.0,148.2,True,False,True,,,100.0
exact,Cao Ngạn,Cao Ngan,thai nguyen,thai nguyen,coal,coal,114.0,100.0,12.3,True,True,True,,,100.0
exact,Cong Thanh,Cong Thanh,thanh hoa,thanh hoa,coal,coal,600.0,330.0,45.0,True,False,True,,,100.0
exact,Cà Mau I,Ca Mau 1,ca mau,ca mau,gas,gas,771.0,690.0,10.5,True,True,True,,,100.0
exact,Cà Mau II,Ca Mau 2,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,,100.0
exact_capacity_diff,Cẩm Phả 1,Tra Vinh,quang ninh,tra vinh,coal,coal,340.0,330.0,2.9,True,True,False,,,42.85714285714286
fuzzy_capacity_diff,Dong Nai Formosa,Dong Nai 3,đong nai,dong nai,coal,gas,150.0,200.0,33.3,False,False,False,,,94.73684210526316
fuzzy_capacity_diff,Dong Nai Formosa,Dong Nai 4,đong nai,dong nai,coal,gas,300.0,470.0,56.7,False,False,False,,,94.73684210526316
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Bac Son,lao cai,lang son,coal,coal,100.0,100.0,0.0,True,False,False,,,42.85714285714286
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase I,Kien Giang,quang ngai,kien giang,coal,imported gas,2400.0,2400.0,0.0,False,False,False,,,40.0
exact,Duyen Hai 1,Duyen Hai 1,tra vinh,tra vinh,coal,coal,1244.0,1040.0,16.4,True,True,True,,,100.0
fuzzy_capacity_diff,Duyen Hai 2,Duyen Hai 4,tra vinh,tra vinh,coal,gas,600.0,750.0,25.0,False,True,True,,,95.23809523809523
exact,Duyen Hai 3,Duyen Hai 3,tra vinh,tra vinh,coal,coal,1244.0,1320.0,6.1,True,True,True,,,100.0
