name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
LNG / Gas Plants,Gas,Planned/Construction,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa rated plants (General),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
LNG (Imported Gas),Gas,Construction/Planned,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
LNG / Gas Plants,Gas,Planned/Construction,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,_,0,,,
LNG / Gas Plants,Gas,Planned/Construction,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,,0,,,
LNG / Gas Plants,Gas,Planned/Construction,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,Various,0,,,
Hỏa điện (Coal Plants - various),Coal,Operational,,,0,,,
