match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref
exact,Cà Mau I,Ca Mau 1,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,
exact,Cà Mau II,Ca Mau 2,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,
exact,Duyen Hai 3,Duyen Hai 3,tra vinh,tra vinh,coal,coal,1244.0,1245.0,0.1,True,True,True,,
exact_capacity_diff,Hai Ha CHP Phase 2,Mid-Central CCGT 1 (Proposed),quang ninh,quang tri/quang ngai,coal,unknown,750.0,750.0,0.0,False,False,False,,
exact,LNG Bạc Liêu,Bac Lieu (Proposed),bac lieu,bac lieu,gas,imported gas,3200.0,3200.0,0.0,False,False,True,,
exact,LNG Cà Ná,LNG Ca Na (Proposed),ninh thuan,ninh thuan,gas,imported gas,1500.0,1500.0,0.0,False,True,True,,
exact,LNG Hiệp Phước (phase I),Hiep Phuoc (Proposed),tp ho chi minh,tp ho chi minh,gas,imported gas,1200.0,1200.0,0.0,False,False,True,,
exact,LNG Long An I,Long An 1 (Proposed),long an,long an,gas,imported gas,1500.0,1500.0,0.0,False,True,True,,
exact,LNG Long An II,Long An 2 (Proposed),long an,long an,gas,imported gas,1500.0,1500.0,0.0,False,True,True,,
exact,LNG Long Sơn,Long Son (Proposed),ba ria - vung tau,ba ria - vung tau,gas,imported gas,1200.0,1500.0,25.0,False,True,True,,
fuzzy_capacity_diff,LNG Nhơn Trạch 3,Nhon Trach 3 & 4 (Proposed),đong nai,dong nai,gas,imported gas,750.0,1624.0,116.5,False,False,False,,
exact_capacity_diff,LNG Nhơn Trạch 4,Mid-Central CCGT 2 (Proposed),đong nai,quang tri/quang ngai,gas,unknown,750.0,750.0,0.0,False,False,False,,
fuzzy,LNG Quảng Ninh 1 (Cẩm Phả),LNG Quang Ninh (Proposed),quang ninh,quang ninh,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,
fuzzy,LNG Quảng Trạch 2,LNG Quang Tri (Hai Lang) (Proposed),quang binh,quang tri,gas,imported gas,1500.0,1500.0,0.0,False,False,False,,
exact,LNG Sơn Mỹ I,Son My 1 (Proposed),binh thuan,binh thuan,gas,imported gas,2250.0,2250.0,0.0,False,True,True,,
exact,LNG Sơn Mỹ II,Son My 2 (Proposed),binh thuan,binh thuan,gas,imported gas,2250.0,2250.0,0.0,False,True,True,,
exact,Long Phú 1,Long Phu 1,soc trang,soc trang,coal,coal,1200.0,1200.0,0.0,True,True,True,,
exact,Mong Duong 1,Mong Duong 1,quang ninh,quang ninh,coal,coal,1080.0,1080.0,0.0,True,True,True,,
exact,Nghi Son 2,Nghi Son 2,thanh hoa,thanh hoa,coal,coal,1200.0,1200.0,0.0,True,True,True,,
exact,Quảng Trạch 1,Quang Trach 1,quang binh,quang binh,coal,coal,1400.0,1403.0,0.2,True,True,True,,
exact,TBKHH Nhơn Trạch I,Nhon Trach 1,đong nai,dong nai,gas,gas,465.0,465.0,0.0,True,True,False,,
exact,TBKHH Nhơn Trạch II,Nhon Trach 2,đong nai,dong nai,gas,gas,750.0,750.0,0.0,True,True,False,,
fuzzy_capacity_diff,TBKHH Phú Mỹ 4,Phu My 1-4 Complex,ba ria - vung tau,ba ria - vung tau,gas,gas,468.0,0.0,100.0,True,True,True,,
exact,TBKHH Ô Môn I,O Mon 1,can tho,can tho,gas,unknown,660.0,660.0,0.0,False,False,True,,
exact,TBKHH Ô Môn III,O Mon 3 (Proposed),can tho,can tho,gas,unknown,1050.0,1050.0,0.0,False,True,True,,
exact,TBKHH Ô Môn IV,O Mon 4 (Proposed),can tho,can tho,gas,unknown,1050.0,1050.0,0.0,False,False,True,,
fuzzy_capacity_diff,Thái Bình 1,LNG Thai Binh (Proposed),thai binh,thai binh,coal,imported gas,600.0,1500.0,150.0,False,False,True,,
exact,Thái Bình 2,Thai Binh 2,thai binh,thai binh,coal,coal,1200.0,1200.0,0.0,True,True,True,,
exact,Vinh Tan 2,Vinh Tan 2,binh thuan,binh thuan,coal,coal,1244.0,1244.0,0.0,True,True,True,,
exact,Vinh Tan 4,Vinh Tan 4,binh thuan,binh thuan,coal,coal,1200.0,1200.0,0.0,True,True,True,,
exact,Vung Ang 1,Vung Ang 1,ha tinh,ha tinh,coal,coal,1200.0,1200.0,0.0,True,True,True,,
exact,Vung Ang 2,Vung Ang 2,ha tinh,ha tinh,coal,coal,1330.0,1330.0,0.0,True,True,True,,
exact,Vân Phong 1,Van Phong 1,khanh hoa,khanh hoa,coal,coal,1432.0,1432.0,0.0,True,True,True,,
reference_only,An Khánh - Bac Giang,,bac giang,,coal,,650.0,,,,,,,
reference_only,An Khánh 1,,thai nguyen,,coal,,116.0,,,,,,,
reference_only,Bà Rịa GT,,ba ria - vung tau,,gas,,46.0,,,,,,,
reference_only,Bạc Liêu 1,,bac lieu,,coal,,1200.0,,,,,,,
reference_only,Cam Pha 3,,quang ninh,,coal,,440.0,,,,,,,
reference_only,Cao Ngạn,,thai nguyen,,coal,,114.0,,,,,,,
reference_only,Cong Thanh,,thanh hoa,,coal,,600.0,,,,,,,
reference_only,Cẩm Phả 1,,quang ninh,,coal,,340.0,,,,,,,
reference_only,Cẩm Phả 2,,quang ninh,,coal,,340.0,,,,,,,
reference_only,Dong Nai Formosa,,đong nai,,coal,,150.0,,,,,,,
reference_only,Dong Nai Formosa,,đong nai,,coal,,300.0,,,,,,,
reference_only,Duc Giang - Lao Cai Chemical,,lao cai,,coal,,100.0,,,,,,,
reference_only,Dung Quat Special Economic Zone (J-Power) Phase I,,quang ngai,,coal,,2400.0,,,,,,,
reference_only,Dung Quat Special Economic Zone (J-Power) Phase II,,quang ngai,,coal,,2000.0,,,,,,,
reference_only,Duyen Hai 1,,tra vinh,,coal,,1244.0,,,,,,,
reference_only,Duyen Hai 2,,tra vinh,,coal,,600.0,,,,,,,
reference_only,Duyen Hai 3 Extension,,tra vinh,,coal,,660.0,,,,,,,
reference_only,Duyên Hải 2,,tra vinh,,coal,,1200.0,,,,,,,
reference_only,Formosa HT2,,ha tinh,,coal,,650.0,,,,,,,
reference_only,Ha Tinh Formosa Plastics Steel Complex,,ha tinh,,coal,,450.0,,,,,,,
reference_only,Ha Tinh Formosa Plastics Steel Complex,,ha tinh,,coal,,450.0,,,,,,,
reference_only,Hai Duong,,hai duong,,coal,,1200.0,,,,,,,
reference_only,Hai Ha CHP Phase 1,,quang ninh,,coal,,150.0,,,,,,,
reference_only,Hai Ha CHP Phase 3,,quang ninh,,coal,,600.0,,,,,,,
reference_only,Hai Ha CHP Phase 4,,quang ninh,,coal,,600.0,,,,,,,
reference_only,Hai Phong 1,,hai phong,,coal,,600.0,,,,,,,
reference_only,Hai Phong 2,,hai phong,,coal,,600.0,,,,,,,
reference_only,Hai Phong 3,,hai phong,,coal,,1200.0,,,,,,,
reference_only,Hải Phòng,,hai phong,,gas,,500.0,,,,,,,
reference_only,LNG Bà Rịa 2,,ba ria - vung tau,,gas,,1200.0,,,,,,,
reference_only,LNG Bình Định,,binh đinh,,gas,,5000.0,,,,,,,
reference_only,LNG Bến Tre,,ben tre,,gas,,3000.0,,,,,,,
reference_only,LNG Chân Mây,,hue,,gas,,4000.0,,,,,,,
reference_only,LNG Cà Mau 1,,ca mau,,gas,,1500.0,,,,,,,
reference_only,"LNG Cà Mau 2,3",,ca mau,,gas,,3000.0,,,,,,,
reference_only,LNG Cà Ná II+III,,ninh thuan,,gas,,4500.0,,,,,,,
reference_only,LNG Cái Mép Hạ,,ba ria - vung tau,,gas,,6000.0,,,,,,,
reference_only,LNG Hiệp Phước (phase II),,tp ho chi minh,,gas,,1500.0,,,,,,,
reference_only,LNG Hà Tĩnh,,ha tinh,,gas,,6000.0,,,,,,,
reference_only,LNG Hải Lăng,,quang tri,,gas,,1500.0,,,,,,,
reference_only,LNG Hải Lăng (2 and 3),,quang tri,,gas,,4500.0,,,,,,,
reference_only,LNG Hải Phòng 1 (Tiên Lãng),,hai phong,,coal,,4500.0,,,,,,,
reference_only,LNG Hải Phòng 2 (Cát Hải),,hai phong,,coal,,1600.0,,,,,,,
reference_only,LNG Hải Phòng 3 (Cát Hải),,hai phong,,coal,,4500.0,,,,,,,
reference_only,LNG Hải Phòng 4 (Đồ Sơn),,hai phong,,gas,,4500.0,,,,,,,
reference_only,LNG Long An I phase 2,,long an,,gas,,1500.0,,,,,,,
reference_only,LNG Long An II phase 2,,long an,,gas,,1500.0,,,,,,,
reference_only,LNG Long Sơn II+III,,ba ria - vung tau,,gas,,3200.0,,,,,,,
reference_only,LNG Long Sơn IV (địa điểm Tây),,ba ria - vung tau,,gas,,3600.0,,,,,,,
reference_only,LNG Mũi Kê Gà 1,,binh thuan,,gas,,1200.0,,,,,,,
reference_only,"LNG Mũi Kê Gà 2,3",,binh thuan,,gas,,2400.0,,,,,,,
reference_only,LNG Mỹ Giang,,khanh hoa,,gas,,6000.0,,,,,,,
reference_only,LNG Nghi Sơn (Thanh Hóa),,thanh hoa,,gas,,5000.0,,,,,,,
reference_only,LNG Núi Thành (Quảng Nam),,quang nam,,gas,,3200.0,,,,,,,
reference_only,LNG Phong Điền – Huế,,hue,,gas,,3000.0,,,,,,,
reference_only,LNG Phú Mỹ 3.1,,ba ria - vung tau,,gas,,850.0,,,,,,,
reference_only,LNG Quảng Bình,,quang binh,,gas,,3000.0,,,,,,,
reference_only,LNG Quảng Nam,,quang nam,,gas,,4000.0,,,,,,,
reference_only,LNG Quảng Ninh 2 (Cẩm Phả),,quang ninh,,gas,,1500.0,,,,,,,
reference_only,LNG Quảng Ninh 3 (Quảng Yên),,quang ninh,,gas,,4500.0,,,,,,,
reference_only,LNG Quảng Ninh 4 (Hải Hà),,quang ninh,,gas,,3000.0,,,,,,,
reference_only,LNG Quỳnh Lập,,nghe an,,gas,,1500.0,,,,,,,
reference_only,LNG Sông Đốc (Cà Mau),,ca mau,,gas,,3000.0,,,,,,,
reference_only,LNG Thái Bình,,thai binh,,gas,,4500.0,,,,,,,
reference_only,LNG Tân Phước,,tien giang,,gas,,4500.0,,,,,,,
reference_only,"LNG Tân Thuận – Đầm Dơi, Cà Mau",,ca mau,,gas,,3200.0,,,,,,,
reference_only,LNG Vân Phong (J-Power),,khanh hoa,,gas,,3000.0,,,,,,,
reference_only,LNG Vân Phong (Mỹ Giang) phase 1,,khanh hoa,,gas,,3000.0,,,,,,,
reference_only,LNG Vân Phong (Mỹ Giang) phase 2,,khanh hoa,,gas,,3000.0,,,,,,,
reference_only,LNG miền Nam,,"hiep phuoc 2, ben tre, mui ke ga, ca mau,",,gas,,1500.0,,,,,,,
reference_only,Lee & Man,,hau giang,,coal,,125.0,,,,,,,
reference_only,Long An 2,,long an,,gas,,1600.0,,,,,,,
reference_only,Long An 1,,long an,,gas,,1200.0,,,,,,,
reference_only,Long Phú 2,,soc trang,,coal,,1320.0,,,,,,,
reference_only,Long Phú 3,,soc trang,,coal,,1800.0,,,,,,,
reference_only,Mao Khe,,quang ninh,,coal,,440.0,,,,,,,
reference_only,Mong Duong 2,,quang ninh,,coal,,1240.0,,,,,,,
reference_only,Na Dương 1,,lang son,,coal,,110.0,,,,,,,
reference_only,Na Dương 2,,lang son,,coal,,110.0,,,,,,,
reference_only,Nam Dinh 1,,nam dinh,,coal,,1200.0,,,,,,,
reference_only,Nghi Son 1,,thanh hoa,,coal,,600.0,,,,,,,
