match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref
fuzzy_capacity_diff,An Khánh - Bac Giang,Khanh An - Bac Giang,bac giang,bac giang,coal,coal,650.0,300.0,53.8,True,True,True,,
fuzzy_capacity_diff,An Khánh 1,An Khe,thai nguyen,gia lai,coal,unknown,116.0,173.0,49.1,False,True,False,,
fuzzy_capacity_diff,Bà Rịa GT,Bà Ria,ba ria - vung tau,ba ria - vung tau,gas,unknown,46.0,389.0,745.7,False,True,True,,
fuzzy_capacity_diff,Bạc Liêu 1,Bac Lieu Wind Phase III,bac lieu,bac lieu,coal,unknown,1200.0,142.0,88.2,False,False,True,,
fuzzy,Cam Pha 3,"Cam Pha III #1,2",quang ninh,quang ninh,coal,coal,440.0,440.0,0.0,True,False,True,,
exact_capacity_diff,Cao Ngạn,Thu Duc,thai nguyen,ho chi minh,coal,unknown,114.0,114.0,0.0,False,True,False,,
exact,Cong Thanh,Cong Thanh,thanh hoa,thanh hoa,coal,coal,600.0,600.0,0.0,True,False,True,,
exact,Cà Mau I,Ca Mau I (Gas),ca mau,ca mau,gas,unknown,771.0,750.0,2.7,False,True,True,,
exact,Cà Mau II,Ca Mau II (Gas),ca mau,ca mau,gas,unknown,771.0,750.0,2.7,False,True,True,,
fuzzy_capacity_diff,Cẩm Phả 1,Cam Pha (Coal),quang ninh,quang ninh,coal,coal,340.0,600.0,76.5,True,True,True,,
fuzzy_capacity_diff,Cẩm Phả 2,"Cam Pha III #1,2",quang ninh,quang ninh,coal,coal,340.0,440.0,29.4,True,False,True,,
fuzzy,Dong Nai Formosa,Formosa (Coal),đong nai,ha tinh,coal,coal,150.0,150.0,0.0,True,False,False,,
fuzzy_capacity_diff,Dong Nai Formosa,Dong Nai 4,đong nai,đong nai,coal,unknown,300.0,340.0,13.3,False,False,True,,
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Khai Long Wind (Ca Mau),lao cai,ca mau,coal,unknown,100.0,100.0,0.0,False,False,False,,
fuzzy_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase I,Dung Quat II,quang ngai,quang ngai,coal,unknown,2400.0,750.0,68.8,False,False,True,,
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase II,Binh Dinh III (Coal),quang ngai,binh đinh,coal,coal,2000.0,2000.0,0.0,True,False,False,,
exact,Duyen Hai 1,Duyen Hai 1,tra vinh,tra vinh,coal,coal,1244.0,1244.0,0.0,True,True,True,,
exact,Duyen Hai 2,Duyen Hai II (Coal),tra vinh,tra vinh,coal,coal,600.0,1200.0,100.0,True,False,True,,
exact,Duyen Hai 3,Duyen Hai 3,tra vinh,tra vinh,coal,coal,1244.0,1245.0,0.1,True,True,True,,
exact,Duyen Hai 3 Extension,Duyen Hai III Extension,tra vinh,tra vinh,coal,coal,660.0,660.0,0.0,True,True,True,,
exact,Duyên Hải 2,Duyen Hai II (Coal),tra vinh,tra vinh,coal,coal,1200.0,1200.0,0.0,True,False,True,,
fuzzy_capacity_diff,Formosa HT2,"Formosa Ha Tinh #6,7",ha tinh,ha tinh,coal,coal,650.0,300.0,53.8,True,False,True,,
fuzzy_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Formosa (Gas - blast furnace),ha tinh,ha tinh,coal,coal,450.0,200.0,55.6,True,False,True,,
fuzzy_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Formosa (Coal),ha tinh,ha tinh,coal,coal,450.0,150.0,66.7,True,False,True,,
exact,Hai Duong,Hai Duong (Coal),hai duong,hai duong,coal,coal,1200.0,1200.0,0.0,True,False,True,,
exact_capacity_diff,Hai Ha CHP Phase 1,Formosa Dong Nai #3,quang ninh,đong nai,coal,unknown,150.0,150.0,0.0,False,False,False,,
exact_capacity_diff,Hai Ha CHP Phase 2,Hai Ha Cogeneration 2,quang ninh,quang ninh,coal,unknown,750.0,750.0,0.0,False,False,True,,
exact_capacity_diff,Hai Ha CHP Phase 3,Vung Ang III #2 (Coal),quang ninh,ha tinh,coal,coal,600.0,600.0,0.0,True,False,False,,
exact_capacity_diff,Hai Ha CHP Phase 4,Hai Duong #1,quang ninh,hai duong,coal,coal,600.0,600.0,0.0,True,False,False,,
exact,Hai Phong 1,Hai Phong 1,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,
exact,Hai Phong 2,Hai Phong 2,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,
fuzzy_capacity_diff,Hai Phong 3,Hai Phong III #2 (Coal),hai phong,hai phong,coal,coal,1200.0,600.0,50.0,True,False,True,,
fuzzy_capacity_diff,Hải Phòng,Hai Phong VII,hai phong,hai phong,gas,coal,500.0,600.0,20.0,False,False,True,,
exact_capacity_diff,LNG Bà Rịa 2,Nam Dinh I (Coal),ba ria - vung tau,nam đinh,gas,coal,1200.0,1200.0,0.0,False,False,False,,
