match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
exact,Cam Pha 3,Cẩm Phả III,quang ninh,quang ninh,coal,coal,440.0,440.0,0.0,True,False,True,,,100.0
exact_capacity_diff,Cao Ngạn,Rạng Đông,thai nguyen,nam đinh,coal,unknown,114.0,100.0,12.3,False,False,False,,,54.54545454545454
exact,Cong Thanh,Công Thanh,thanh hoa,thanh hoa,coal,coal,600.0,600.0,0.0,True,False,True,,,100.0
exact,Cà Mau I,Cà Mau I,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,,100.0
exact,Cà Mau II,Cà Mau II,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,,100.0
exact,Cẩm Phả 1,Cẩm Phả I,quang ninh,quang ninh,coal,coal,340.0,300.0,11.8,True,True,True,,,100.0
exact,Cẩm Phả 2,Cẩm Phả II,quang ninh,quang ninh,coal,coal,340.0,300.0,11.8,True,True,True,,,100.0
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Đức Giang,lao cai,bac giang,coal,unknown,100.0,100.0,0.0,False,False,False,,,88.88888888888889
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase I,Hải Hà 1-4,quang ngai,quang ninh,coal,unknown,2400.0,2100.0,12.5,False,False,False,,,55.55555555555556
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase II,Sông Hậu III,quang ngai,hau giang,coal,coal,2000.0,2000.0,0.0,True,False,False,,,60.0
exact,Duyen Hai 1,Duyên Hải I,tra vinh,tra vinh,coal,coal,1244.0,600.0,51.8,True,True,True,,,100.0
exact,Duyen Hai 3,Duyên Hải III,tra vinh,tra vinh,coal,coal,1244.0,600.0,51.8,True,True,True,,,100.0
exact,Duyen Hai 3 Extension,Duyên Hải III Extension,tra vinh,tra vinh,coal,coal,660.0,660.0,0.0,True,True,True,,,100.0
exact,Duyên Hải 2,Duyên Hải II,tra vinh,tra vinh,coal,coal,1200.0,1200.0,0.0,True,False,True,,,100.0
fuzzy,Formosa HT2,Formosa Hà Tĩnh II,ha tinh,ha tinh,coal,coal,650.0,650.0,0.0,True,False,True,,,90.0
exact,Hai Duong,Hải Dương,hai duong,hai duong,coal,coal,1200.0,1200.0,0.0,True,True,True,,,100.0
fuzzy,Hai Ha CHP Phase 1,Hải Hà I,quang ninh,quang ninh,coal,gas,150.0,150.0,0.0,False,False,True,,,93.33333333333333
fuzzy_capacity_diff,Hai Ha CHP Phase 2,Hải Hà II,quang ninh,quang ninh,coal,gas,750.0,300.0,60.0,False,False,True,,,93.33333333333333
fuzzy,Hai Ha CHP Phase 3,Hải Hà III,quang ninh,quang ninh,coal,gas,600.0,600.0,0.0,False,False,True,,,93.33333333333333
fuzzy,Hai Ha CHP Phase 4,Hải Hà IV,quang ninh,quang ninh,coal,gas,600.0,600.0,0.0,False,False,True,,,93.33333333333333
exact,Hai Phong 1,Hải Phòng I,hai phong,hai phong,coal,coal,600.0,300.0,50.0,True,True,True,,,100.0
exact,Hai Phong 2,Hải Phòng II,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
exact,Hai Phong 3,Hải Phòng III,hai phong,hai phong,coal,coal,1200.0,1200.0,0.0,True,False,True,,,100.0
exact,Hải Phòng,LNG Hải Phòng,hai phong,hai phong,gas,imported gas,500.0,1500.0,200.0,False,False,True,,,100.0
exact,LNG Bạc Liêu,LNG Bạc Liêu,bac lieu,bac lieu,gas,imported gas,3200.0,3200.0,0.0,False,True,True,,,100.0
exact,LNG Bến Tre,LNG Bến Tre,ben tre,ben tre,gas,imported gas,3000.0,3000.0,0.0,False,False,True,,,100.0
exact_capacity_diff,LNG Cà Mau 1,LNG Vũng Áng,ca mau,ha tinh,gas,imported gas,1500.0,1500.0,0.0,False,False,False,,,36.36363636363637
fuzzy,"LNG Cà Mau 2,3",LNG Cà Mau,ca mau,ca mau,gas,imported gas,3000.0,3000.0,0.0,False,False,True,,,100.0
exact,LNG Cà Ná,LNG Cà Ná,ninh thuan,ninh thuan,gas,imported gas,1500.0,1500.0,0.0,False,True,True,,,100.0
fuzzy,LNG Cái Mép Hạ,LNG Cái Mép,ba ria - vung tau,ba ria - vung tau,gas,imported gas,6000.0,6000.0,0.0,False,False,True,,,100.0
exact,LNG Hiệp Phước (phase I),Hiệp Phước,tp ho chi minh,tp.hcm,gas,unknown,1200.0,375.0,68.8,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Hà Tĩnh,Formosa Hà Tĩnh I,ha tinh,ha tinh,gas,coal,6000.0,150.0,97.5,False,False,True,,,100.0
fuzzy,LNG Long An I,LNG Long An,long an,long an,gas,imported gas,1500.0,1500.0,0.0,False,True,True,,,100.0
exact,LNG Long Sơn,LNG Long Sơn,ba ria - vung tau,ba ria - vung tau,gas,imported gas,1200.0,1200.0,0.0,False,True,True,,,100.0
exact,LNG Nghi Sơn (Thanh Hóa),LNG Nghi Sơn,thanh hoa,thanh hoa,gas,imported gas,5000.0,1500.0,70.0,False,False,True,,,100.0
exact,LNG Nhơn Trạch 3,Nhơn Trạch III,đong nai,đong nai,gas,gas,750.0,750.0,0.0,True,True,True,,,100.0
exact,LNG Nhơn Trạch 4,Nhơn Trạch IV,đong nai,đong nai,gas,gas,750.0,750.0,0.0,True,True,True,,,100.0
fuzzy,LNG Quảng Ninh 1 (Cẩm Phả),LNG Quảng Ninh,quang ninh,quang ninh,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
exact,LNG Sơn Mỹ I,Sơn Mỹ I,binh thuan,binh thuan,gas,gas,2250.0,2250.0,0.0,True,False,True,,,100.0
exact,LNG Sơn Mỹ II,Sơn Mỹ II,binh thuan,binh thuan,gas,gas,2250.0,2250.0,0.0,True,False,True,,,100.0
exact,LNG Tân Phước,LNG Tân Phước,tien giang,tien giang,gas,imported gas,4500.0,4500.0,0.0,False,False,True,,,100.0
exact,Long An 2,Long An II,long an,long an,gas,unknown,1600.0,1600.0,0.0,False,True,True,,,100.0
exact,Long An 1,Long An I,long an,long an,gas,unknown,1200.0,1200.0,0.0,False,True,True,,,100.0
exact,Long Phú 1,Long Phú I,soc trang,soc trang,coal,coal,1200.0,1200.0,0.0,True,True,True,,,100.0
exact,Long Phú 2,Long Phú II,soc trang,soc trang,coal,coal,1320.0,1320.0,0.0,True,False,True,,,100.0
exact,Long Phú 3,Long Phú III,soc trang,soc trang,coal,coal,1800.0,1800.0,0.0,True,False,True,,,100.0
exact,Na Dương 1,Na Dương I,lang son,lang son,coal,coal,110.0,100.0,9.1,True,True,True,,,100.0
