match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref
fuzzy,An Khánh - Bac Giang,An Khanh,bac giang,bac giang,coal,unknown,650.0,650.0,0.0,False,False,True,,
fuzzy_capacity_diff,Bạc Liêu 1,Bac Lieu,bac lieu,bac lieu,coal,imported gas,1200.0,3000.0,150.0,False,False,True,,
exact,Cam Pha 3,Cam Pha 3,quang ninh,quang ninh,coal,unknown,440.0,440.0,0.0,False,False,True,,
exact,Cong Thanh,Cong Thanh,thanh hoa,hai duong,coal,unknown,600.0,600.0,0.0,False,True,False,,
exact,Cà Mau I,Cà Mau 1,ca mau,2,gas,unknown,771.0,0.0,100.0,False,False,False,,
exact_capacity_diff,Cà Mau II,Thạch Thép,ca mau,nam đinh,gas,unknown,771.0,1000.0,29.7,False,False,False,,
exact_capacity_diff,Dong Nai Formosa,Hòa Phát II,đong nai,hai duong,coal,unknown,300.0,300.0,0.0,False,False,False,,
fuzzy,Duc Giang - Lao Cai Chemical,Duc Giang,lao cai,hai duong,coal,unknown,100.0,100.0,0.0,False,False,False,,
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase I,Song Hau III,quang ngai,hau giang,coal,unknown,2400.0,2000.0,16.7,False,False,False,,
fuzzy_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase II,Dung Quat IV,quang ngai,dau giang,coal,unknown,2000.0,750.0,62.5,False,False,False,,
exact,Duyen Hai 1,Duyen Hai 1,tra vinh,tra vinh,coal,unknown,1244.0,1200.0,3.5,False,True,True,,
exact_capacity_diff,Duyen Hai 2,Quoc Trach I/II Extension,tra vinh,quang binh,coal,unknown,600.0,600.0,0.0,False,False,False,,
exact,Duyen Hai 3,Duyen Hai 3,tra vinh,tra vinh,coal,unknown,1244.0,2064.0,65.9,False,True,True,,
