match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
exact_capacity_diff,An Khánh - Bac Giang,NĐ Than Bảo Đại,bac giang,bac giang,coal,coal,650.0,600.0,7.7,True,True,True,,,60.0
fuzzy_capacity_diff,An Khánh 1,NĐ An Khánh II #2,thai nguyen,bac giang,coal,coal,116.0,150.0,29.3,True,False,False,,,90.0
exact_capacity_diff,Bà Rịa GT,NĐ An Khánh I #1,ba ria - vung tau,bac giang,gas,coal,46.0,50.0,8.7,False,False,False,,,44.44444444444444
exact_capacity_diff,Bạc Liêu 1,TBKHH Ô Môn II,bac lieu,can tho,coal,coal,1200.0,1050.0,12.5,True,False,False,,,28.57142857142857
fuzzy_capacity_diff,Cam Pha 3,NĐ Cẩm Phả 3,quang ninh,quang ninh,coal,coal,440.0,220.0,50.0,True,False,True,,,100.0
exact_capacity_diff,Cao Ngạn,NĐ Na Dương 2,thai nguyen,quang ninh,coal,coal,114.0,110.0,3.5,True,False,False,,,50.0
fuzzy,Cong Thanh,NĐ Công Thanh I,thanh hoa,thanh hoa,coal,coal,600.0,600.0,0.0,True,False,True,,,100.0
exact_capacity_diff,Cà Mau I,TBKHH Dung Quất I,ca mau,quang ngai,gas,gas,771.0,750.0,2.7,True,False,False,,,53.333333333333336
exact_capacity_diff,Cà Mau II,TBKHH Dung Quất III,ca mau,quang ngai,gas,gas,771.0,750.0,2.7,True,False,False,,,40.0
exact_capacity_diff,Cẩm Phả 1,NĐ Than Tuyên Quang I,quang ninh,tuyen quang,coal,coal,340.0,320.0,5.9,True,False,False,,,47.05882352941176
exact,Cẩm Phả 2,ND Cẩm Phả II,quang ninh,quang ninh,coal,coal,340.0,300.0,11.8,True,False,True,,,100.0
exact_capacity_diff,Dong Nai Formosa,NĐ An Khánh II #1,đong nai,bac giang,coal,coal,150.0,150.0,0.0,True,False,False,,,40.0
exact_capacity_diff,Dong Nai Formosa,NĐ Mạo Khê #3,đong nai,quang ninh,coal,coal,300.0,300.0,0.0,True,False,False,,,36.36363636363637
exact_capacity_diff,Duc Giang - Lao Cai Chemical,TĐ Nậm Chiến #2,lao cai,lai chau,coal,unknown,100.0,100.0,0.0,False,False,False,,,42.85714285714286
fuzzy_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase I,TBKHH Dung Quất I,quang ngai,quang ngai,coal,gas,2400.0,750.0,68.8,False,False,True,,,95.23809523809523
