name,fuel,status,cod,province,capacity_mwe
A Vuong,,operational,2009,Quảng Nam,210.0
An Khanh (Bac Giang),,operational,2018,Bắc Giang,650.0
An Khánh,coal,,,Phú Thọ,650.0
An Khánh – Bắc Giang,,,,Bắc Giang,650.0
Ba Ria,,operational,2010,Bà Rịa-Vũng Tàu,389.0
Bac Giang 1,,,,Bắc Giang,0.0
Bac Giang 2,,,,Bắc Giang,0.0
Bac Lieu,imported lng,planned,,Bạc Liêu,1200.0
Bac Lieu 1,,,,Bạc Liêu,0.0
Ban Chat HPP,,operational,2011+2015,Sơn La,220.0
Binh Dinh 1,,,,Bình Định,0.0
Bourbon,,operational,2008,Bà Rịa-Vũng Tàu,24.0
Bà Rịa,,operational,2014,Bà Rịa-Vũng Tàu,389.0
Bà Rịa 2,,,,Bà Rịa–Vũng Tàu,1200.0
Bình Định 1,coal,proposed,,Bình Định,600.0
Bình Định 2,coal,proposed,,Bình Định,1200.0
Bạc Liêu,,,post-2025,Bạc Liêu,3200.0
Cam Pha,,operational,2013,Quảng Ninh,600.0
Cam Pha 1,coal,,,Quảng Ninh,660.0
Cam Pha 2,,,,Quảng Ninh,0.0
Cam Pha 2 Ext,coal,planned,,Quảng Ninh,660.0
Cam Pha 3,coal,,,Quảng Ninh,440.0
Can Tho,,operational,2012,Cần Thơ,33.25
Can Tho Gas CT,,operational,2016,Cần Thơ,150.0
Can Tho GT CCGT phase II still functioning,,,-,,0.0
Cao Ngan,coal,,,Thái Nguyên,115.0
Cao Ngan 2,coal,,,Thái Nguyên,300.0
Cao Nhan,,operational,2015,Lạng Sơn,115.0
Cat Hai 1,,,,Hải Phòng,0.0
Cay Chi hydro only,,,2016+,Bình Phước,0.0
Chân Mây,,,,Huế,4000.0
Cong Thanh,,,2026,Thanh Hóa,0.0
Cua Lon,,,,Thái Bình,0.0
Cà Mau I,,operational,2012,Cà Mau,750.0
Cà Mau II,,operational,2015,Cà Mau,750.0
Cà Ná 1,,operational,,Ninh Thuận,1500.0
Cà Ná 2-3,,,,Ninh Thuận,4500.0
Cẩm Phả 1,coal,operational,,Quảng Ninh,600.0
Cẩm Phả 2,coal,operational,,Quảng Ninh,600.0
Cẩm Phả 3,,,,Quảng Ninh,600.0
Cẩn Thơ,oil,operational,,Cần Thơ,33.0
Da Mi,,operational,2002,Bình Thuận,175.0
Da Nhim-Song Pha,,operational,1994,Ninh Thuận,167.0
Dam Nai,,,Ninh Thuận,,0.0
Dien Chau 1,,,,Nghệ An,0.0
Dien Chau 2,,,,Nghệ An,0.0
Dong Nai 1/2 retired 2010,,,1981/1984 closed,Hồ Chí Minh no capacity,0.0
Dong Nai 3 HPP,,operational,2000+capacity additions,Đồng Nai,0.0
Dong Nai 4 (single unit),,operational,2015,Đồng Nai,170.0
Dong Nai 5,,operational,2018,Đồng Nai,145.0
Dong Nai 6,,,operational,2017,0.0
Dong Phu 2,,,post-2025,Đồng Nai,4500.0
Dung Quất 1,gas,operational,,Quảng Ngãi,750.0
Dung Quất 2,gas,operational,,Quảng Ngãi,750.0
Dung Quất 3,gas,operational,,Quảng Ngãi,750.0
Dung Quất I (Khí),,,post Cà Mau Lô A,Quảng Ngãi,750.0
Dung Quất II (Khí),,,post-,Quảng Ngãi,750.0
Dung Quất III (Khí),,,Quảng Ngãi,750,0.0
Duyen Hai 1,coal,operational,,Trà Vinh,1244.0
Duyen Hai 2,,,,Trà Vinh,0.0
Duyen Hai 3,coal,operational,,Trà Vinh,1245.0
Duyên Hải 1,,operational,2015,Trà Vinh,600.0
Duyên Hải 2,,operational,2021,Trà Vinh,0.0
Duyên Hải 2 (BOT),coal,constructing,,Trà Vinh,1200.0
Duyên Hải 3,,operational,2016,Trà Vinh,660.0
Duyên Hải 3 extension,,operational,Trà Vinh,660,0.0
Formosa 2 (Hà Tĩnh),,operational,2015,Hà Tĩnh,150.0
Formosa 2 Hà Tĩnh,,,,Hà Tĩnh,0.0
Formosa 3,,operational,2015,Hà Tĩnh,100.0
Formosa 4,,operational,2016,Hà Tĩnh,100.0
Formosa 5,,operational,2018,Hà Tĩnh,150.0
Formosa HaTinh 10,coal,,,Hà Tĩnh,300.0
Formosa HaTinh 2,coal,,,Hà Tĩnh,755.0
Formosa HaTinh 3,,,,Hà Tĩnh,0.0
Formosa HaTinh 4,,,,Hà Tĩnh,0.0
Formosa HaTinh 5,coal,,,Hà Tĩnh,600.0
Formosa HaTinh 6,coal,,,Hà Tĩnh,300.0
Formosa HaTinh 7,coal,,,Hà Tĩnh,300.0
Formosa HaTinh 8,,,,Hà Tĩnh,0.0
Formosa HaTinh 9,,,,Hà Tĩnh,0.0
Ha Long 1,,,,Quảng Ninh,0.0
Ha Long 2,,,,Quảng Ninh,0.0
Hai Phong 3,,proposed,2025+,Hải Phòng,0.0
Hai Phong 4,,,,Hải Phòng,0.0
Hai Phong I,,operational,2013,Hải Phòng,300.0
Hai Phong II,,operational,2015,Hải Phòng,300.0
Hai Phòng 1,imported lng,operational,,Hải Phòng,300.0
Hai Phòng 2,imported lng,operational,,Hải Phòng,300.0
Ham Thuan,,operational,2001,Bình Thuận,300.0
Hau HPP,,,post-2025,Hậu Giang,0.0
