name,fuel,status,cod,province,capacity_mwe
Uông Bí,coal,Operating,Pre-2011,Quảng Ninh,105
Uông Bí mở rộng II,coal,Operating,2011,Quảng Ninh,330
Phả Lai I,coal,Operating,Pre-2011,Bắc Giang,440
Phả Lai II,coal,Operating,Pre-2011,Bắc Giang,600
Ninh Bình,coal,Operating,Pre-2011,Ninh Bình,100
Hải Phòng I,coal,Operating,Pre-2011,Hải Phòng,300
Quảng Ninh I,coal,Operating,Pre-2011,Quảng Ninh,300
Na Dương,coal,Operating,Pre-2011,Lạng Sơn,111
Cao Nhan,coal,Operating,Pre-2011,NA,115
Cẩm Phả,coal,Operating,Pre-2011,Quảng Ninh,600
Sơn Đồng,coal,Operating,Pre-2011,Bắc Giang,220
Formosa (Hà Tĩnh),coal,Operating,Pre-2011,Hà Tĩnh,150
Thủ Đức,oil,Operating,Pre-2011,TP HCM,165
Cần Thơ,oil,Operating,Pre-2011,Cần Thơ,33
Ô Môn I,oil,Operating,Pre-2011,Cần Thơ,330
Hiệp Phước,oil,Operating,Pre-2011,TP HCM,375
Bourbon,oil,Operating,Pre-2011,NA,24
Phú Mỹ I,local_natural_gas,Operating,Pre-2011,Bà Rịa - Vũng Tàu,1090
Phú Mỹ II.1,local_natural_gas,Operating,Pre-2011,Bà Rịa - Vũng Tàu,900
Phú Mỹ IV,local_natural_gas,Operating,Pre-2011,Bà Rịa - Vũng Tàu,450
Thu Duc,local_natural_gas,Operating,Pre-2011,TP HCM,128
Can Tho,local_natural_gas,Operating,Pre-2011,Cần Thơ,150
Bà Rịa,local_natural_gas,Operating,Pre -2011,Bà Rịa - Vũng Tàu,389
Nhơn Trạch I,local_natural_gas,Operating,Pre-2011,Đồng Nai,465
Nhơn Trạch II,local_natural_gas,Operating,2011,Đồng Nai,750
Cà Mau I,local_natural_gas,Operating,Pre-2011,Cà Mau,750
Cà Mau II,local_natural_gas,Operating,Pre-2011,Cà Mau,750
Phú Mỹ II.2 BOT,local_natural_gas,Operating,Pre-2011,Bà Rịa - Vũng Tàu,740
Phú Mỹ III BOT,local_natural_gas,Operating,Pre-2011,Bà Rịa - Vũng Tàu,740
Vê Dan,local_natural_gas,Operating,Pre-2011,NA,72
Duyên Hải 1,coal,Operating,2017,Trà Vinh,1244
Duyên Hải 3,coal,Operating,2017,Trà Vinh,1245
Nghi Sơn 1,coal,Operating,2017,Thanh Hóa,600
Vĩnh Tân 2,coal,Operating,2017,Bình Thuận,1244
Móng Dương 1,coal,Operating,2017,Quảng Ninh,1080
Thái Bình,coal,Under Construction,2018 (Planned),Thái Bình,600
Vĩnh Tân 4,coal,Under Construction,2018 (Planned),Bình Thuận,1200
Nghi Sơn II,coal,Under Construction,2022-2023 (Planned),Thanh Hóa,1200
Vũng Áng II,coal,Under Construction,2021-2022 (Planned),Hà Tĩnh,1200
Hải Dương,coal,Under Construction,2021-2022 (Planned),Hải Dương,1200
Nam Định I,coal,Under Construction,2021-2022 (Planned),Nam Định,1200
Quảng Trạch I,coal,Under Construction,2021-2022 (Planned),Quảng Bình,1200
Long Phú II,coal,Under Construction,2021-2022 (Planned),Sóc Trăng,1320
Vân Phong I,coal,Under Construction,2022-2023 (Planned),Khánh Hòa,1320
Vĩnh Tân III,coal,Under Construction,2022-2023 (Planned),Bình Thuận,1980
Sông Hậu II,coal,Under Construction,2021-2022 (Planned),Hậu Giang,2000
Long Phú III,coal,Under Construction,2021-2022 (Planned),Sóc Trăng,1800
Quảng Trị,coal,Under Construction,2023-2024 (Planned),Quảng Trị,1200
LNG Quảng Ninh,imported_lng,Planned,2021-2030 (Planned),Quảng Ninh,1500
LNG Thái Bình,imported_lng,Planned,2021-2030 (Planned),Thái Bình,1500
LNG Nghi Sơn,imported_lng,Planned,2021-2030 (Planned),Thanh Hóa,1500
LNG Quảng Trạch II,imported_lng,Planned,2021-2030 (Planned),Quảng Bình,1500
LNG Hải Lăng,imported_lng,Planned,2021-2030 (Planned),Quảng Trị,1500
LNG Cà Ná,imported_lng,Planned,2021-2030 (Planned),Ninh Thuận,1500
Sơn Mỹ II,imported_lng,Planned,2021-2030 (Planned),Bình Thuận,2250
Sơn Mỹ I,imported_lng,Planned,2021-2030 (Planned),Bình Thuận,2250
LNG Long Sơn,imported_lng,Planned,2031-2035 (Planned),Bà Rịa - Vũng Tàu,1500
Nhơn Trạch 3 & 4,imported_lng,Planned,2021-2030 (Planned),Đồng Nai,1624
LNG Hiệp Phước,imported_lng,Planned,2021-2030 (Planned),TP HCM,1200
LNG Long An I,imported_lng,Planned,2021-2030 (Planned),Long An,1500
LNG Long An II,imported_lng,Planned,2031-2035 (Planned),Long An,1500
LNG Bạc Liêu,imported_lng,Planned,2021 -2030 (Planned),Bạc Liêu,3200
TBKHH Ô Môn III,local_natural_gas,Under Construction,2025 (Planned),Cần Thơ,750
TBKHH Ô Môn IV,local_natural_gas,Under Construction,2023 (Planned),Cần Thơ,750
TBKHH Kiên Giang I,local_natural_gas,Planned,2021 (Planned),Kiên Giang,750
TBKHH Kiên Giang II,local_natural_gas,Planned,2022 (Planned),Kiên Giang,750
TBKHH Miền Trung I,local_natural_gas,Planned,2023 (Planned),Quảng Trị/Quảng Ngãi,750
TBKHH Dung Quất I,local_natural_gas,Planned,2024 (Planned),Quảng Ngãi,750
TBKHH Dung Quất II,local_natural_gas,Planned,2024 (Planned),Quảng Ngãi,750
TBKHH Sơn Mỹ II,local_natural_gas,Planned,2023-2025 (Planned),Bình Thuận,2250
