name,fuel,status,cod,province,capacity_mwe
TĐ Nho Quế 2,Hydropower,Completed,,Vietnam,48
TĐ Nho Quế 1,Hydropower,Completed,,Vietnam,32
TĐ Nậm Na 3,Hydropower,Completed,,Vietnam,84
TĐ Nậm Tống,Hydropower,Completed,,Vietnam,34
TĐ Bắc Mê,Hydropower,Completed,,Vietnam,45
TĐ Bá Thước 1,Hydropower,Completed,,Vietnam,60
TĐ Sông Tranh 3,Hydropower,Completed,,Vietnam,62
TĐ Huội Quảng #2,Hydropower,Completed,,Vietnam,260
"TĐ Lai Châu #2,3",Hydropower,Completed,,Vietnam,800
"TĐ Trung Sơn #1,2",Hydropower,Completed,,Vietnam,130
TĐ Nhạn Hạc,Hydropower,Completed,,Vietnam,59
TĐ Sông Bung 2,Hydropower,Completed,,Vietnam,100
TĐ Sêkaman 1 (Lào),Hydropower,Completed,,Vietnam,290
TĐ Sông Tranh 4,Hydropower,Completed,,Vietnam,48
TĐ Đăk Mi 2,Hydropower,Completed,,Vietnam,98
NĐ Formosa Hà Tĩnh #2,Coal,Completed,,Vietnam,150
"NĐ Formosa Hà Tĩnh #3,4",Coal,Completed,,Vietnam,200
NĐ Formosa Hà Tĩnh #5,Coal,Completed,,Vietnam,150
TĐ Đăk Mi 3,Hydropower,Completed,,Vietnam,45
NĐ Formosa Đồng Nai #3,Coal,Completed,,Vietnam,150
NĐ than Vè Đan,Coal,Completed,,Vietnam,60
NĐ Duyên Hải III #1,Coal,Completed,,Vietnam,600
NMĐ sinh khối KCP #1,Biomass,Completed,,Vietnam,30
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",Renewable,Completed,,Vietnam,260
TĐ Chi Khê,Hydropower,Completed,,Vietnam,41
TĐ Lông Tạo,Hydropower,Completed,,Vietnam,42
"TĐ Trung Sơn #3,4",Hydropower,Completed,,Vietnam,130
TĐ Yên Sơn,Hydropower,Completed,,Vietnam,70
TĐ Trà Khúc 1,Hydropower,Completed,,Vietnam,36
TĐ Sêkaman Xanxay (Lào),Hydropower,Completed,,Vietnam,32
TĐ Thác Mơ mở rộng,Hydropower,Completed,,Vietnam,75
"NĐ Thái Bình I #1,2",Coal,Completed,,Vietnam,600
NĐ Thái Bình II #1,Coal,Completed,,Vietnam,600
NĐ Duyên Hải III #2,Coal,Completed,,Vietnam,600
NĐ hóa dầu Long Sơn #1,Biomass,Completed,,Vietnam,75
Điện sinh khối An Khê #1,Biomass,Completed,,Vietnam,55
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",Renewable,Completed,,Vietnam,360
TĐ Sông Lô 6,Hydropower,Completed,,Vietnam,44
TĐ Hồi Xuân,Hydropower,Completed,,Vietnam,102
TĐ Sông Miện 4,Hydropower,Completed,,Vietnam,38
TĐ La Ngâu,Hydropower,Completed,,Vietnam,36
TĐ Đăk Mi 1,Hydropower,Completed,,Vietnam,54
TĐ Đa Nhim mở rộng,Hydropower,Completed,,Vietnam,100
TĐ Sêkaman 4 (Lào),Hydropower,Completed,,Vietnam,80
TĐ A Lin,Hydropower,Completed,,Vietnam,62
NĐ Thăng Long #1,Coal,Completed,,Vietnam,300
NĐ Thái Bình II #2,Coal,Completed,,Vietnam,600
"NĐ Vĩnh Tân IV #1,2",Coal,Completed,,Vietnam,1200
NĐ Long Phú I #1,Coal,Completed,,Vietnam,600
"NĐ hóa dầu Long Sơn #2,3",Biomass,Completed,,Vietnam,150
NMĐ sinh khối KCP #2,Biomass,Completed,,Vietnam,30
Điện sinh khối An Khê #2,Biomass,Completed,,Vietnam,55
NĐ sinh khối Lee&Man,Biomass,Completed,,Vietnam,125
Điện gió Khai Long (Cà Mau),Wind,Completed,,Vietnam,100
Điện gió Bạc Liêu giai đoạn III,Wind,Completed,,Vietnam,142
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",Renewable,Completed,,Vietnam,520
TĐ Bảo Lâm 3,Hydropower,Completed,,Vietnam,46
TĐ Pác Ma,Hydropower,Completed,,Vietnam,140
"TĐ Thượng Kon Tum #1,2",Hydropower,Completed,,Vietnam,220
NĐ Thăng Long #2,Coal,Completed,,Vietnam,300
NĐ đồng phát Hải Hà 1,Coal,Completed,,Vietnam,150
NĐ Na Dương II,Coal,Completed,,Vietnam,110
NĐ Long Phú II #2,Coal,Completed,,Vietnam,600
"NĐ Sông Hậu I #1,2",Coal,Completed,,Vietnam,1200
NĐ Duyên Hải III mở rộng,Coal,Completed,,Vietnam,660
"NĐ Vĩnh Tân I #1,2",Coal,Completed,,Vietnam,1200
NĐ Vĩnh Tân IV mở rộng,Coal,Completed,,Vietnam,600
"Cụm thuỷ điện nhỏ Nậm Củm 1,4,5",Hydropower,Completed,,Vietnam,65
Điện gió Trung - Nam,Wind,Completed,,Vietnam,90
Điện gió Sóc Trăng,Wind,Completed,,Vietnam,99
Điện mặt trời Thiên Tân 1,Solar,Completed,,Vietnam,300
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",Renewable,Completed,,Vietnam,450
TĐ Nậm Pân 5,Hydropower,Completed,,Vietnam,35
TĐ Nậm Mô (Việt Nam),Hydropower,Completed,,Vietnam,95
TĐ IaLy mở rộng,Hydropower,Completed,,Vietnam,360
"Formosa Hà Tĩnh #6,7",Coal,Completed,,Vietnam,300
"Formosa Hà Tĩnh #8,9",Coal,Completed,,Vietnam,200
Formosa Hà Tĩnh #10,Coal,Completed,,Vietnam,150
NĐ Hải Dương #1,Coal,Completed,,Vietnam,600
"NĐ Cẩm Phả III #1,2",Coal,Completed,,Vietnam,440
NĐ Công Thanh,Coal,Completed,,Vietnam,600
TBKHH Ô Môn III,Coal,Completed,,Vietnam,750
"Cụm thủy điện nhỏ Nậm Củm 2,3,6",Hydropower,Completed,,Vietnam,54
Điện gió Hanbaram,Wind,Completed,,Vietnam,117
Điện mặt trời Thiên Tân 2,Solar,Completed,,Vietnam,400
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",Renewable,Completed,,Vietnam,470
TĐ Mý Lý,Hydropower,Completed,,Vietnam,250
TĐ Hòa Bình mở rộng #1,Hydropower,Completed,,Vietnam,240
NĐ Nghi Sơn II #1,Coal,Completed,,Vietnam,600
NĐ Vũng Áng II #1,Coal,Completed,,Vietnam,600
NĐ Hải Dương #2,Coal,Completed,,Vietnam,600
NĐ Duyên Hải II,Coal,Completed,,Vietnam,600
NĐ sông Hậu II,Coal,Completed,,Vietnam,1000
"NĐ Long Phú III #1,2,3",Coal,Completed,,Vietnam,1800
NĐ An Khánh - Bắc Giang,Coal,Completed,,Vietnam,650
TBKHH Dung Quất I #1,Coal,Completed,,Vietnam,750
"TĐ Pác Ma 1,2",Hydropower,Completed,,Vietnam,140
"NĐ đồng phát Hải Hà 2,3,4",Coal,Completed,,Vietnam,900
TBKHH Ô Môn II,Coal,Completed,,Vietnam,750
TBKHH Ô Môn IV,Coal,Completed,,Vietnam,750
Điện mặt trời Thiên Tân 3,Solar,Completed,,Vietnam,450
Điện gió Bạc Liêu giai đoạn IV,Wind,Completed,,Vietnam,97
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",Renewable,Completed,,Vietnam,1620
TĐ Thượng Bình,Hydropower,Completed,,Vietnam,36
TĐ Đa Nhim 2,Hydropower,Completed,,Vietnam,280
"NĐ Vĩnh Tân III #1,2,3",Coal,Completed,,Vietnam,1980
"NĐ Vân Phong #1,2",Coal,Completed,,Vietnam,1332
NĐ Nghi Sơn III,Coal,Completed,,Vietnam,600
"NĐ Quảng Trị I #1,2",Coal,Completed,,Vietnam,1320
NĐ sông Hậu III,Coal,Completed,,Vietnam,2000
TBKHH Sơn Mỹ II,Coal,Completed,,Vietnam,2250
TĐ Ialy mở rộng,Hydropower,Completed,,Vietnam,360
Điện mặt trời Thiên Tân 4,Solar,Completed,,Vietnam,500
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",Renewable,Completed,,Vietnam,1750
TĐ Đa Nhim 1,Hydropower,Completed,,Vietnam,130
NĐ Quang Trạch I #1,Coal,Completed,,Vietnam,600
NĐ than Bảo Đại,Coal,Completed,,Vietnam,600
"NĐ Hải Hà I,II",Coal,Completed,,Vietnam,300
TBKHH Dung Quất III,Coal,Completed,,Vietnam,750
