match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
exact,An Khánh - Bac Giang,An Khánh - Bắc Giang,bac giang,bac giang,coal,coal,650.0,650.0,0.0,True,False,True,,,100.0
exact_capacity_diff,An Khánh 1,Thủ Đức GT,thai nguyen,tp. ho chi minh,coal,gas,116.0,114.0,1.7,False,True,False,,,30.76923076923077
exact_capacity_diff,Bà Rịa GT,Đạm Phú Mỹ,ba ria - vung tau,ba ria - vung tau,gas,gas,46.0,21.0,54.3,True,True,True,,,35.29411764705882
fuzzy_capacity_diff,Cam Pha 3,Cẩm Phả,quang ninh,quang ninh,coal,coal,440.0,600.0,36.4,True,False,True,,,100.0
exact,Cao Ngạn,Cao Ngạn,thai nguyen,thai nguyen,coal,coal,114.0,115.0,0.9,True,True,True,,,100.0
exact_capacity_diff,Cong Thanh,Cần Thơ GT,thanh hoa,can tho,coal,gas,600.0,155.0,74.2,False,False,False,,,62.5
exact,Cà Mau I,Cà Mau I,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,,100.0
exact,Cà Mau II,Cà Mau II,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,,100.0
exact_capacity_diff,Cẩm Phả 1,Uông Bí mở rộng II,quang ninh,quang ninh,coal,coal,340.0,330.0,2.9,True,True,True,,,33.333333333333336
exact_capacity_diff,Cẩm Phả 2,Thủ Đức oil,quang ninh,tp. ho chi minh,coal,oil,340.0,165.0,51.5,False,True,False,,,30.76923076923077
exact_capacity_diff,Dong Nai Formosa,Ninh Bình,đong nai,ninh binh,coal,coal,150.0,100.0,33.3,True,False,False,,,40.0
exact_capacity_diff,Dong Nai Formosa,Can Tho GT,đong nai,can tho,coal,gas,300.0,150.0,50.0,False,False,False,,,31.57894736842105
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Đức Giang cogeneration,lao cai,hai phong,coal,coal,100.0,100.0,0.0,True,False,False,,,59.45945945945945
exact,Duyen Hai 1,Duyên Hải 1,tra vinh,tra vinh,coal,coal,1244.0,1245.0,0.1,True,True,True,,,100.0
exact_capacity_diff,Duyen Hai 2,Pha Lai 1,tra vinh,hai duong,coal,coal,600.0,440.0,26.7,True,True,False,,,57.14285714285714
exact,Duyen Hai 3,Duyên Hải 3,tra vinh,tra vinh,coal,coal,1244.0,1245.0,0.1,True,True,True,,,100.0
fuzzy_capacity_diff,Duyen Hai 3 Extension,Duyên Hải 3,tra vinh,tra vinh,coal,coal,660.0,1245.0,88.6,True,True,True,,,100.0
fuzzy_capacity_diff,Duyên Hải 2,Duyên Hải 1,tra vinh,tra vinh,coal,coal,1200.0,1244.0,3.7,True,True,True,,,95.23809523809523
fuzzy_capacity_diff,Formosa HT2,Formosa Hà Tĩnh 1,ha tinh,ha tinh,coal,coal,650.0,150.0,76.9,True,False,True,,,90.0
fuzzy_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,LNG Hà Tĩnh,ha tinh,ha tinh,coal,imported gas,450.0,6000.0,1233.3,False,False,True,,,100.0
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Cần Thơ GT,ha tinh,can tho,coal,gas,450.0,150.0,66.7,False,False,False,,,55.55555555555556
exact_capacity_diff,Hai Duong,Phú Mỹ 4,hai duong,ba ria - vung tau,coal,gas,1200.0,477.0,60.2,False,True,False,,,33.333333333333336
fuzzy_capacity_diff,Hai Ha CHP Phase 1,Hải Hà 1,quang ninh,quang ninh,coal,coal,150.0,300.0,100.0,True,False,True,,,93.33333333333333
fuzzy_capacity_diff,Hai Ha CHP Phase 2,Hải Hà 4,quang ninh,quang ninh,coal,coal,750.0,600.0,20.0,True,False,True,,,93.33333333333333
fuzzy,Hai Ha CHP Phase 3,Hải Hà 3,quang ninh,quang ninh,coal,coal,600.0,600.0,0.0,True,False,True,,,93.33333333333333
fuzzy,Hai Ha CHP Phase 4,Hải Hà 2,quang ninh,quang ninh,coal,coal,600.0,600.0,0.0,True,False,True,,,93.33333333333333
exact,Hai Phong 1,Hải Phòng 1,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
exact,Hai Phong 2,Hải Phòng 2,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
fuzzy_capacity_diff,Hai Phong 3,Hải Phòng 1,hai phong,hai phong,coal,coal,1200.0,600.0,50.0,True,False,True,,,95.23809523809523
fuzzy_capacity_diff,Hải Phòng,Hải Phòng I,hai phong,hai phong,gas,coal,500.0,300.0,40.0,False,False,True,,,100.0
exact,LNG Bà Rịa 2,LNG Bà Rịa 2,ba ria - vung tau,ba ria - vung tau,gas,imported gas,1200.0,1200.0,0.0,False,False,True,,,100.0
exact,LNG Bình Định,LNG Bình Định,binh đinh,binh đinh,gas,imported gas,5000.0,5000.0,0.0,False,False,True,,,100.0
exact,LNG Bạc Liêu,LNG Bạc Liêu,bac lieu,bac lieu,gas,imported gas,3200.0,3200.0,0.0,False,True,True,,,100.0
exact,LNG Bến Tre,LNG Bến Tre,ben tre,ben tre,gas,imported gas,3000.0,3000.0,0.0,False,False,True,,,100.0
exact,LNG Chân Mây,LNG Chân Mây,hue,thua thien hue,gas,imported gas,4000.0,4000.0,0.0,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Cà Mau 1,"LNG Cà Mau 1,2,3",ca mau,ca mau,gas,imported gas,1500.0,4500.0,200.0,False,False,True,,,100.0
exact,LNG Cà Ná,LNG Cà Ná,ninh thuan,ninh thuan,gas,imported gas,1500.0,1500.0,0.0,False,True,True,,,100.0
exact,LNG Cà Ná II+III,LNG Cà Ná II+III,ninh thuan,ninh thuan,gas,imported gas,4500.0,4500.0,0.0,False,False,True,,,100.0
fuzzy,LNG Cái Mép Hạ,LNG Cái Mép H,ba ria - vung tau,ba ria - vung tau,gas,imported gas,6000.0,6000.0,0.0,False,False,True,,,100.0
fuzzy,LNG Hiệp Phước (phase I),LNG Hiệp Phước giai đoạn I,tp ho chi minh,tp. ho chi minh,gas,imported gas,1200.0,1200.0,0.0,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Hiệp Phước (phase II),LNG Hiệp Phước I+II,tp ho chi minh,tp. ho chi minh,gas,imported gas,1500.0,2700.0,80.0,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Hà Tĩnh,Formosa Hà Tĩnh 2,ha tinh,ha tinh,gas,coal,6000.0,650.0,89.2,False,False,True,,,100.0
