match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
fuzzy,An Khánh - Bac Giang,NĐ An Khánh - Bắc Giang,bac giang,vietnam,coal,coal,650.0,650.0,0.0,True,False,False,,,100.0
exact_capacity_diff,An Khánh 1,Điện gió Hanbaram,thai nguyen,vietnam,coal,unknown,116.0,117.0,0.9,False,False,False,,,50.0
exact_capacity_diff,Bà Rịa GT,TĐ Bảo Lâm 3,ba ria - vung tau,vietnam,gas,unknown,46.0,46.0,0.0,False,False,False,,,55.55555555555556
fuzzy_capacity_diff,Bạc Liêu 1,Điện gió Bạc Liêu giai đoạn III,bac lieu,vietnam,coal,unknown,1200.0,142.0,88.2,False,False,False,,,90.0
fuzzy,Cam Pha 3,NĐ than Cẩm Phả 3,quang ninh,vietnam,coal,coal,440.0,440.0,0.0,True,False,False,,,100.0
exact_capacity_diff,Cao Ngạn,NĐ than Na Dương 2,thai nguyen,vietnam,coal,coal,114.0,110.0,3.5,True,False,False,,,50.0
fuzzy,Cong Thanh,NĐ Công Thanh,thanh hoa,vietnam,coal,coal,600.0,600.0,0.0,True,False,False,,,100.0
fuzzy_capacity_diff,Cà Mau I,"TBKHH Cà Mau 1,2,3",ca mau,vietnam,gas,gas,771.0,4500.0,483.7,True,False,False,,,100.0
fuzzy_capacity_diff,Cà Mau II,"TBKHH Cà Mau 1,2,3",ca mau,vietnam,gas,gas,771.0,4500.0,483.7,True,False,False,,,93.33333333333333
exact_capacity_diff,Cẩm Phả 1,"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",quang ninh,vietnam,coal,unknown,340.0,360.0,5.9,False,False,False,,,40.0
exact_capacity_diff,Cẩm Phả 2,TĐ Sêkaman 9 (Lào),quang ninh,vietnam,coal,unknown,340.0,340.0,0.0,False,False,False,,,53.333333333333336
exact_capacity_diff,Dong Nai Formosa,NĐ than Đông Hà,đong nai,vietnam,coal,coal,150.0,150.0,0.0,True,False,False,,,45.45454545454546
exact_capacity_diff,Dong Nai Formosa,"NĐ Hải Hà I,II",đong nai,vietnam,coal,coal,300.0,300.0,0.0,True,False,False,,,45.45454545454546
exact_capacity_diff,Duc Giang - Lao Cai Chemical,TĐ Đa Nhim mở rộng,lao cai,vietnam,coal,unknown,100.0,100.0,0.0,False,False,False,,,36.36363636363637
fuzzy_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase I,TBKHH Dung Quất II,quang ngai,vietnam,coal,coal,2400.0,750.0,68.8,True,False,False,,,95.23809523809523
fuzzy_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase II,TBKHH Dung Quất III,quang ngai,vietnam,coal,coal,2000.0,750.0,62.5,True,False,False,,,95.23809523809523
fuzzy_capacity_diff,Duyen Hai 1,NĐ Duyên Hải II,tra vinh,vietnam,coal,coal,1244.0,600.0,51.8,True,False,False,,,90.9090909090909
fuzzy,Duyen Hai 2,NĐ Duyên Hải III #2,tra vinh,vietnam,coal,coal,600.0,600.0,0.0,True,False,False,,,90.9090909090909
fuzzy_capacity_diff,Duyen Hai 3,NĐ Duyên Hải III mở rộng,tra vinh,vietnam,coal,coal,1244.0,660.0,46.9,True,False,False,,,100.0
exact_capacity_diff,Duyen Hai 3 Extension,NĐ than Phú Thọ,tra vinh,vietnam,coal,coal,660.0,600.0,9.1,True,False,False,,,46.666666666666664
fuzzy_capacity_diff,Duyên Hải 2,NĐ Duyên Hải III #1,tra vinh,vietnam,coal,coal,1200.0,600.0,50.0,True,False,False,,,90.9090909090909
fuzzy_capacity_diff,Formosa HT2,"Formosa Hà Tĩnh #6,7",ha tinh,vietnam,coal,coal,650.0,300.0,53.8,True,False,False,,,90.0
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Điện mặt trời Thiên Tân 3,ha tinh,vietnam,coal,unknown,450.0,450.0,0.0,False,False,False,,,43.99999999999999
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,NĐ than Cẩm Phả 3,ha tinh,vietnam,coal,coal,450.0,440.0,2.2,True,False,False,,,47.05882352941176
fuzzy_capacity_diff,Hai Duong,NĐ Hải Dương #1,hai duong,vietnam,coal,coal,1200.0,600.0,50.0,True,False,False,,,100.0
exact_capacity_diff,Hai Ha CHP Phase 1,NĐ Formosa Hà Tĩnh #5,quang ninh,vietnam,coal,coal,150.0,150.0,0.0,True,False,False,,,46.666666666666664
exact_capacity_diff,Hai Ha CHP Phase 2,TBKHH miền Trung I (khí CVX),quang ninh,vietnam,coal,gas,750.0,750.0,0.0,False,False,False,,,31.57894736842105
exact_capacity_diff,Hai Ha CHP Phase 3,NĐ than Phú Thọ,quang ninh,vietnam,coal,coal,600.0,600.0,0.0,True,False,False,,,50.0
exact_capacity_diff,Hai Ha CHP Phase 4,"NĐ Thái Bình I #1,2",quang ninh,vietnam,coal,coal,600.0,600.0,0.0,True,False,False,,,42.42424242424242
fuzzy_capacity_diff,Hai Phong 1,"NĐ than Hải Phòng III #3,4",hai phong,vietnam,coal,coal,600.0,2000.0,233.3,True,False,False,,,90.9090909090909
fuzzy_capacity_diff,Hai Phong 2,"NĐ than Hải Phòng III #3,4",hai phong,vietnam,coal,coal,600.0,2000.0,233.3,True,False,False,,,90.9090909090909
fuzzy,Hai Phong 3,NĐ than Hải Phòng 3,hai phong,vietnam,coal,coal,1200.0,1200.0,0.0,True,False,False,,,100.0
fuzzy_capacity_diff,Hải Phòng,"NĐ than Hải Phòng III #1,2",hai phong,vietnam,gas,coal,500.0,1200.0,140.0,False,False,False,,,100.0
exact_capacity_diff,LNG Bà Rịa 2,NĐ than Quỳnh Lập 1,ba ria - vung tau,vietnam,gas,coal,1200.0,1200.0,0.0,False,False,False,,,42.85714285714286
exact,LNG Bình Định,TBKHH Bình Định,binh đinh,vietnam,gas,gas,5000.0,5000.0,0.0,True,False,False,,,100.0
exact,LNG Bạc Liêu,TBKHH Bạc Liêu,bac lieu,vietnam,gas,gas,3200.0,3200.0,0.0,True,False,False,,,100.0
exact,LNG Bến Tre,TBKHH Bến Tre,ben tre,vietnam,gas,gas,3000.0,3000.0,0.0,True,False,False,,,100.0
fuzzy,LNG Chân Mây,TBKHH Chân Mây - Huế,hue,vietnam,gas,gas,4000.0,4000.0,0.0,True,False,False,,,100.0
fuzzy_capacity_diff,LNG Cà Mau 1,"TBKHH Cà Mau 1,2,3",ca mau,vietnam,gas,gas,1500.0,4500.0,200.0,True,False,False,,,100.0
exact_capacity_diff,"LNG Cà Mau 2,3",TBKHH Sông Đốc (Cà Mau),ca mau,vietnam,gas,gas,3000.0,3000.0,0.0,True,False,False,,,22.22222222222222
fuzzy,LNG Cà Ná,TBKHH Cà Ná I,ninh thuan,vietnam,gas,gas,1500.0,1500.0,0.0,True,False,False,,,100.0
exact,LNG Cà Ná II+III,TBKHH Cà Ná II+III,ninh thuan,vietnam,gas,gas,4500.0,4500.0,0.0,True,False,False,,,100.0
fuzzy,LNG Cái Mép Hạ,TBKHH Cái Mép H,ba ria - vung tau,vietnam,gas,gas,6000.0,6000.0,0.0,True,False,False,,,100.0
fuzzy,LNG Hiệp Phước (phase I),TBKHH Hiệp Phước I,tp ho chi minh,vietnam,gas,gas,1200.0,1200.0,0.0,True,False,False,,,100.0
exact_capacity_diff,LNG Hiệp Phước (phase II),"NĐ than miền Trung 1,2",tp ho chi minh,vietnam,gas,gas,1500.0,1500.0,0.0,True,False,False,,,40.0
fuzzy_capacity_diff,LNG Hà Tĩnh,"NĐ Formosa Hà Tĩnh #3,4",ha tinh,vietnam,gas,coal,6000.0,200.0,96.7,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Hải Lăng,TBKHH Hải Lăng 19,quang tri,vietnam,gas,gas,1500.0,3000.0,100.0,True,False,False,,,100.0
fuzzy,LNG Hải Lăng (2 and 3),TBKHH Hải Lăng 20,quang tri,vietnam,gas,gas,4500.0,4500.0,0.0,True,False,False,,,100.0
exact,LNG Hải Phòng 1 (Tiên Lãng),TBKHH Hải Phòng 1 (Tiên Lãng),hai phong,vietnam,coal,gas,4500.0,4500.0,0.0,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Hải Phòng 2 (Cát Hải),"NĐ than Hải Phòng III #3,4",hai phong,vietnam,coal,coal,1600.0,2000.0,25.0,True,False,False,,,90.9090909090909
fuzzy,LNG Hải Phòng 3 (Cát Hải),TBKHH Hải Phòng 44 (Cát Hải),hai phong,vietnam,coal,gas,4500.0,4500.0,0.0,False,False,False,,,95.23809523809523
exact,LNG Hải Phòng 4 (Đồ Sơn),TBKHH Hải Phòng 4 (Đông Sơn),hai phong,vietnam,gas,gas,4500.0,4500.0,0.0,True,False,False,,,100.0
exact,LNG Long An I,TBKHH Long An I,long an,vietnam,gas,gas,1500.0,1500.0,0.0,True,False,False,,,100.0
fuzzy,LNG Long An I phase 2,TBKHH Long An III (Khí),long an,vietnam,gas,gas,1500.0,1500.0,0.0,True,False,False,,,94.11764705882352
exact,LNG Long An II,TBKHH Long An II,long an,vietnam,gas,gas,1500.0,1500.0,0.0,True,False,False,,,100.0
fuzzy,LNG Long An II phase 2,TBKHH Long An III (Khí),long an,vietnam,gas,gas,1500.0,1500.0,0.0,True,False,False,,,94.11764705882352
fuzzy,LNG Long Sơn,TBKHH Long Sơn I,ba ria - vung tau,vietnam,gas,gas,1200.0,1200.0,0.0,True,False,False,,,100.0
fuzzy,LNG Long Sơn II+III,"TBKHH Long Sơn II,III",ba ria - vung tau,vietnam,gas,gas,3200.0,3200.0,0.0,True,False,False,,,91.66666666666666
exact,LNG Long Sơn IV (địa điểm Tây),TBKHH Long Sơn IV (xa đi đệm Tây),ba ria - vung tau,vietnam,gas,gas,3600.0,3600.0,0.0,True,False,False,,,100.0
fuzzy_capacity_diff,LNG Mũi Kê Gà 1,TBKHH Mũi Kê Gà,binh thuan,vietnam,gas,gas,1200.0,3600.0,200.0,True,False,False,,,100.0
fuzzy_capacity_diff,"LNG Mũi Kê Gà 2,3",TBKHH Mũi Kê Gà,binh thuan,vietnam,gas,gas,2400.0,3600.0,50.0,True,False,False,,,100.0
exact,LNG Mỹ Giang,TBKHH Mỹ Giang,khanh hoa,vietnam,gas,gas,6000.0,6000.0,0.0,True,False,False,,,100.0
fuzzy_capacity_diff,LNG Nghi Sơn (Thanh Hóa),NĐ than Nghi Sơn III,thanh hoa,vietnam,gas,coal,5000.0,600.0,88.0,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Nhơn Trạch 3,TBKHH Nhơn Trạch 3&4,đong nai,vietnam,gas,coal,750.0,1500.0,100.0,False,False,False,,,100.0
exact_capacity_diff,LNG Nhơn Trạch 4,TBKHH miền Trung II,đong nai,vietnam,gas,gas,750.0,750.0,0.0,True,False,False,,,47.61904761904761
exact_capacity_diff,LNG Núi Thành (Quảng Nam),NĐ Bạc Liêu,quang nam,vietnam,gas,gas,3200.0,3200.0,0.0,True,False,False,,,42.85714285714286
exact,LNG Phong Điền – Huế,TBKHH Phong Điền – Huế,hue,vietnam,gas,gas,3000.0,3000.0,0.0,True,False,False,,,100.0
exact,LNG Phú Mỹ 3.1,TBKHH Phú Mỹ 3.1,ba ria - vung tau,vietnam,gas,gas,850.0,850.0,0.0,True,False,False,,,100.0
fuzzy,LNG Quảng Bình,TBKHH Quang Ninh 38 (Hải Hà),quang binh,vietnam,gas,gas,3000.0,3000.0,0.0,True,False,False,,,90.0
