name,fuel,status,cod,province,capacity_mwe
Uong Bi,Coal,Trial Operation,1974,Hải Phòng,105
Uong Bi MR I,Coal,Trial Operation,2010,Hải Phòng,300
Uong Bi MR II,Coal,Operational,2015,Hải Phòng,330
Pha Lai 1,Coal,Operational,1980,Hải Dương,440
Pha Lai 2,Coal,Operational,1981,Hải Dương,600
Ninh Bình,Coal,Operational,1985,Ninh Bình,100
Hai Phong 1,Coal,Operational,1985,Hải Phòng,300
Hai Phong 2,Coal,Operational,1986,Hải Phòng,300
Quang Ninh 1,Coal,Operational,1994,Quảng Ninh,600
Quang Ninh 2,Coal,Operational,1995,Quảng Ninh,600
Na Dương 1,Lignite,Operational,1998,Lạng Sơn,110
Cao Ngan,Lignite,Operational,2002,Lạng Sơn,115
Cam Pha,Lignite,Operational,2007,Quảng Ninh,600
Cam Pha 2,Lignite,Constructed,2010,Quảng Ninh,440
Cam Pha Mở rộng 1,Lignite,Operational,2015,Quảng Ninh,440
Ninh Bình 2,Coal,Operational,1995,Ninh Bình,300
Son Dong,Lignite,Suspended,,Quảng Ninh,220
Vĩnh Tân 1,Coal,Operational,2015,Bình Thuận,620
Vĩnh Tân 2,Coal,Operational,2014,Bình Thuận,1244
Vĩnh Tân 3,Coal,Operational,2016,Bình Thuận,1980
Vĩnh Tân 3 Mở rộng,Coal,Trial Operation,2018,Bình Thuận,660
Vĩnh Tân 4,Coal,Operational,2017,Bình Thuận,1200
Bến Thuỷ 1,Coal,Decommissioned,1991,Nghệ An,100
Thủ Đức,Coal,Decommissioned,1995,Ho Chi Minh City,165
Phú Mỹ 1,Coal,Trial Operation,1997,Baria Vungtau,440
Phú Mỹ 2.1,Coal,Trial Operation,2002,Baria Vungtau,900
Phú Mỹ 2.2,Coal,Trial Operation,2003,Baria Vungtau,900
Phú Mỹ 3,Coal,Operational,2004,Baria Vungtau,1115
Phú Mỹ 4,Coal,Operational,2001,Baria Vungtau,458
Hiệp Phước,Coal,Trial Operation,2001,Ho Chi Minh,375
