match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
exact,An Khánh - Bac Giang,An Khanh - Bac Giang,bac giang,bac giang,coal,coal,650.0,650.0,0.0,True,True,True,,,100.0
fuzzy_capacity_diff,An Khánh 1,An Khanh II #1,thai nguyen,bac giang,coal,coal,116.0,150.0,29.3,True,True,False,,,94.73684210526316
exact_capacity_diff,Bà Rịa GT,TĐ Bảo Lâm 3,ba ria - vung tau,lam dong,gas,unknown,46.0,46.0,0.0,False,True,False,,,55.55555555555556
fuzzy_capacity_diff,Bạc Liêu 1,Bac Lieu Phase II Wind Power Plant,bac lieu,bac lieu,coal,unknown,1200.0,142.0,88.2,False,False,True,,,94.73684210526316
fuzzy_capacity_diff,Cam Pha 3,Cam Pha (Coal Fired),quang ninh,quang ninh,coal,coal,440.0,600.0,36.4,True,False,True,,,100.0
exact_capacity_diff,Cao Ngạn,Cao Nhan (Coal Fired),thai nguyen,quang ninh,coal,coal,114.0,115.0,0.9,True,True,False,,,87.5
fuzzy,Cong Thanh,NĐ Công Thanh,thanh hoa,thanh hoa,coal,coal,600.0,600.0,0.0,True,False,True,,,100.0
exact,Cà Mau I,Ca Mau I (CCGT),ca mau,ca mau,gas,imported gas,771.0,750.0,2.7,False,False,True,,,100.0
exact,Cà Mau II,Ca Mau II (CCGT),ca mau,ca mau,gas,imported gas,771.0,750.0,2.7,False,False,True,,,100.0
fuzzy_capacity_diff,Cẩm Phả 1,Cam Pha III #1,quang ninh,quang ninh,coal,coal,340.0,220.0,35.3,True,False,True,,,94.11764705882352
fuzzy_capacity_diff,Cẩm Phả 2,Cam Pha III #2,quang ninh,quang ninh,coal,coal,340.0,220.0,35.3,True,False,True,,,94.11764705882352
fuzzy,Dong Nai Formosa,Formosa (Coal Fired),đong nai,ha tinh,coal,coal,150.0,150.0,0.0,True,False,False,,,100.0
fuzzy_capacity_diff,Dong Nai Formosa,Formosa,đong nai,ha tinh,coal,coal,300.0,150.0,50.0,True,False,False,,,100.0
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Dong Hai Wind Power Plant,lao cai,bac lieu,coal,unknown,100.0,100.0,0.0,False,False,False,,,46.15384615384615
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase I,Sơn Mỹ I CCGT,quang ngai,binh thuan,coal,imported gas,2400.0,2250.0,6.2,False,True,False,,,41.666666666666664
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase II,Cụm thủy điện nhỏ Nậm Củm 1,quang ngai,operational,coal,unknown,2000.0,2019.0,0.9,False,False,False,,,40.74074074074075
exact,Duyen Hai 1,Duyen Hai 1,tra vinh,tra vinh,coal,coal,1244.0,1244.0,0.0,True,True,True,,,100.0
fuzzy,Duyen Hai 2,NĐ Duyên Hải III #2,tra vinh,tra vinh,coal,coal,600.0,600.0,0.0,True,True,True,,,90.9090909090909
exact,Duyen Hai 3,Duyen Hai 3,tra vinh,tra vinh,coal,coal,1244.0,1245.0,0.1,True,True,True,,,100.0
fuzzy,Duyen Hai 3 Extension,Duyen Hai 3 (MR),tra vinh,tra vinh,coal,coal,660.0,660.0,0.0,True,True,True,,,100.0
fuzzy_capacity_diff,Duyên Hải 2,NĐ Duyên Hải III mở rộng,tra vinh,tra vinh,coal,coal,1200.0,660.0,45.0,True,True,True,,,90.9090909090909
exact,Formosa HT2,Formosa HT2 (Cogeneration),ha tinh,ha tinh,coal,imported gas,650.0,650.0,0.0,False,False,True,,,100.0
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,TBKHH Miền Trung #2 (Quảng Trị hoặc Quảng Ngãi),ha tinh,quang tri,coal,gas,450.0,450.0,0.0,False,False,False,,,38.46153846153846
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,TBKHH Miền Trung #3 (Quảng Trị hoặc Quảng Ngãi),ha tinh,quang tri,coal,gas,450.0,450.0,0.0,False,False,False,,,38.46153846153846
fuzzy_capacity_diff,Hai Duong,NĐ Hải Dương #1,hai duong,hai duong,coal,coal,1200.0,600.0,50.0,True,True,True,,,100.0
exact_capacity_diff,Hai Ha CHP Phase 1,Gia Lai Wind Power Plant,quang ninh,gia lai,coal,unknown,150.0,150.0,0.0,False,False,False,,,42.10526315789473
exact_capacity_diff,Hai Ha CHP Phase 2,NĐ đồng phát Hải Hà 2 (Cogeneration),quang ninh,quang ninh,coal,unknown,750.0,750.0,0.0,False,False,True,,,66.66666666666667
exact_capacity_diff,Hai Ha CHP Phase 3,Cam Thanh,quang ninh,quang nam,coal,coal,600.0,600.0,0.0,True,False,False,,,55.55555555555556
exact_capacity_diff,Hai Ha CHP Phase 4,Quang Ninh III #1,quang ninh,quang ninh,coal,coal,600.0,600.0,0.0,True,False,True,,,38.46153846153846
exact,Hai Phong 1,Hai Phòng I (Coal Fired),hai phong,hai phong,coal,coal,600.0,300.0,50.0,True,True,True,,,100.0
exact,Hai Phong 2,Hai Phong 2,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
fuzzy_capacity_diff,Hai Phong 3,ND Hải Phòng III #2,hai phong,hai phong,coal,coal,1200.0,600.0,50.0,True,False,True,,,100.0
fuzzy_capacity_diff,Hải Phòng,Hai Phong III #1,hai phong,hai phong,gas,coal,500.0,600.0,20.0,False,False,True,,,100.0
exact,LNG Bà Rịa 2,Bà Rịa 2,ba ria - vung tau,ba ria - vung tau,gas,imported gas,1200.0,1200.0,0.0,False,True,True,,,100.0
exact,LNG Bình Định,Bình Định,binh đinh,binh đinh,gas,imported gas,5000.0,5000.0,0.0,False,True,True,,,100.0
exact,LNG Bạc Liêu,LNG Bạc Liêu,bac lieu,bac lieu,gas,imported gas,3200.0,3200.0,0.0,False,True,True,,,100.0
exact,LNG Bến Tre,Bến Tre,ben tre,ben tre,gas,imported gas,3000.0,3000.0,0.0,False,True,True,,,100.0
exact,LNG Chân Mây,Chân Mây,hue,thua thien hue,gas,imported gas,4000.0,4000.0,0.0,False,True,False,,,100.0
exact,LNG Cà Mau 1,Cà Mau 1,ca mau,ca mau,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
fuzzy_capacity_diff,"LNG Cà Mau 2,3",Cà Mau 2,ca mau,ca mau,gas,imported gas,3000.0,1500.0,50.0,False,True,True,,,100.0
exact,LNG Cà Ná,LNG Cà Ná,ninh thuan,ninh thuan,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
exact,LNG Cà Ná II+III,Cà Ná II+III,ninh thuan,ninh thuan,gas,imported gas,4500.0,4500.0,0.0,False,True,True,,,100.0
fuzzy,LNG Cái Mép Hạ,Cái Mép H,ba ria - vung tau,ba ria - vung tau,gas,imported gas,6000.0,6000.0,0.0,False,True,True,,,100.0
fuzzy,LNG Hiệp Phước (phase I),LNG Hiệp Phước giai đoạn I,tp ho chi minh,tp ho chi minh,gas,imported gas,1200.0,1200.0,0.0,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Hiệp Phước (phase II),Hiệp Phước I & II,tp ho chi minh,long an,gas,imported gas,1500.0,2700.0,80.0,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Hà Tĩnh,NĐ Formosa Hà Tĩnh #5,ha tinh,ha tinh,gas,coal,6000.0,150.0,97.5,False,False,True,,,100.0
fuzzy,LNG Hải Lăng,LNG Hải Lăng giai đoạn 1,quang tri,quang tri,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Hải Lăng (2 and 3),Hải Lăng 1,quang tri,quang tri,gas,imported gas,4500.0,1500.0,66.7,False,False,True,,,100.0
exact,LNG Hải Phòng 1 (Tiên Lãng),Hải Phòng 1,hai phong,hai phong,coal,coal,4500.0,1500.0,66.7,True,True,True,,,100.0
exact,LNG Hải Phòng 2 (Cát Hải),Hải Phòng 2,hai phong,hai phong,coal,coal,1600.0,1500.0,6.2,True,True,True,,,100.0
exact,LNG Hải Phòng 3 (Cát Hải),Hải Phòng 3,hai phong,hai phong,coal,imported gas,4500.0,3000.0,33.3,False,True,True,,,100.0
exact,LNG Hải Phòng 4 (Đồ Sơn),Hải Phòng 4,hai phong,hai phong,gas,imported gas,4500.0,1500.0,66.7,False,True,True,,,100.0
exact,LNG Long An I,Long An I,long an,long an,gas,imported gas,1500.0,1500.0,0.0,False,True,True,,,100.0
fuzzy_capacity_diff,LNG Long An I phase 2,ND Long An I #2,long an,long an,gas,coal,1500.0,1200.0,20.0,False,False,True,,,90.9090909090909
