name,fuel,status,cod,province,capacity_mwe
Pha Lai 1,Coal,Operational,1983,Hai Duong,440
Pha Lai 2,Coal,Operational,2002,Hai Duong,600
Uong Bi (Phases 1–2),Coal,Operational,1973–2005,Quang Ninh,630
Ninh Binh,Coal,Operational,1974,Ninh Binh,100
Na Duong 1,Coal,Operational,2004,Lang Son,110
Na Duong 2,Coal,Operational,2015,Lang Son,110
Cao Ngan,Coal,Operational,2007,Thai Nguyen,100
Son Dong,Coal,Operational,2009,Bac Giang,220
Quang Ninh 1,Coal,Operational,2005,Quang Ninh,600
Quang Ninh 2,Coal,Operational,2014,Quang Ninh,600
Hai Phong 1,Coal,Operational,2010,Hai Phong,600
Hai Phong 2,Coal,Operational,2014,Hai Phong,600
Mao Khe,Coal,Operational,2012,Quang Ninh,440
Nghi Son 1,Coal,Operational,2013,Thanh Hoa,600
Nghi Son 2,Coal,Operational,2022,Thanh Hoa,1200
Thai Binh 1,Coal,Operational,2018,Thai Binh,600
Thai Binh 2,Coal,Operational,2023,Thai Binh,600
Vung Ang 1,Coal,Operational,2015,Ha Tinh,1200
Vung Ang 2,Coal,Under Construction / Planned,2025–2026,Ha Tinh,1200
Formosa Ha Tinh (captive/IPP),Coal,Operational,2017,Ha Tinh,650
Vinh Tan 1,Coal,Operational,2018,Binh Thuan,1200
Vinh Tan 2,Coal,Operational,2014,Binh Thuan,1244
Vinh Tan 3,Coal,Cancelled / Suspended,—,Binh Thuan,1980
Vinh Tan 4,Coal,Operational,2017,Binh Thuan,1200
Vinh Tan 4 Extension,Coal,Operational,2019,Binh Thuan,600
Duyen Hai 1,Coal,Operational,2016,Tra Vinh,1245
Duyen Hai 2,Coal,Operational,2021,Tra Vinh,600
Duyen Hai 3,Coal,Operational,2017,Tra Vinh,1245
Duyen Hai 3 Extension,Coal,Operational,2019,Tra Vinh,688
Long Phu 1,Coal,Under Construction,2025 (delayed),Soc Trang,1200
Long Phu 2,Coal,Cancelled / Suspended,—,Soc Trang,1200
Song Hau 1,Coal,Operational,2022,Hau Giang,1200
Song Hau 2,Coal,Cancelled / Suspended,—,Hau Giang,2000
Mong Duong 1,Coal,Operational,2015,Quang Ninh,1080
Mong Duong 2,Coal,Operational,2015,Quang Ninh,1200
An Khanh 1,Coal,Operational,2015,Thai Nguyen,50
An Khanh 2,Coal,Planned / Uncertain,—,Thai Nguyen,50
Cam Pha 1&2,Coal,Operational,2010,Quang Ninh,670
Nong Son,Coal,Operational,2009,Quang Nam,30
Van Phong 1,Coal,Under Construction,2025–2026,Khanh Hoa,1320
BOT Hai Duong (Jaks-CPI),Coal,Operational,2021,Hai Duong,1200
BOT Nghi Son 2 (see Nghi Son 2 above),Coal,Operational,2022,Thanh Hoa,1200
BOT Van Phong 1 (see Van Phong 1),Coal,Under Construction,2025–2026,Khanh Hoa,1320
Quang Trach 1,Coal,Under Construction,2025–2026,Quang Binh,1200
Nam Dinh 1,Coal,Under Construction / Planned,2026–2027,Nam Dinh,1200
Cong Thanh,Coal,Operational,2015,Thanh Hoa,600
Ba Ria (CCGT),Local Natural Gas,Operational,2002,Ba Ria – Vung Tau,389
Phu My 1,Local Natural Gas,Operational,2002,Ba Ria – Vung Tau,1090
Phu My 2.1,Local Natural Gas,Operational,2002,Ba Ria – Vung Tau,440
Phu My 2.1 Extension,Local Natural Gas,Operational,2005,Ba Ria – Vung Tau,432
Phu My 2.2 (BOT),Local Natural Gas,Operational,2005,Ba Ria – Vung Tau,715
Phu My 3 (BOT),Local Natural Gas,Operational,2004,Ba Ria – Vung Tau,740
Phu My 4,Local Natural Gas,Operational,2005,Ba Ria – Vung Tau,450
Thu Duc,Local Natural Gas,Operational,2001,Ho Chi Minh City,165
Can Tho 1 (Tra Noc),Local Natural Gas,Operational,2002,Can Tho,150
Can Tho 2,Local Natural Gas,Operational,2015,Can Tho,750
Ca Mau 1,Local Natural Gas,Operational,2008,Ca Mau,750
Ca Mau 2,Local Natural Gas,Operational,2009,Ca Mau,750
Nhon Trach 1,Local Natural Gas,Operational,2008,Dong Nai,450
Nhon Trach 2,Local Natural Gas,Operational,2011,Dong Nai,750
Nhon Trach 3,Imported LNG,Under Construction,2025–2026,Dong Nai,750
Nhon Trach 4,Imported LNG,Under Construction,2026–2027,Dong Nai,750
O Mon 1,Local Natural Gas,Operational,2009,Can Tho,660
O Mon 2,Local Natural Gas / Imported LNG,Planned,2026–2028,Can Tho,750
O Mon 3,Local Natural Gas / Imported LNG,Planned,2027–2028,Can Tho,750
O Mon 4,Local Natural Gas / Imported LNG,Planned,2027–2028,Can Tho,750
Hiep Phuoc,Local Natural Gas,Operational,2001,Ho Chi Minh City,375
Bac Lieu LNG,Imported LNG,Planned,2027–2028,Bac Lieu,3200
Son My 1 LNG,Imported LNG,Planned,2027–2028,Binh Thuan,2250
Son My 2 LNG,Imported LNG,Planned,2027–2028,Binh Thuan,2250
Long Son LNG (Ba Ria),Imported LNG,Planned,2026–2028,Ba Ria – Vung Tau,1500
Quang Trach 2 LNG,Imported LNG,Planned,2027–2028,Quang Binh,1500
Ca Na LNG,Imported LNG,Planned / MOU stage,2028+,Ninh Thuan,1500
My Giang – Nha Trang LNG,Imported LNG,Planned / MOU stage,2028+,Khanh Hoa,1500
Hai Lang LNG,Imported LNG,Planned,2028+,Quang Tri,1500
Chan May LNG,Imported LNG,Planned / MOU stage,2028+,Thua Thien Hue,4000
Thai Binh (gas),Local Natural Gas,Planned,2028+,Thai Binh,750
