name,fuel,status,cod,province,capacity_mwe
Mong Duong 1,Coal,Operational,2015,Quang Ninh,1244
Mong Duong 2,Coal,Operational,2016,Quang Ninh,1244
Quang Ninh,Coal,Operational,2014,Quang Ninh,1200
Pha Lai,Coal,Operational,2015,Quang Ninh,600
Nghi Son 1,Coal,Operational,2019,Thanh Hoa,1200
Nghi Son 2,Coal,Operational,2021,Thanh Hoa,1200
Vinh Tan 1,Coal,Operational,2018,Binh Thuan,1244
Vinh Tan 2,Coal,Operational,2016,Binh Thuan,1244
Vinh Tan 3,Coal,Operational,2018,Binh Thuan,1244
Vinh Tan 4,Coal,Operational,2019,Binh Thuan,1244
Duy Hai,Coal,Operational,2015,Binh Thuan,1244
Song Hau 1,Coal,Operational,2022,Hau Giang,1200
Song Hau 2,Coal,Under Construction,Planned 2027,Hau Giang,1200
Long Phu 1,Coal,Operational,2015,Soc Trang,1200
Long Phu 2,Coal,Under Construction,Planned 2027,Soc Trang,1200
Long Phu 3,Coal,Under Construction,Planned 2028,Soc Trang,1200
Tra Vinh 1,Coal,Under Construction,Planned 2027,Tra Vinh,1200
Tra Vinh 2,Coal,Under Construction,Planned 2028,Tra Vinh,1200
My Trung 1,Coal,Operational,2015,Bac Lieu,1200
My Trung 2,Coal,Operational,2016,Bac Lieu,1200
Hai Phong 1,Coal,Operational,2010,Hai Phong,600
Hai Phong 2,Coal,Operational,2015,Hai Phong,600
Hai Phong 3,Coal,Operational,2016,Hai Phong,600
Hai Phong 4,Coal,Operational,2017,Hai Phong,600
Hung Yen 1,Local Natural Gas,Operational,2008,Hung Yen,600
Hung Yen 2,Local Natural Gas,Operational,2009,Hung Yen,600
Phu My 1,Local Natural Gas,Operational,2010,Ba Ria-Vung Tau,330
Phu My 2,Local Natural Gas,Operational,2011,Ba Ria-Vung Tau,330
Phu My 3,Local Natural Gas,Operational,2012,Ba Ria-Vung Tau,330
Phu My 4,Local Natural Gas,Operational,2013,Ba Ria-Vung Tau,330
Phu My 4.1,Local Natural Gas,Operational,2014,Ba Ria-Vung Tau,330
Nhon Trach 1,Local Natural Gas,Operational,2010,Dong Nai,450
Nhon Trach 2,Local Natural Gas,Operational,2011,Dong Nai,450
Nhon Trach 3,Local Natural Gas,Operational,2022,Dong Nai,750
Nhon Trach 4,Local Natural Gas,Operational,2022,Dong Nai,750
Ca Mau 1,Local Natural Gas,Operational,2010,Ca Mau,900
Ca Mau 2,Local Natural Gas,Operational,2011,Ca Mau,900
Chon Thanh,Imported LNG,Under Construction,Planned 2027,Binh Phuoc,1350
Bac Lieu 1,Imported LNG,Under Construction,Planned 2027,Bac Lieu,1200
Bac Lieu 2,Imported LNG,Under Construction,Planned 2028,Bac Lieu,1200
Son My 1,Imported LNG,Under Construction,Planned 2027,Binh Dinh,1500
Son My 2,Imported LNG,Under Construction,Planned 2028,Binh Dinh,1500
Thai Binh 1,Local Natural Gas,Operational,2012,Thai Binh,480
Thai Binh 2,Local Natural Gas,Operational,2013,Thai Binh,480
Nghi Son 3,Imported LNG,Planned,Planned 2030,Thanh Hoa,1200
Quang Tri 1,Local Natural Gas,Planned,Planned 2027,Quang Tri,1200
Quang Tri 2,Local Natural Gas,Planned,Planned 2028,Quang Tri,1200
Quang Tri 3,Local Natural Gas,Planned,Planned 2029,Quang Tri,1200
Quang Tri 4,Local Natural Gas,Planned,Planned 2030,Quang Tri,1200
