name,fuel,status,cod,province,capacity_mwe
Pha Lai 2,Coal,Operational,2004,Hai Duong,600
Mong Duong 1,Coal,Operational,2015,Quang Ninh,1
Duyen Hai 3,Coal,Operational,2016,Tra Vinh,1
Thai Binh 2,Coal,Operational,2022,Thai Binh,1
Vung Ang 2,Coal,Under Construction,2025 (Planned),Ha Tinh,1
Phu My 3,Local Natural Gas,Operational,2004,Ba Ria–Vung Tau,717
Phu My 1,Local Natural Gas,Operational,2000,Ba Ria–Vung Tau,1
Ca Mau 1,Local Natural Gas,Operational,2005,Ca Mau,714
Nhon Trach 2,Local Natural Gas,Operational,2011,Dong Nai,750
Nhon Trach 3 & 4,Imported LNG,Under Construction,2025 (Planned),Dong Nai,1
Thi Vai LNG Terminal & Power,Imported LNG,Under Construction,2024 (Planned),Ba Ria–Vung Tau,1
Son My 1,Imported LNG,Planned,2027 (Planned),Binh Thuan,2
