name,fuel,status,cod,province,capacity_mwe
Vũng Áng I (Coal),Coal,Operational,2014,Quảng Bình,600
Vũng Áng II (Coal),Coal,Operational,2019,Quảng Bình,1200
Thái Bình (Coal),Coal,Operational,2015,Thái Bình,600
Nghi Sơn (Coal),Coal,Operational,2016,Thanh Hóa,600
Hải Phòng (Coal),Coal,Operational,2017,Hải Phòng,660
Thanh Hóa II (Coal),Coal,Operational,2020,Thanh Hóa,600
Dung Quất (Coal),Coal,Under Construction,2025,Quảng Ngãi,1320
Quảng Trạch I (Coal),Coal,Under Construction,2026,Quảng Bình,1320
Quảng Trạch II (Coal),Coal,Planned,2028,Quảng Bình,1320
Nghệ An (Coal),Coal,Planned,2027,Nghệ An,1320
Hà Tĩnh (Coal),Coal,Planned,2028,Hà Tĩnh,1320
Quảng Ninh (Coal),Coal,Planned,2029,Quảng Ninh,1320
Phú Mỹ (Local Natural Gas),Local Natural Gas,Operational,1999,Bà Rịa – Vũng Tàu,300
Phú Mỹ 3-4 (Local Natural Gas),Local Natural Gas,Operational,2002,Bà Rịa – Vũng Tàu,300
Nhơn Trạch (Local Natural Gas),Local Natural Gas,Operational,2005,Đồng Nai,300
Bà Rịa (Local Natural Gas),Local Natural Gas,Operational,2003,Bà Rịa – Vũng Tàu,300
Cần Thơ (Local Natural Gas),Local Natural Gas,Operational,2004,Cần Thơ,300
Hải Phòng (Local Natural Gas),Local Natural Gas,Operational,2006,Hải Phòng,300
Hải Phòng LNG,Imported LNG,Under Construction,2025,Hải Phòng,1500
Cần Thơ LNG,Imported LNG,Under Construction,2025,Cần Thơ,1500
Trà Vinh LNG,Imported LNG,Under Construction,2025,Trà Vinh,1500
Bạc Liêu LNG,Imported LNG,Under Construction,2025,Bạc Liêu,1500
Nhơn Trạch LNG,Imported LNG,Under Construction,2026,Đồng Nai,1500
Bắc Ninh LNG,Imported LNG,Under Construction,2026,Bắc Ninh,1500
Phú Yên LNG,Imported LNG,Under Construction,2026,Phú Yên,1500
Hậu Giang LNG,Imported LNG,Under Construction,2026,Hậu Giang,1500
Phú Mỹ LNG,Imported LNG,Under Construction,2026,Bà Rịa – Vũng Tàu,1500
Hàm Luông LNG,Imported LNG,Planned,2027,Hậu Giang,1500
Sơn Mộc LNG,Imported LNG,Planned,2028,Hải Dương,1500
Nghệ An LNG,Imported LNG,Planned,2027,Nghệ An,1500
Quảng Ninh LNG,Imported LNG,Planned,2029,Quảng Ninh,1500
Thanh Hóa LNG,Imported LNG,Planned,2028,Thanh Hóa,1500
Hà Tĩnh LNG,Imported LNG,Planned,2028,Hà Tĩnh,1500
Bến Tre LNG,Imported LNG,Planned,2029,Bến Tre,1500
An Giang LNG,Imported LNG,Planned,2030,An Giang,1500
