name,fuel,status,cod,province,capacity_mwe
Phả Lại 1,Coal,Operational,2004,Hải Dương,600
Phả Lại 2,Coal,Operational,2013,Hải Dương,600
Uông Bí,Coal,Operational,2004,Quảng Ninh,600
Mông Điện,Coal,Operational,2014,Quảng Ninh,600
Vĩnh Tân 1,Coal,Operational,2013,Bình Thuận,1200
Vĩnh Tân 2,Coal,Operational,2016,Bình Thuận,1200
Duyên Hải 1,Coal,Operational,2011,Trà Vinh,750
Duyên Hải 2,Coal,Operational,2014,Trà Vinh,1200
Duyên Hải 3,Coal,Planned,TBD,Trà Vinh,1200
Vũng Áng 1,Coal,Operational,2013,Hà Tĩnh,1200
Vũng Áng 2,Coal,Operational,2015,Hà Tĩnh,1200
Nghi Sơn 1,Coal,Operational,2013,Thanh Hóa,1200
Nghi Sơn 2,Coal,Operational,2018,Thanh Hóa,1200
Cà Mau 1 & 2,Local Natural Gas,Operational,2008,Cà Mau,1500
Bạc Liêu,Local Natural Gas,Operational,2011,Bạc Liêu,600
Nhơn Trạch 1,Local Natural Gas,Operational,2010,Đồng Nai,850
Nhơn Trạch 2,Local Natural Gas,Operational,2011,Đồng Nai,750
Nhơn Trạch 3,Local Natural Gas,Operational,2020,Đồng Nai,850
Nhơn Trạch 4,Local Natural Gas,Operational,2023,Đồng Nai,850
Long An LNG,Imported LNG,Planned,2028,Long An,3500
Sơn Mỹ LNG,Imported LNG,Planned,2030,Bình Thuận,2250
