name,fuel,status,cod,province,capacity_mwe
Ha Long 1,Coal,Operational,2006-12-01,Quang Ninh,600
Ha Long 2,Coal,Operational,2008-12-01,Quang Ninh,600
Ninh Binh,Coal,Operational,2007-08-01,Ninh Binh,600
Vung Ang 1,Coal,Operational,2008-03-01,Ha Tinh,600
Vung Ang 2,Coal,Operational,2009-05-01,Ha Tinh,600
Pha Lai,Coal,Operational,2005-10-01,Ninh Binh,600
Duyen Hai 1,Coal,Operational,2011-12-01,Binh Thuan,600
Duyen Hai 2,Coal,Operational,2012-12-01,Binh Thuan,600
Quynh Anh,Local natural gas,Operational,2010-09-01,Binh Thuan,200
Thi Vai,Local natural gas,Operational,2005-03-01,Ba Ria-Vung Tau,300
Thi Vai 2,Local natural gas,Under construction,2024-12-31,Ba Ria-Vung Tau,300
Thi Vai LNG,Imported LNG,Planned,2026-12-31,Binh Thuan,1000
Hai Phong Gas Power,Local natural gas,Operational,2015-06-01,Hai Phong,600
Da Nang Gas Power,Local natural gas,Operational,2014-09-01,Da Nang,300
Can Tho Coal Power,Coal,Operational,2012-08-01,Can Tho,135
Soc Trang Coal Power,Coal,Operational,2013-12-01,Soc Trang,135
Hau Giang Coal Power,Coal,Operational,2015-02-01,Hau Giang,135
Nghi Son Coal Power,Coal,Under construction,2025-12-31,Thanh Hoa,600
Long Phu 1 Coal Power,Coal,Under construction,2027-12-31,Binh Thuan,1200
Long Phu 2 Coal Power,Coal,Under construction,2028-12-31,Binh Thuan,1200
Vung Ang 3 Coal Power,Coal,Planned,2030-12-31,Ha Tinh,600
Bac Ninh Gas Power,Local natural gas,Operational,2009-07-01,Bac Ninh,400
Thanh Hoa Gas Power,Local natural gas,Operational,2018-04-01,Thanh Hoa,450
Quang Tri Coal Power,Coal,Operational,2016-11-01,Quang Tri,300
Kon Tum Coal Power,Coal,Planned,2032-12-31,Kon Tum,300
Binh Duong Gas Power,Local natural gas,Planned,2025-12-31,Binh Duong,350
Phu Tho Coal Power,Coal,Planned,2029-12-31,Phu Tho,300
```,,,,,0
