name,fuel,status,cod,province,capacity_mwe
Long Thanh 1,Local Natural Gas,Operational,2024-2025,Binh Thuan,1024
Long Thanh 2,Local Natural Gas,Operational,2024-2025,Binh Thuan,1024
Formosa LNG 1,Imported LNG,Operational,2012-2014,Ninh Thuan,560
Formosa LNG 2,Imported LNG,Operational,2015-2017,Ninh Thuan,600
Formosa LNG 3,Imported LNG,Operational,2016-2018,Ninh Thuan,600
LNG Term 1 (Soc Trang),Imported LNG,Operational,2016-2018,Soc Trang,500
LNG Term 2 (Bac Lieu),Imported LNG,Operational,2016-2018,Bac Lieu,480
LNG Term 3 (Vinh Tan),Imported LNG,Operational,2017-2019,Vinh Tan,500
LNG Term 4 (Long Son),Imported LNG,Operational,2017-2019,Long Son,500
Nguyen Thai Duc 1 (Phung Hung 1),Coal,Operational,2016-2017,Hai Duong,120
Phung Hung 2,Coal,Operational,2016-2017,Hai Duong,120
Phung Hung 3,Coal,Operational,2017-2018,Hai Duong,120
Phung Hung 4,Coal,Under Construction,TBD,Hai Duong,120
Nhat Hoa 1,Coal,Operational,2008,Hoi An,245
Nhat Hoa 2,Coal,Under Construction,2025,Hoi An,245
Phu Ly 1,Coal,Operational,2017-2018,Binh Dinh,625
Phu Ly 2,Coal,Operational,2017-2018,Binh Dinh,625
Phu Ly 3,Coal,Under Construction,2026,Binh Dinh,625
Phu Ly 4,Coal,Under Construction,2027,Binh Dinh,625
Thai Binh,Coal,Operational,2009-2011,Hai Phong,120
Thai Binh 2,Coal,Under Construction,TBD,Hai Phong,120
Hai Phong,Coal,Operational,2013-2015,Hai Phong,1000
Hai Phong 2,Coal,Operational,2016-2018,Hai Phong,1000
Hai Phong 3,Coal,Operational,2018-2020,Hai Phong,1000
Quang Ninh 1 (Vovinco),Coal,Operational,2016-2018,Quang Ninh,1000
Quang Ninh 2,Coal,Operational,2017-2019,Quang Ninh,1000
Quang Ninh 3,Coal,Operational,2019-2021,Quang Ninh,1200
Quang Ninh 4,Coal,Operational,2019-2021,Quang Ninh,1200
Long Son 1,Coal,Operational,2016-2018,Long Son,500
Long Son 2,Coal,Operational,2016-2018,Long Son,500
Long Son 3,Coal,Under Construction,2026,Long Son,500
Long Son 4,Coal,Under Construction,2027,Long Son,500
Phuoc Long 1,Coal,Operational,2017-2018,Thanh Hoa,1000
Phuoc Long 2,Coal,Operational,2018-2020,Thanh Hoa,1000
Phuoc Long 3,Coal,Operational,2025-2026,Thanh Hoa,1000
Phuoc Long 4,Coal,Operational,2026-2027,Thanh Hoa,1000
Ninh Binh 1,Coal,Operational,2009-2011,Ninh Binh,600
Ninh Binh 2,Coal,Operational,2013-2015,Ninh Binh,600
Ninh Binh 3,Coal,Operational,2017-2019,Ninh Binh,600
Ninh Binh 4,Coal,Operational,2020-2022,Ninh Binh,600
Ninh Binh 5,Coal,Under Construction,2024-2025,Ninh Binh,600
Bac Lieu 1,Imported LNG,Operational,2016-2018,Bac Lieu,550
Bac Lieu 2,Imported LNG,Operational,2017-2019,Bac Lieu,550
Bac Lieu 3,Imported LNG,Under Construction,2026,Bac Lieu,550
Soc Trang 1,Imported LNG,Operational,2016-2018,Soc Trang,550
Soc Trang 2,Imported LNG,Operational,2017-2019,Soc Trang,550
Soc Trang 3,Imported LNG,Under Construction,2026,Soc Trang,550
Vinh Tan 1,Imported LNG,Operational,2017-2019,Vinh Tan,550
Vinh Tan 2,Imported LNG,Operational,2018-2020,Vinh Tan,550
Vinh Tan 3,Imported LNG,Under Construction,2026,Vinh Tan,550
Dai Ngai 1,Coal,Operational,2017-2018,Dai Ngai,600
Dai Ngai 2,Coal,Operational,2018-2020,Dai Ngai,600
Dai Ngai 3,Coal,Operational,2019-2021,Dai Ngai,600
Dai Ngai 4,Coal,Operational,2020-2022,Dai Ngai,600
Dai Ngai 5,Coal,Operational,2021-2023,Dai Ngai,600
Dai Ngai 6,Coal,Under Construction,2025,Dai Ngai,600
Dai Ngai 7,Coal,Under Construction,2026,Dai Ngai,600
