name,fuel,status,cod,province,capacity_mwe
Đà Nẵng Power Plant (Đà Nẵng II),Coal,Operational,,Đà Nẵng,301
Phùng Hới Power Plant,Coal,Operational,,Phù Cát,133
Phát Diệm Power Plant,Coal,Operational,,North,110
Bình Định Power Plant,Imported LNG,Operational,,Bình Định,760
Bình Long Power Plant,Coal,Operational,,Quảng Ngãi,1800
Bắc Ninh Power Plant,Coal,Operational,,Bắc Ninh,104
Quảng Trị Power Plant,Coal,Planned,,Quảng Trị,400
Quảng Ninh Power Plant,Imported LNG,Operational,,Quảng Ninh,2000
Ninh Thuận Power Plant,Imported LNG,Operational,,Ninh Thuận,600
Phan Rang-Thị Sơn Power Plant,Imported LNG,Operational,,Tây Nguyên,390
Lạng Sơn Power Plant,Coal,Operational,,Lạng Sơn,108
Thái Bình Power Plant,Local Natural Gas,Operational,,Thái Bình,114
Hậu Giang Power Plant,Coal,Operational,,Hậu Giang,40
Hồng Hà Power Plant,Coal,Operational,,Hồng Hà,172
Nam Sách Power Plant,Coal,Planned,,Nam Sách,2400
Vũng Ca Power Plant,Coal,Planned,,Bắc Ninh,900
Dung Quát Power Plant,Local Natural Gas,Operational,,Dung Quát,40
Vinh Power Station,Imported LNG,Operational,,Quảng Nam,353
Mô Linh Power Plant,Imported LNG,Operational,,Quảng Nam,465
Thái Bình Power Plant (II),Coal,Planned,,Thái Bình,200
Hùng Dũng Power Plant,Coal,Operational,,Hùng Dũng,160
Hưng Yên Power Plant,Coal,Planned,,Hưng Yên,355
Quảng Nam Power Plant,Coal,Operational,,Quảng Nam,70
Bắc Giang Power Plant,Coal,Planned,,Bắc Giang,450
Nha Trang Power Plant,Imported LNG,Operational,,Thanh Hóa,300
Lạng Sơn Power Plant (II),Coal,Planned,,Lạng Sơn,170
Phan Rang Power Plant (I),Coal,Operational,,Phan Rang-Thị Hóa,480
