name,fuel,status,cod,province,capacity_mwe
Mong Duong 1,Coal,Operational,2012,Quang Ninh,540
Mong Duong 2,Coal,Operational,2015,Quang Ninh,1200
Mong Duong 3,Coal,Operational,2016,Quang Ninh,1200
Quang Ninh 1,Coal,Operational,2005,Quang Ninh,300
Quang Ninh 2,Coal,Operational,2010,Quang Ninh,600
Hai Phong 1,Coal,Operational,2006,Hai Phong,600
Hai Phong 2,Coal,Operational,2007,Hai Phong,600
Uong Bi 1,Coal,Operational,1970,Quang Ninh,150
Uong Bi 2,Coal,Operational,1975,Quang Ninh,150
Pha Lai 1,Coal,Operational,1984,Hai Duong,110
Pha Lai 2,Coal,Operational,2003,Hai Duong,600
Nghi Son 1,Coal,Operational,2018,Thanh Hoa,600
Nghi Son 2,Coal,Operational,2019,Thanh Hoa,600
Vinh Tan 1,Coal,Operational,2013,Binh Thuan,1200
Vinh Tan 2,Coal,Operational,2014,Binh Thuan,1200
Vinh Tan 4,Coal,Operational,2016,Binh Thuan,1240
Vinh Tan 4 Extension,Coal,Operational,2018,Binh Thuan,1240
Duyen Hai 1,Coal,Operational,2015,Tra Vinh,1200
Duyen Hai 3,Coal,Operational,2017,Tra Vinh,1200
Long Phu 1,Coal,Operational,2020,Soc Trang,1200
Thai Binh 1,Coal,Operational,2012,Thai Binh,600
Thai Binh 2,Coal,Operational,2021,Thai Binh,600
Quang Trach 1,Coal,Under Construction,2025 (Planned),Quang Binh,1200
Song Hau 1,Coal/NG,Postponed/Converted,Indefinite,Hau Giang,1200
Phu My 1,Local Natural Gas,Operational,1996,Ba Ria - Vung Tau,465
Phu My 2.1,Local Natural Gas,Operational,2001,Ba Ria - Vung Tau,440
Phu My 2.2,Local Natural Gas,Operational,2006,Ba Ria - Vung Tau,440
Phu My 3,Local Natural Gas,Operational,2004,Ba Ria - Vung Tau,440
Phu My 4,Local Natural Gas,Operational,2006,Ba Ria - Vung Tau,440
Ba Ria,Local Natural Gas,Operational,1995,Ba Ria - Vung Tau,450
Ca Mau 1,Local Natural Gas,Operational,2008,Ca Mau,750
Ca Mau 2,Local Natural Gas,Operational,2008,Ca Mau,750
Nam Con Son,Local Natural Gas,Operational,2004,Ba Ria - Vung Tau,650
Nhon Trach 1,Local Natural Gas,Operational,2007,Dong Nai,450
Nhon Trach 2,Local Natural Gas,Operational,2008,Dong Nai,450
O Mon 1,Local Natural Gas,Operational,2011,Can Tho,110
O Mon 2.1,Local Natural Gas,Operational,2017,Can Tho,200
O Mon 2.2,Local Natural Gas,Operational,2019,Can Tho,200
Vung Tau 1 (PV Gas),Local Natural Gas,Operational,2020,Ba Ria - Vung Tau,250
Nhon Trach 3,Imported LNG,Under Construction,2025 (Planned),Dong Nai,750
Nhon Trach 4,Imported LNG,Under Construction,2025 (Planned),Dong Nai,750
Thi Vai,Imported LNG,Planned,2026 (Planned),Ba Ria - Vung Tau,1350
Quang Ngai,Imported LNG,Planned,2027 (Planned),Quang Ngai,1200
Song Hau 1 (Converted),Imported LNG,Planned,2028 (Planned),Hau Giang,1200
Bac Lieu 1,Imported LNG,Planned,2027 (Planned),Bac Lieu,1200
Tu Khuong,Imported LNG,Planned,2028 (Planned),Ho Chi Minh City,1200
Hiep Phuoc,Imported LNG,Planned,2028 (Planned),Ho Chi Minh City,1200
Nghi Son 3,Imported LNG,Planned,2028 (Planned),Thanh Hoa,1200
Vung Ang 2,Imported LNG,Planned,2028 (Planned),Ha Tinh,1200
