name,fuel,status,cod,province,capacity_mwe
Cao Ngan Thermal Power Plant,Coal,Operational,,Thai Nguyen,600
Mong Duong 2 Thermal Power Plant,Coal,Operational,,Quang Ninh,1200
Vinh Tan 4 Thermal Power Plant,Coal,Operational,,Binh Thuan,1200
Duyen Hai 3 Thermal Power Plant,Coal,Operational,,Tra Vinh,1245
Phu My 2.1 Combined Cycle Plant,Local Natural Gas,Operational,,Ba Ria-Vung Tau,715
Phu My 3 Combined Cycle Plant,Local Natural Gas,Operational,,Ba Ria-Vung Tau,720
Son My 1 LNG Combined Cycle Plant,Imported LNG,Under Construction,,Binh Thuan,1500
Long Son LNG Combined Cycle Plant,Imported LNG,Under Construction,,Ba Ria-Vung Tau,1500
Quang Ninh LNG Power Plant,Imported LNG,Planned (Pre-Construction),,Quang Ninh,1800
Nam Dinh 1 Thermal Power Plant,Coal,Suspended (Cancelled per net-zero commitments),,Nam Dinh,1200
