name,fuel,status,cod,province,capacity_mwe
Uông Bí,coal,operational (to be retired),,Quảng Ninh,105
Uông Bí mở rộng II,coal,operational,,Quảng Ninh,330
Phả Lai I,coal,operational,,Hải Dương,440
Phả Lai II,coal,operational,,Hải Dương,600
Ninh Bình,coal,operational,,Ninh Bình,100
Hải Phòng I,coal,operational,,Hải Phòng,300
Quang Ninh I,coal,operational,,Quảng Ninh,300
Na Duong,coal,operational,,Lạng Sơn,111
Cao Nhan,coal,operational,,Lạng Sơn,115
Cam Pha,coal,operational,,Quảng Ninh,600
Son Dong,coal,operational,,Quảng Ninh,220
Formosa Hà Tĩnh (early units),coal,operational,,Hà Tĩnh,150
Nghi Sơn I,coal,operational,,Thanh Hóa,600
Thái Bình II,coal,under construction,,Thái Bình,1200
Quang Ninh II,coal,operational,,Quảng Ninh,600
Nghi Sơn II,coal,under construction,,Thanh Hóa,1200
Vĩnh Tân II,coal,operational,,Bình Thuận,1200
Mông Dương II,coal,operational,,Quảng Ninh,1200
Duyên Hải I,coal,operational,,Trà Vinh,1200
Duyên Hải III (Vĩnh Tân 4),coal,operational (with expansion),,Bình Thuận,1860
Mông Dương I,coal,operational,,Quảng Ninh,1080
Vĩnh Tân I,coal,operational,,Bình Thuận,1200
Hải Dương,coal,under construction,,Hải Dương,1200
Duyên Hải II,coal,under construction,,Trà Vinh,1200
Nam Định I,coal,under construction,,Nam Định,1200
Vũng Áng II,coal,under construction,,Hà Tĩnh,1200
Vân Phong I,coal,under construction,,Khánh Hòa,1320
Quảng Trạch I,coal,under construction,,Quảng Bình,1200
Sông Hậu I,coal,under construction,,Hậu Giang,1200
Công Thanh,coal,under construction,,Thanh Hóa,600
Thăng Long (Hải Dương),coal,operational,,Hải Dương,600
Long Phú I,coal,under construction,,Sóc Trăng,1200
Long Phú II,coal,cancelled/delayed,,Sóc Trăng,1320
Long Phú III,coal,investor change,,Sóc Trăng,1800
Sông Hậu II,coal,under construction,,Hậu Giang,2000
Vĩnh Tân III,coal,under construction,,Bình Thuận,1980
Quảng Trị I,coal,under construction,,Quảng Trị,1320
Na Dương II,coal,under construction,,Lạng Sơn,110
An Khánh - Bắc Giang,coal,under construction,,Bắc Giang,650
Quỳnh Lập I,coal,under construction,,Nghệ An,1200
Hải Phòng III,coal,planning,,Hải Phòng,1200
Quảng Trạch II,coal,planning,,Quảng Bình,1200
Quỳnh Lập II,coal,planning,,Nghệ An,1200
Vũng Áng III,coal,planning (converted to LNG?),,Hà Tĩnh,1200
Long An I,coal,planning (converted to LNG?),,Long An,1200
Long An II,coal,planning (converted to LNG?),,Long An,1600
Tân Phước I,coal,planning (site selection),,Tiền Giang,1200
Tân Phước II,coal,planning (site selection),,Tiền Giang,1200
Hải Hà 1,coal,planning,,Quảng Ninh,300
Hải Hà 2,coal,planning,,Quảng Ninh,600
Hải Hà 3,coal,planning,,Quảng Ninh,600
Hải Hà 4,coal,planning,,Quảng Ninh,600
Phú Mỹ I,natural gas (dom.),operational,,Bà Rịa – Vũng Tàu,1090
Phú Mỹ II.1,natural gas (dom.),operational,,Bà Rịa – Vũng Tàu,900
Phú Mỹ IV,natural gas (dom.),operational,,Bà Rịa – Vũng Tàu,450
Bà Ria,natural gas (dom.),operational,,Bà Rịa – Vũng Tàu,389
Nhơn Trạch I,natural gas (dom.),operational,,Đồng Nai,465
Nhơn Trạch II,natural gas (dom.),operational,,Đồng Nai,750
Cà Mau I,natural gas (dom.),operational,,Cà Mau,750
Cà Mau II,natural gas (dom.),operational,,Cà Mau,750
Phú Mỹ II.2 (BOT),natural gas (dom.),operational,,Bà Rịa – Vũng Tàu,740
Phú Mỹ III (BOT),natural gas (dom.),operational,,Bà Rịa – Vũng Tàu,740
Ô Môn I,natural gas (dom.),operational (to convert to Lô B gas),,Cần Thơ,660
TBKHH Dung Quất I,natural gas (dom.),under construction,,Quảng Ngãi,750
TBKHH Dung Quất III,natural gas (dom.),planning,,Quảng Ngãi,750
TBKHH Miền Trung I,natural gas (dom.),under construction,,Quảng Trị/Quảng Ngãi,750
TBKHH Miền Trung II,natural gas (dom.),under construction,,Quảng Trị/Quảng Ngãi,750
TBKHH Sơn Mỹ II,natural gas (dom.),under construction,,Bình Thuận,2250
TBKHH Quảng Trị (Khí Báo Vàng),natural gas (dom.),planning,,Quảng Trị,340
Nhơn Trạch 3 & 4 (LNG?),natural gas (dom.),planning,,Đồng Nai,1500
LNG Quảng Ninh,LNG (imported),planning,,Quảng Ninh,1500
LNG Thái Bình,LNG (imported),planning,,Thái Bình,1500
LNG Nghi Sơn,LNG (imported),planning,,Thanh Hóa,1500
LNG Quảng Trạch II,LNG (imported),planning,,Quảng Bình,1500
LNG Hải Lăng (Giai đoạn 1),LNG (imported),planning,,Quảng Trị,1500
LNG Cà Ná,LNG (imported),planning,,Ninh Thuận,1500
TBKHH BOT Sơn Mỹ I,LNG (imported),planning,,Bình Thuận,2250
LNG Hiệp Phước (Giai đoạn I),LNG (imported),planning,,TP Hồ Chí Minh,1200
LNG Long An I,LNG (imported),planning,,Long An,1500
LNG Long An II,LNG (imported),planning,,Long An,1500
LNG Bạc Liêu,LNG (imported),planning,,Bạc Liêu,3200
Thủ Đức,oil,operational (to be retired),,TP Hồ Chí Minh,165
Cần Thơ,oil,operational (to be retired),,Cần Thơ,33
Ô Môn I (FO),oil,operational (converting to gas),,Cần Thơ,330
Hiệp Phước,oil,operational (converting to LNG),,TP Hồ Chí Minh,375
