name,fuel,status,cod,province,capacity_mwe
Hòa Bình,Hydropower,,1994-2009,Hòa Bình,1920
Sơn La,Hydropower,,2005-2010,Sơn La,2400
Lai Châu,Hydropower,,2017,Lai Châu,1200
Tuyên Quang,Hydropower,,2002,Tuyên Quang,342
Pleikrong,Hydropower,,2007,Kon Tum,100
IaLy,Hydropower,,2002,Gia Lai,720
Sê San 3,Hydropower,,2006,Gia Lai,260
Sê San 4,Hydropower,,2007,Đắk Lắk,360
Buôn Tuar Srah,Hydropower,,2009,Đắk Lắk,86
Buôn Kuôp,Hydropower,,2009,Đắk Lắk,280
Srêpok 3,Hydropower,,2010,Đắk Lắk,220
Tri An,Hydropower,,1991,Đồng Nai,420
An Khê,Hydropower,,2000,Gia Lai,160
Sông Tranh 2,Hydropower,,2011,Quảng Nam,190
Đồng Nai 3,Hydropower,,2012,Lâm Đồng,180
Thác Bà,Hydropower,,1978,Yên Bái,120
Vĩnh Sơn,Hydropower,,1994,Bình Định,66
Song Hinh,Hydropower,,2001,Phú Yên,70
Thác Mơ,Hydropower,,1999,Bình Phước,150
A Vương,Hydropower,,2009,Quảng Nam,210
Song Ba Ha,Hydropower,,2009,Phú Yên,220
Sê San 3A,Hydropower,,2003,Gia Lai,108
Bắc Bình,Hydropower,,2002,Bình Thuận,33
Đà Nhim - Sông Pha,Hydropower,,1971,Lâm Đồng & Ninh Thuận,167
Hàm Thuận,Hydropower,,2001,Bình Thuận,300
Đạ Mị,Hydropower,,2002,Lâm Đồng,175
Cự Đàt,Hydropower,Local IPP,2007,Kon Tum,97
Nậm Chiến 2,Hydropower,Local IPP,2011,Sơn La,32
Bản Cốc,Hydropower,Local IPP,2008,Sơn La,18
Bình Điền,Hydropower,Local IPP,2009,Quảng Trị,44
Za Hưng,Hydropower,Local IPP,2010,Quảng Nam,30
Hương Điện,Hydropower,Local IPP,2009,Hà Tĩnh,54
Sông Côn,Hydropower,Local IPP,2003,Bình Định,63
Krong Hnang,Hydropower,Local IPP,2007,Đắk Lắk,64
Srepok 4,Hydropower,Local IPP,2009,Đắk Lắk,80
Đạ Đang 2,Hydropower,Local IPP,2007,Lâm Đồng,34
Cắn Đờn,Hydropower,Local IPP,2011,Đắk Lắk,78
Srokphumieng,Hydropower,Local IPP,2009,Đắk Lắk,51
Hương Sơn,Hydropower,Local IPP,2011,Hà Tĩnh,34
Muong Hum,Hydropower,Local IPP,2007,Lào Cai,30
Dak Rlih,Hydropower,Local IPP,2008,Đắk Lắk,144
Sê San 4A,Hydropower,Local IPP,2009,Gia Lai,63
Thủy điện nhỏ,Hydropower,Local IPP,,Various,300
Uông Bí,Coal fired,Operational,1964,Quảng Ninh,105
Uông Bí mở rộng II,Coal fired,Operational,2005,Quảng Ninh,330
Pha Lai I,Coal fired,Operational,1983,Hải Dương,440
Phả Lại II,Coal fired,Operational,2003,Hải Dương,600
Ninh Bình,Coal fired,Operational,1975,Ninh Bình,100
Hai Phòng I,Coal fired,Operational,1975,Hải Phòng,300
