name,fuel,status,cod,province,capacity_mwe
Uông Bí,coal,operating,2011-12-31,Quảng Ninh,105
Uông Bí mở rộng II,coal,operating,2011-12-31,Quảng Ninh,330
Phả Lại I,coal,operating,2011-12-31,Hải Dương,440
Phả Lại II,coal,operating,2011-12-31,Hải Dương,600
Ninh Bình,coal,operating,2011-12-31,Ninh Bình,100
Hải Phòng I,coal,operating,2011-12-31,Hải Phòng,300
Quảng Ninh I,coal,operating,2011-12-31,Quảng Ninh,300
Na Dương,coal,operating,2011-12-31,Lạng Sơn,111
Cao Ngạn,coal,operating,2011-12-31,Thái Nguyên,115
Cẩm Phả,coal,operating,2011-12-31,Quảng Ninh,600
Sơn Động,coal,operating,2011-12-31,Bắc Giang,220
Formosa Hà Tĩnh 1,coal,operating,2011-12-31,Hà Tĩnh,150
Thủ Đức,oil,operating,2011-12-31,TP. Hồ Chí Minh,165
Cần Thơ,oil,operating,2011-12-31,Cần Thơ,33
Ô Môn I,oil,operating,2011-12-31,Cần Thơ,330
Hiệp Phước,oil,operating,2011-12-31,TP. Hồ Chí Minh,375
Bourbon,oil,operating,2011-12-31,Tây Ninh,24
Phú Mỹ I,local natural gas,operating,2011-12-31,Bà Rịa-Vũng Tàu,1090
Phú Mỹ II.1,local natural gas,operating,2011-12-31,Bà Rịa-Vũng Tàu,900
Phú Mỹ IV,local natural gas,operating,2011-12-31,Bà Rịa-Vũng Tàu,450
Thủ Đức GT,local natural gas,operating,2011-12-31,TP. Hồ Chí Minh,128
Cần Thơ GT,local natural gas,operating,2011-12-31,Cần Thơ,150
Bà Rịa,local natural gas,operating,2011-12-31,Bà Rịa-Vũng Tàu,389
Nhơn Trạch I,local natural gas,operating,2011-12-31,Đồng Nai,465
Nhơn Trạch II,local natural gas,operating,2011-12-31,Đồng Nai,750
Cà Mau I,local natural gas,operating,2011-12-31,Cà Mau,750
Cà Mau II,local natural gas,operating,2011-12-31,Cà Mau,750
Phú Mỹ II.2 BOT,local natural gas,operating,2011-12-31,Bà Rịa-Vũng Tàu,740
Phú Mỹ III BOT,local natural gas,operating,2011-12-31,Bà Rịa-Vũng Tàu,740
Vedan,local natural gas,operating,2011-12-31,Đồng Nai,72
Đạm Phú Mỹ,local natural gas,operating,2011-12-31,Bà Rịa-Vũng Tàu,21
Amata,diesel,operating,2011-12-31,Đồng Nai,14
Uông Bí Extension 1,coal,operating,2017,Quảng Ninh,300
Quảng Ninh 1,coal,operating,2017,Quảng Ninh,600
Quảng Ninh 2,coal,operating,2017,Quảng Ninh,600
Duyên Hải 1,coal,operating,2017,Trà Vinh,1244
Duyên Hải 3,coal,operating,2017,Trà Vinh,1245
Nghi Sơn 1,coal,operating,2017,Thanh Hóa,600
