name,fuel,status,cod,province,capacity_mwe
A Vuong,,operational,,Quảng Nam,210.0
A Vương,,operational,N/A,Quảng Nam,210.0
Amata,,operational,,Multiple,14.0
An Khe - Kanak,,operational,,Gia Lai,173.0
An Khê,,operational,N/A,Gia Lai,160.0
Ba Ria,,operational,,Bà Rịa-Vũng Tàu,389.0
Ban Chat,,operational,,Sơn La,220.0
Ban Ve,,operational,,Nghệ An,320.0
Bourbon,oil,operational,,Hồ Chí Minh,24.0
Buon Kuop,,operational,,Đắk Lắk,280.0
Buon Tua Srah,,operational,,Lâm Đồng,86.0
Buôn Kuôp,,operational,N/A,Đắk Lắk,280.0
Buôn Tuar Srah,,operational,N/A,Đắk Lắk,86.0
Bà Rịa,,operational,N/A,Bà Rịa-Vũng Tàu,389.0
Bản Cốc,,operational,N/A,Sơn La,18.0
Bắc Bình,,operational,N/A,Bình Thuận,33.0
Cam Pha,coal,operational,,Quảng Ninh,600.0
Can Tho,,operational,,Cần Thơ,150.0
Cao Nhan,coal,operational,,Lạng Sơn,115.0
Cà Mau I,,operational,,Cà Mau,750.0
Cà Mau II,,operational,,Cà Mau,750.0
Cần Thơ,oil,operational,,Cần Thơ,33.0
Cự Đàt,,operational,N/A,Lâm Đồng,97.0
Da Mi,,operational,,Bình Thuận,175.0
Da Nhim,,operational,,Lâm Đồng,160.0
Dak Rlih,,operational,,Đắk Nông,144.0
Dong Nai 3,,operational,,Đồng Nai,180.0
Dong Nai 4,,operational,,Đồng Nai,340.0
Duyen Hai 1,coal,operational,2016,Trà Vinh,1244.0
Duyen Hai 3,coal,operational,2017,Trà Vinh,1245.0
EVN's Power Corporations,,operational,,Multiple,285.0
Formosa,,operational,N/A,Hà Tĩnh,150.0
Formosa Hà Tĩnh #10,,planned,2020,Hà Tĩnh,150.0
Formosa Hà Tĩnh #6,,,Planned,2020,0.0
Formosa Hà Tĩnh #8,,,Planned,2020,0.0
Hai Phong 1,coal,operational,,Hải Phòng,600.0
Hai Phong 2,coal,operational,,Hải Phòng,600.0
Hai Phòng I,,operational,N/A,Hải Phòng,300.0
Ham Thuan,,operational,,Bình Thuận,300.0
Hiệp Phước,oil,operational,,Hồ Chí Minh,375.0
Huoi Quang,,operational,,Sơn La,520.0
Hàm Thuận,,operational,N/A,Lâm Đồng,300.0
Hòa Bình,,operational,,Hòa Bình,1920.0
Hương Sơn,,operational,N/A,Hà Tĩnh,34.0
Hương Điện,,operational,N/A,Thừa Thiên Huế,54.0
Ialy,,operational,,Gia Lai,720.0
Krong Hnang,,operational,,Đắk Lắk,64.0
Lai Châu,,operational,,Lai Châu,1200.0
Long An I #1,coal,planned,2024,Long An,600.0
Long An I #2,coal,planned,2025,Long An,600.0
Mong Duong 1,coal,operational,2017,Quảng Ninh,1080.0
Muong Hum,,operational,,Lào Cai,30.0
Na Duong,coal,operational,,Lạng Sơn,111.0
Nghi Son 1,coal,operational,2017,Thanh Hóa,600.0
Nhơn Trạch I,,operational,,Đồng Nai,465.0
Nhơn Trạch II,,operational,,Đồng Nai,750.0
Ninh Binh,coal,operational,,Ninh Bình,100.0
Ninh Bình,coal,operational,,Ninh Bình,100.0
Nậm Chiến 2,,operational,N/A,Sơn La,32.0
O Mon 1,,operational,,Cần Thơ,660.0
Pha Lai 1,coal,operational,,Hải Dương,440.0
Pha Lai 2,coal,operational,,Hải Dương,600.0
Pha Lai I,coal,operational,,Hải Dương,440.0
Phu My 1,,operational,,Bà Rịa-Vũng Tàu,1108.0
Phu My 2.1,,operational,,Bà Rịa-Vũng Tàu,896.0
Phu My 4,,operational,,Bà Rịa-Vũng Tàu,458.0
Phú Mỹ I,,operational,,Bà Rịa-Vũng Tàu,1090.0
Phú Mỹ II.1,,operational,,Bà Rịa-Vũng Tàu,900.0
Phú Mỹ II.2 BOT,,operational,,Bà Rịa-Vũng Tàu,740.0
Phú Mỹ III BOT,,operational,,Bà Rịa-Vũng Tàu,740.0
Phú Mỹ IV,,operational,,Bà Rịa-Vũng Tàu,450.0
