name,fuel,status,cod,province,capacity_mwe
An Khanh,coal,operational,2014,Bac Giang,100.0
Ba Ria,gas,operational,2004,Ba Ria - Vung Tau,389.0
Bac Lieu LNG,imported lng,planned,2027,Bac Lieu,3200.0
Ca Mau 1,gas,operational,2007,Ca Mau,750.0
Ca Mau 2,gas,operational,2008,Ca Mau,750.0
Ca Na LNG,imported lng,planned,2025,Ninh Thuan,1500.0
Cam Pha,coal,operational,2011,Quang Ninh,600.0
Cao Ngan,coal,operational,2006,Thai Nguyen,115.0
Dung Quat I,imported lng,planned,2024,Quang Ngai,750.0
Dung Quat II,imported lng,planned,2026,Quang Ngai,750.0
Dung Quat III,gas,planned,2025,Quang Ngai,750.0
Duyen Hai 1,coal,operational,2015,Tra Vinh,1244.0
Duyen Hai 3,coal,operational,2018,Tra Vinh,1245.0
Formosa Ha Tinh,coal,operational,2017,Ha Tinh,150.0
Hai Lang LNG,imported lng,planned,2026,Quang Tri,1500.0
Hai Phong 2,coal,operational,2014,Hai Phong,600.0
Hai Phong 3,coal,planned,Post-2030,Hai Phong,1200.0
Hiep Phuoc LNG,imported lng,planned,2023,Ho Chi Minh City,1200.0
Kien Giang LNG,imported lng,planned,Post-2030,Kien Giang,1500.0
Long An I,coal,planned,2025,Long An,1200.0
Long An I LNG,imported lng,planned,2025,Long An,1500.0
Long An II,coal,planned,2027,Long An,1600.0
Long An II LNG,imported lng,planned,2031,Long An,1500.0
Long Son LNG,imported lng,planned,2026,Ba Ria - Vung Tau,1500.0
Mien Trung I,imported lng,planned,2024,Quang Ngai/Quang Tri,750.0
Mien Trung II,imported lng,planned,2025,Quang Ngai/Quang Tri,750.0
Mong Duong 1,coal,operational,2015,Quang Ninh,1080.0
Mong Duong 2,coal,operational,2015,Quang Ninh,1240.0
Na Duong,coal,operational,2014,Lang Son,110.0
Nghi Son 1,coal,operational,2013,Thanh Hoa,600.0
Nghi Son LNG,imported lng,planned,2026,Thanh Hoa,1500.0
Nhon Trach 1,gas,operational,2008,Dong Nai,465.0
Nhon Trach 2,gas,operational,2011,Dong Nai,750.0
Ninh Binh,coal,operational,2012,Ninh Binh,100.0
O Mon I,gas,operational,2013,Can Tho,660.0
O Mon II,imported lng,planned,2026,Can Tho,1050.0
O Mon III,imported lng,planned,2025,Can Tho,1050.0
O Mon IV,imported lng,planned,2023,Can Tho,1050.0
Pha Lai I,coal,operational,1986,Hai Duong,440.0
Phu My 1,gas,operational,2000,Ba Ria - Vung Tau,1090.0
Phu My 2.1,gas,operational,2004,Ba Ria - Vung Tau,900.0
Phu My 4,gas,operational,2004,Ba Ria - Vung Tau,450.0
Quang Ninh 1,coal,operational,2011,Quang Ninh,600.0
Quang Ninh 2,coal,operational,2014,Quang Ninh,600.0
Quang Ninh 3,coal,planned,2029-2030,Quang Ninh,1200.0
Quang Ninh LNG,imported lng,planned,2026,Quang Ninh,1500.0
Quang Trach II LNG,imported lng,planned,2026,Quang Binh,1500.0
Son Dong,coal,operational,2015,Bac Giang,220.0
Song Hau 1,coal,operational,2019,Hau Giang,1200.0
Thac Mo,coal,operational,2001,Binh Phuoc,150.0
Thai Binh 1,coal,operational,2018,Thai Binh,600.0
Thai Binh LNG,imported lng,planned,2026,Thai Binh,1500.0
Uong Bi,coal,operational,1976,Quang Ninh,105.0
Vinh Tan 1,coal,operational,2018,Binh Thuan,1244.0
Vinh Tan 2,coal,operational,2014,Binh Thuan,1244.0
Vinh Tan 4,coal,operational,2018,Binh Thuan,600.0
Vinh Tan 4 Extension,coal,operational,2019,Binh Thuan,600.0
Vung Ang 1,coal,operational,2015,Ha Tinh,1200.0
