name,fuel,status,cod,province,capacity_mwe
Bà Rịa,,operational,2014,Bà Rịa-Vũng Tàu,389.0
Bạc Liêu,,,post-2025,Bạc Liêu,3200.0
Cam Pha,,operational,2013,Quảng Ninh,600.0
Can Tho,,operational,2012,Cần Thơ,33.25
Cà Mau I,,operational,2012,Cà Mau,750.0
Cà Mau II,,operational,2015,Cà Mau,750.0
Duyên Hải 1,,operational,2015,Trà Vinh,600.0
Duyên Hải 3,,operational,2016,Trà Vinh,660.0
Hai Phong 3,,proposed,2025+,Hải Phòng,0.0
Hiệp Phước,,operational,2015,Hồ Chí Minh,375.0
Long An 1,,,post-2025,Long An,1500.0
Long An 2,,,post-2025,Long An,1500.0
Long Phu 1,,constructing,2027,Sóc Trăng,0.0
Long Phu 2,,,2029+,Sóc Trăng,0.0
Mong Duong 1,,operational,2015,Quảng Ninh,0.0
Na Duong II,,operational,2014,Lạng Sơn,100.0
Nam Định 1,imported lng,,,Nam Định,1200.0
Nhơn Trạch 2,imported lng,operational,,Đồng Nai,750.0
Ninh Bình,,operational,2010,Ninh Bình,100.0
Phú Mỹ 1,imported lng,operational,,Bà Rịa–Vũng Tàu,1090.0
Phú Mỹ 2.1,imported lng,operational,,Bà Rịa–Vũng Tàu,900.0
Phú Mỹ 4,imported lng,operational,,Bà Rịa–Vũng Tàu,450.0
Phả Lại 1,imported lng,operational,,Hải Dương,440.0
Phả Lại 2,imported lng,operational,,Hải Dương,600.0
Quảng Ninh 1,coal,operational,,Quảng Ninh,600.0
Quảng Ninh 2,coal,operational,,Quảng Ninh,600.0
Son Dong,,operational,2015,Quảng Ninh,220.0
Sông Hậu 1,,constructing,2021,Hậu Giang,0.0
Sông Hậu 2,,planned,2027,Hậu Giang,0.0
Thu Duc,,operational,1984,Hồ Chí Minh,165.0
Uông Bí 1,coal,operational,,Hải Phòng,105.0
Vĩnh Tân 1,,,2018,Bình Thuận,0.0
Vĩnh Tân 2,,operational,2014,Bình Thuận,1244.0
Vĩnh Tân 3,,constructing,2025,Bình Thuận,0.0
Vĩnh Tân 4,,,2018,Bình Thuận,0.0
Vũng Áng 1,,operational,2015,Hà Tĩnh,1200.0
