match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
exact,An Khánh - Bac Giang,An Khanh - Bac Giang Thermal Power Plant,bac giang,bac giang,coal,coal,650.0,650.0,0.0,True,True,True,,,100.0
fuzzy_capacity_diff,Bạc Liêu 1,LNG Bac Lieu,bac lieu,bac lieu,coal,imported gas,1200.0,800.0,33.3,False,False,True,,,100.0
exact,Cong Thanh,Cong Thanh Thermal Power Plant,thanh hoa,thanh hoa,coal,gas,600.0,600.0,0.0,False,False,True,,,100.0
fuzzy_capacity_diff,Hai Phong 1,LNG Hai Phong Phase 1,hai phong,haiphong,coal,imported gas,600.0,1.0,99.8,False,False,False,,,95.23809523809523
fuzzy_capacity_diff,Hải Phòng,LNG Hai Phong Phase 2,hai phong,haiphong,gas,imported gas,500.0,3.0,99.4,False,False,False,,,100.0
exact,LNG Chân Mây,LNG Chan May,hue,thua thien hue,gas,imported gas,4000.0,0.0,100.0,False,False,False,,,100.0
exact,LNG Cà Ná,LNG Ca Na,ninh thuan,ninh thuan,gas,imported gas,1500.0,1.0,99.9,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Hiệp Phước (phase I),Hiep Phuoc LNG phase 1,tp ho chi minh,tp ho chi minh,gas,imported gas,1200.0,1.0,99.9,False,False,True,,,100.0
exact,LNG Hải Lăng,LNG Hai Lang,quang tri,quang tri,gas,imported gas,1500.0,1.0,99.9,False,False,True,,,100.0
exact,LNG Long An II,LNG Long An II,long an,long an,gas,imported gas,1500.0,1.0,99.9,False,False,True,,,100.0
exact,LNG Long Sơn,LNG Long Son,ba ria - vung tau,barie-vung tau,gas,imported gas,1200.0,1.0,99.9,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Long Sơn II+III,LNG Long Son,ba ria - vung tau,barie-vung tau,gas,imported gas,3200.0,1.0,100.0,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Nhơn Trạch 3,LNG Nhon Trach 3&4,đong nai,dong nai,gas,imported gas,750.0,1.0,99.9,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Quảng Trạch 2,LNG Quang Trach 3,quang binh,quang binh,gas,imported gas,1500.0,1.0,99.9,False,False,True,,,96.0
exact,LNG Quỳnh Lập,LNG Quynh Lap,nghe an,nghe an,gas,imported gas,1500.0,1.0,99.9,False,False,True,,,100.0
exact,LNG Sơn Mỹ I,LNG Son My I,binh thuan,binh thuan,gas,imported gas,2250.0,2.0,99.9,False,False,True,,,100.0
exact,LNG Sơn Mỹ II,LNG Son My II,binh thuan,binh thuan,gas,imported gas,2250.0,2.0,99.9,False,False,True,,,100.0
exact,Long An 1,LNG Long An I,long an,long an,gas,imported gas,1200.0,1.0,99.9,False,False,True,,,100.0
exact,Long Phú 1,Long Phu 1 Thermal Power Plant,soc trang,soc trang,coal,coal,1200.0,1.0,99.9,True,False,True,,,100.0
