model,family,median_tp,min_tp,max_tp,median_fp,min_fp,max_fp,median_cost,mean_cost,median_f1,min_f1,max_f1,cost_usd
claude-opus-4.6,claude,89,84,91,6,4,10,0.40437,0.416675,0.6716,0.6512,0.6816,0.416675
claude-sonnet-4.6,claude,84,75,113,15,9,66,0.285837,0.324303,0.6245,0.5792,0.6476,0.324303
gpt-5.5,gpt,80,77,82,5,3,8,0.24421,0.23827,0.6255,0.616,0.6308,0.23827
deepseek-v4-pro,deepseek,63,30,75,4,3,7,0.014258,0.01292,0.5272,0.2941,0.5952,0.01292
mistral-medium-3-5,mistral,57,44,62,6,3,13,0.015014,0.01498,0.4833,0.4055,0.5061,0.01498
deepseek-v4-flash,deepseek,46,7,60,1,0,10,0.001901,0.001891,0.424,0.0749,0.5172,0.001891
mistral-small-2603,mistral,43,41,58,7,6,30,0.007453,0.007485,0.3909,0.3761,0.4561,0.007485
qwen3.7-max,qwen,41,29,43,6,2,9,0.108205,0.103393,0.3727,0.2886,0.3927,0.103393
mistral-large-2512,mistral,38,37,57,2,0,8,0.021066,0.023111,0.3636,0.3575,0.4851,0.023111
claude-haiku-4.5,claude,30,30,34,21,21,38,0.063178,0.06413,0.2715,0.2715,0.281,0.06413
qwen3.6-35b-a3b,qwen,17,16,28,16,8,43,0.011904,0.012347,0.1649,0.16,0.2324,0.012347
qwen3.6-flash,qwen,13,11,23,21,9,484,0.007242,0.015524,0.1158,0.036,0.215,0.015524
gpt-oss-120b,gpt,12,11,25,49,11,68,0.006554,0.00553,0.1244,0.0884,0.2049,0.00553
gpt-oss-20b,gpt,0,0,13,83,21,105,0.001655,0.001513,0.0,0.0,0.1238,0.001513
