model,family,median_tp,min_tp,max_tp,median_cost,mean_cost,median_f1,min_f1,max_f1,cost_usd
claude-sonnet-4.6,claude,99,87,163,0.285837,0.324303,0.7557,0.696,0.9532,0.324303
claude-opus-4.6,claude,97,88,98,0.40437,0.416675,0.7462,0.7012,0.751,0.416675
gpt-5.5,gpt,85,80,90,0.24421,0.23827,0.6855,0.6584,0.7115,0.23827
gpt-oss-120b,gpt,74,23,87,0.006554,0.00553,0.6245,0.2473,0.696,0.00553
deepseek-v4-pro,deepseek,66,34,82,0.014258,0.01292,0.5764,0.3452,0.6694,0.01292
mistral-medium-3-5,mistral,63,47,75,0.015014,0.01498,0.5575,0.4476,0.6303,0.01498
gpt-oss-20b,gpt,62,21,62,0.001655,0.001513,0.4627,0.2283,0.5041,0.001513
claude-haiku-4.5,claude,51,51,72,0.063178,0.06413,0.4766,0.4766,0.6128,0.06413
mistral-small-2603,mistral,50,48,88,0.007453,0.007485,0.4695,0.455,0.7012,0.007485
qwen3.7-max,qwen,49,31,50,0.108205,0.103393,0.4623,0.3196,0.4695,0.103393
deepseek-v4-flash,deepseek,47,17,62,0.001901,0.001891,0.4476,0.1889,0.5511,0.001891
qwen3.6-flash,qwen,44,20,78,0.007242,0.015524,0.3196,0.2186,0.5382,0.015524
mistral-large-2512,mistral,40,37,65,0.021066,0.023111,0.3941,0.37,0.5702,0.023111
qwen3.6-35b-a3b,qwen,36,24,71,0.011904,0.012347,0.3618,0.2567,0.6068,0.012347
